Title:               3-Month Commercial Paper Minus Federal Funds Rate
Series ID:           CPFFM
Source:              Federal Reserve Bank of St. Louis
Release:             Interest Rate Spreads (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1997-01-01 to 2016-12-01
Last Updated:        2017-01-03 3:41 PM CST
Notes:               Series is calculated as the spread between 3-Month AA Financial
                     Commercial Paper (https://fred.stlouisfed.org/series/CPF3M) and
                     Effective Federal Funds Rate
                     (https://fred.stlouisfed.org/series/FEDFUNDS).

DATE        VALUE
1997-01-01   0.07
1997-02-01   0.09
1997-03-01   0.03
1997-04-01   0.09
1997-05-01   0.10
1997-06-01   0.00
1997-07-01  -0.01
1997-08-01  -0.04
1997-09-01  -0.03
1997-10-01   0.05
1997-11-01   0.12
1997-12-01   0.20
1998-01-01  -0.12
1998-02-01  -0.06
1998-03-01   0.00
1998-04-01   0.03
1998-05-01   0.01
1998-06-01  -0.06
1998-07-01  -0.04
1998-08-01  -0.05
1998-09-01  -0.19
1998-10-01   0.02
1998-11-01   0.32
1998-12-01   0.36
1999-01-01   0.18
1999-02-01   0.06
1999-03-01   0.03
1999-04-01   0.06
1999-05-01   0.09
1999-06-01   0.28
1999-07-01   0.15
1999-08-01   0.21
1999-09-01   0.10
1999-10-01   0.73
1999-11-01   0.43
1999-12-01   0.63
2000-01-01   0.36
2000-02-01   0.17
2000-03-01   0.18
2000-04-01   0.13
2000-05-01   0.30
2000-06-01   0.06
2000-07-01   0.00
2000-08-01  -0.01
2000-09-01  -0.05
2000-10-01   0.01
2000-11-01   0.01
2000-12-01  -0.07
2001-01-01  -0.47
2001-02-01  -0.30
2001-03-01  -0.50
2001-04-01  -0.33
2001-05-01  -0.25
2001-06-01  -0.28
2001-07-01  -0.15
2001-08-01  -0.21
2001-09-01  -0.23
2001-10-01  -0.20
2001-11-01  -0.09
2001-12-01  -0.01
2002-01-01  -0.01
2002-02-01   0.06
2002-03-01   0.14
2002-04-01   0.08
2002-05-01   0.05
2002-06-01   0.03
2002-07-01   0.03
2002-08-01  -0.03
2002-09-01  -0.01
2002-10-01  -0.04
2002-11-01   0.03
2002-12-01   0.08
2003-01-01   0.03
2003-02-01  -0.01
2003-03-01  -0.04
2003-04-01  -0.03
2003-05-01  -0.06
2003-06-01  -0.20
2003-07-01   0.02
2003-08-01   0.03
2003-09-01   0.05
2003-10-01   0.05
2003-11-01   0.08
2003-12-01   0.09
2004-01-01   0.04
2004-02-01   0.02
2004-03-01   0.03
2004-04-01   0.06
2004-05-01   0.16
2004-06-01   0.36
2004-07-01   0.25
2004-08-01   0.22
2004-09-01   0.20
2004-10-01   0.21
2004-11-01   0.27
2004-12-01   0.22
2005-01-01   0.28
2005-02-01   0.21
2005-03-01   0.28
2005-04-01   0.23
2005-05-01   0.15
2005-06-01   0.26
2005-07-01   0.23
2005-08-01   0.19
2005-09-01   0.17
2005-10-01   0.27
2005-11-01   0.23
2005-12-01   0.21
2006-01-01   0.19
2006-02-01   0.14
2006-03-01   0.20
2006-04-01   0.15
2006-05-01   0.11
2006-06-01   0.26
2006-07-01   0.13
2006-08-01   0.04
2006-09-01   0.00
2006-10-01  -0.01
2006-11-01  -0.01
2006-12-01   0.00
2007-01-01  -0.01
2007-02-01  -0.03
2007-03-01  -0.04
2007-04-01  -0.02
2007-05-01  -0.02
2007-06-01   0.00
2007-07-01  -0.01
2007-08-01   0.28
2007-09-01   0.25
2007-10-01   0.15
2007-11-01   0.26
2007-12-01   0.52
2008-01-01  -0.24
2008-02-01   0.05
2008-03-01   0.09
2008-04-01   0.44
2008-05-01   0.63
2008-06-01   0.70
2008-07-01   0.71
2008-08-01   0.76
2008-09-01   1.10
2008-10-01   2.22
2008-11-01   1.15
2008-12-01   0.93
2009-01-01   0.95
2009-02-01   0.45
2009-03-01   0.44
2009-04-01   0.33
2009-05-01   0.19
2009-06-01   0.15
2009-07-01   0.17
2009-08-01   0.13
2009-09-01   0.08
2009-10-01   0.10
2009-11-01   0.07
2009-12-01   0.08
2010-01-01   0.07
2010-02-01   0.07
2010-03-01   0.08
2010-04-01   0.10
2010-05-01   0.24
