Title:               1-Month AA Nonfinancial Commercial Paper Rate
Series ID:           CPN1M
Source:              Board of Governors of the Federal Reserve System (US)
Release:             H.15 Selected Interest Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1997-01-01 to 2016-12-01
Last Updated:        2017-01-03 3:46 PM CST
Notes:               Averages of Business Days, Discount Basis

DATE       VALUE
1997-01-01  5.28
1997-02-01  5.25
1997-03-01  5.36
1997-04-01  5.49
1997-05-01  5.51
1997-06-01  5.51
1997-07-01  5.48
1997-08-01  5.48
1997-09-01  5.49
1997-10-01  5.49
1997-11-01  5.53
1997-12-01  5.78
1998-01-01  5.46
1998-02-01  5.47
1998-03-01  5.51
1998-04-01  5.49
1998-05-01  5.49
1998-06-01  5.51
1998-07-01  5.51
1998-08-01  5.50
1998-09-01  5.44
1998-10-01  5.14
1998-11-01  5.00
1998-12-01  5.24
1999-01-01  4.80
1999-02-01  4.80
1999-03-01  4.82
1999-04-01  4.79
1999-05-01  4.79
1999-06-01  4.95
1999-07-01  5.06
1999-08-01  5.18
1999-09-01  5.28
1999-10-01  5.28
1999-11-01  5.37
1999-12-01  5.97
2000-01-01  5.59
2000-02-01  5.76
2000-03-01  5.93
2000-04-01  6.02
2000-05-01  6.40
2000-06-01  6.53
2000-07-01  6.49
2000-08-01  6.47
2000-09-01  6.48
2000-10-01  6.48
2000-11-01  6.49
2000-12-01  6.51
2001-01-01  5.74
2001-02-01  5.39
2001-03-01  5.02
2001-04-01  4.71
2001-05-01  4.06
2001-06-01  3.82
2001-07-01  3.71
2001-08-01  3.54
2001-09-01  2.96
2001-10-01  2.40
2001-11-01  2.03
2001-12-01  1.84
2002-01-01  1.70
2002-02-01  1.76
2002-03-01  1.78
2002-04-01  1.76
2002-05-01  1.75
2002-06-01  1.74
2002-07-01  1.74
2002-08-01  1.72
2002-09-01  1.73
2002-10-01  1.72
2002-11-01  1.34
2002-12-01  1.31
2003-01-01  1.25
2003-02-01  1.24
2003-03-01  1.21
2003-04-01  1.22
2003-05-01  1.21
2003-06-01  1.06
2003-07-01  1.01
2003-08-01  1.03
2003-09-01  1.02
2003-10-01  1.02
2003-11-01  1.02
2003-12-01  1.03
2004-01-01  0.99
2004-02-01  0.99
2004-03-01  0.99
2004-04-01  1.00
2004-05-01  1.00
2004-06-01  1.13
2004-07-01  1.29
