Title:               1-Month Certificate of Deposit: Secondary Market Rate (DISCONTINUED)
Series ID:           DCD1M
Source:              Board of Governors of the Federal Reserve System (US)
Release:             H.15 Selected Interest Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          1965-12-22 to 2013-06-28
Last Updated:        2013-07-01 3:01 PM CDT
Notes:               The Federal Reserve Board of Governors does not report responses to CD
                     Bids when the number of respondents is too few to be representative.

DATE        VALUE
1965-12-22   4.76
1965-12-23      .
1965-12-24      .
1965-12-27   4.77
1965-12-28      .
1965-12-29   4.76
1965-12-30      .
1965-12-31      .
1966-01-03   4.77
1966-01-04      .
1966-01-05      .
1966-01-06   4.78
1966-01-07      .
1966-01-10   4.80
1966-01-11      .
1966-01-12      .
1966-01-13      .
1966-01-14   4.83
1966-01-17      .
1966-01-18      .
1966-01-19      .
1966-01-20      .
1966-01-21   4.82
1966-01-24   4.82
1966-01-25      .
1966-01-26      .
1966-01-27   4.85
1966-01-28      .
1966-01-31      .
1966-02-01      .
1966-02-02      .
1966-02-03      .
1966-02-04   4.83
1966-02-07   4.83
1966-02-08      .
1966-02-09      .
1966-02-10      .
1966-02-11      .
1966-02-14   4.90
1966-02-15      .
1966-02-16      .
1966-02-17      .
1966-02-18      .
1966-02-21   4.85
1966-02-22      .
1966-02-23      .
1966-02-24      .
1966-02-25      .
1966-02-28   4.87
1966-03-01      .
1966-03-02      .
1966-03-03      .
1966-03-04      .
1966-03-07   4.93
1966-03-08      .
1966-03-09      .
1966-03-10   5.07
1966-03-11      .
1966-03-14   5.01
1966-03-15      .
1966-03-16      .
1966-03-17      .
1966-03-18      .
1966-03-21   5.03
1966-03-22      .
1966-03-23      .
1966-03-24      .
1966-03-25      .
1966-03-28   5.06
1966-03-29      .
1966-03-30      .
1966-03-31      .
1966-04-01      .
1966-04-04   5.04
1966-04-05      .
1966-04-06      .
1966-04-07      .
1966-04-08      .
1966-04-11   5.09
1966-04-12      .
1966-04-13      .
1966-04-14      .
1966-04-15      .
1966-04-18   5.13
1966-04-19      .
1966-04-20      .
1966-04-21      .
1966-04-22      .
1966-04-25   5.16
1966-04-26      .
1966-04-27      .
1966-04-28      .
1966-04-29      .
1966-05-02   5.16
1966-05-03      .
1966-05-04      .
1966-05-05      .
1966-05-06      .
1966-05-09   5.19
1966-05-10      .
1966-05-11      .
1966-05-12      .
1966-05-13      .
1966-05-16   5.25
1966-05-17      .
1966-05-18      .
1966-05-19      .
1966-05-20      .
1966-05-23   5.26
1966-05-24      .
1966-05-25      .
1966-05-26      .
1966-05-27      .
1966-05-30      .
1966-05-31   5.32
1966-06-01      .
1966-06-02      .
1966-06-03      .
1966-06-06   5.33
1966-06-07      .
1966-06-08      .
1966-06-09      .
1966-06-10      .
1966-06-13   5.37
1966-06-14      .
1966-06-15      .
1966-06-16      .
1966-06-17      .
1966-06-20   5.37
1966-06-21      .
1966-06-22      .
1966-06-23      .
1966-06-24      .
1966-06-27   5.41
1966-06-28      .
1966-06-29      .
1966-06-30      .
1966-07-01      .
1966-07-04      .
1966-07-05   5.55
1966-07-06      .
1966-07-07      .
1966-07-08      .
1966-07-11   5.59
1966-07-12      .
1966-07-13      .
1966-07-14      .
1966-07-15      .
1966-07-18   5.59
1966-07-19      .
1966-07-20      .
1966-07-21      .
1966-07-22      .
1966-07-25   5.51
1966-07-26      .
1966-07-27      .
1966-07-28      .
1966-07-29      .
1966-08-01   5.53
1966-08-02      .
1966-08-03      .
1966-08-04      .
1966-08-05      .
1966-08-08   5.54
1966-08-09      .
1966-08-10      .
1966-08-11      .
1966-08-12      .
1966-08-15   5.59
1966-08-16      .
1966-08-17      .
1966-08-18      .
1966-08-19      .
1966-08-22   5.62
1966-08-23      .
1966-08-24      .
1966-08-25      .
1966-08-26      .
1966-08-29   5.74
1966-08-30      .
1966-08-31      .
1966-09-01      .
1966-09-02      .
1966-09-05      .
1966-09-06   5.68
1966-09-07      .
1966-09-08      .
1966-09-09      .
1966-09-12   5.76
1966-09-13      .
1966-09-14      .
1966-09-15      .
1966-09-16      .
1966-09-19   5.75
1966-09-20      .
1966-09-21      .
1966-09-22      .
1966-09-23      .
1966-09-26   5.80
1966-09-27      .
1966-09-28      .
1966-09-29      .
1966-09-30      .
1966-10-03   5.70
1966-10-04      .
1966-10-05      .
1966-10-06      .
1966-10-07      .
1966-10-10   5.70
1966-10-11      .
1966-10-12      .
1966-10-13      .
1966-10-14      .
1966-10-17   5.70
1966-10-18      .
1966-10-19      .
1966-10-20      .
1966-10-21      .
1966-10-24   5.63
1966-10-25      .
1966-10-26      .
1966-10-27      .
1966-10-28      .
1966-10-31   5.58
1966-11-01      .
1966-11-02      .
1966-11-03      .
1966-11-04      .
1966-11-07   5.60
1966-11-08      .
1966-11-09      .
1966-11-10      .
1966-11-11      .
1966-11-14   5.60
1966-11-15      .
1966-11-16      .
1966-11-17      .
1966-11-18      .
1966-11-21   5.54
1966-11-22      .
1966-11-23      .
1966-11-24      .
1966-11-25      .
1966-11-28   5.56
1966-11-29      .
1966-11-30      .
1966-12-01      .
1966-12-02      .
1966-12-05   5.59
1966-12-06      .
1966-12-07      .
1966-12-08      .
1966-12-09      .
1966-12-12   5.53
1966-12-13      .
1966-12-14      .
1966-12-15      .
1966-12-16      .
1966-12-19   5.51
1966-12-20      .
1966-12-21      .
1966-12-22      .
1966-12-23      .
1966-12-26      .
1966-12-27   5.51
1966-12-28      .
1966-12-29      .
1966-12-30      .
1967-01-02      .
1967-01-03   5.48
1967-01-04      .
1967-01-05      .
1967-01-06      .
1967-01-09   5.45
1967-01-10      .
1967-01-11      .
1967-01-12      .
1967-01-13      .
1967-01-16   5.47
1967-01-17      .
1967-01-18      .
1967-01-19      .
1967-01-20      .
1967-01-23   5.33
1967-01-24      .
1967-01-25      .
1967-01-26   5.23
1967-01-27   5.21
1967-01-30   5.22
1967-01-31      .
1967-02-01   5.15
1967-02-02   5.14
1967-02-03   5.12
1967-02-06   5.12
1967-02-07   5.11
1967-02-08   5.09
1967-02-09   5.07
1967-02-10   5.07
1967-02-13      .
1967-02-14   5.07
1967-02-15   5.10
1967-02-16      .
1967-02-17   5.11
1967-02-20   5.12
1967-02-21   5.15
1967-02-22      .
1967-02-23   5.19
1967-02-24      .
1967-02-27   5.19
1967-02-28      .
1967-03-01   5.08
1967-03-02   5.09
1967-03-03   5.09
1967-03-06   5.07
1967-03-07   5.07
1967-03-08   5.07
1967-03-09   5.06
1967-03-10   5.04
1967-03-13   5.03
1967-03-14   5.02
1967-03-15   5.01
1967-03-16   4.95
1967-03-17   4.95
1967-03-20   4.92
1967-03-21   4.89
1967-03-22   4.87
1967-03-23   4.84
1967-03-24      .
1967-03-27   4.83
1967-03-28   4.83
1967-03-29   4.80
1967-03-30   4.82
1967-03-31   4.79
1967-04-03   4.81
1967-04-04   4.76
1967-04-05   4.73
1967-04-06   4.66
1967-04-07   4.36
1967-04-10   4.35
1967-04-11   4.35
1967-04-12   4.33
1967-04-13   4.33
1967-04-14   4.33
1967-04-17   4.29
1967-04-18   4.29
1967-04-19   4.32
1967-04-20   4.30
1967-04-21   4.29
1967-04-24   4.29
1967-04-25   4.28
1967-04-26   4.30
1967-04-27   4.30
1967-04-28   4.32
1967-05-01   4.35
1967-05-02   4.36
1967-05-03   4.39
1967-05-04   4.41
1967-05-05   4.40
1967-05-08   4.38
1967-05-09   4.38
1967-05-10   4.38
1967-05-11   4.36
1967-05-12   4.34
1967-05-15   4.35
1967-05-16   4.34
1967-05-17   4.34
1967-05-18   4.34
1967-05-19   4.34
1967-05-22   4.34
1967-05-23   4.34
1967-05-24   4.35
1967-05-25   4.36
1967-05-26   4.34
1967-05-29   4.34
1967-05-30      .
1967-05-31   4.34
1967-06-01   4.36
1967-06-02   4.38
1967-06-05   4.38
1967-06-06   4.37
1967-06-07   4.37
1967-06-08   4.34
1967-06-09   4.35
1967-06-12   4.42
1967-06-13   4.42
1967-06-14   4.43
1967-06-15   4.43
1967-06-16   4.48
1967-06-19   4.49
1967-06-20   4.49
1967-06-21   4.48
1967-06-22   4.50
1967-06-23   4.51
1967-06-26   4.54
1967-06-27   4.59
1967-06-28   4.61
1967-06-29   4.65
1967-06-30   4.70
1967-07-03   4.69
1967-07-04      .
1967-07-05   4.70
1967-07-06   4.73
1967-07-07   4.73
1967-07-10   4.78
1967-07-11   4.73
1967-07-12   4.73
1967-07-13   4.74
1967-07-14   4.71
1967-07-17   4.71
1967-07-18   4.71
1967-07-19   4.71
1967-07-20   4.67
1967-07-21   4.63
1967-07-24   4.69
1967-07-25   4.64
1967-07-26   4.66
1967-07-27   4.67
1967-07-28   4.67
1967-07-31   4.65
1967-08-01   4.63
1967-08-02   4.63
1967-08-03   4.63
1967-08-04   4.63
1967-08-07   4.70
1967-08-08   4.66
1967-08-09   4.65
1967-08-10   4.65
1967-08-11   4.54
1967-08-14   4.52
1967-08-15   4.53
1967-08-16   4.51
1967-08-17   4.53
1967-08-18   4.52
1967-08-21   4.54
1967-08-22   4.54
1967-08-23   4.60
1967-08-24   4.60
1967-08-25   4.57
1967-08-28   4.52
1967-08-29   4.52
1967-08-30   4.49
1967-08-31   4.49
1967-09-01   4.44
1967-09-04      .
1967-09-05   4.47
1967-09-06   4.55
1967-09-07   4.55
1967-09-08   4.55
1967-09-11   4.54
1967-09-12   4.56
1967-09-13   4.56
1967-09-14   4.56
1967-09-15   4.60
1967-09-18   4.61
1967-09-19      .
1967-09-20   4.63
1967-09-21   4.63
1967-09-22   4.63
1967-09-25   4.61
1967-09-26   4.63
1967-09-27   4.65
1967-09-28   4.65
