Title:               1-Month Commercial Paper Rate (DISCONTINUED)
Series ID:           DCP30
Source:              Board of Governors of the Federal Reserve System (US)
Release:             H.15 Selected Interest Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          1982-11-29 to 1997-08-29
Last Updated:        2002-06-28 4:28 PM CDT
Notes:               

DATE        VALUE
1982-11-29   8.47
1982-11-30   8.59
1982-12-01   8.54
1982-12-02   8.59
1982-12-03   8.55
1982-12-06   8.44
1982-12-07   8.36
1982-12-08   8.37
1982-12-09   8.48
1982-12-10   8.55
1982-12-13   8.66
1982-12-14   8.29
1982-12-15   8.48
1982-12-16   8.52
1982-12-17   8.59
1982-12-20   8.56
1982-12-21   8.48
1982-12-22   8.39
1982-12-23   8.48
1982-12-24      .
1982-12-27   8.47
1982-12-28   8.58
1982-12-29   8.70
1982-12-30   8.82
1982-12-31   8.86
1983-01-03   8.56
1983-01-04   8.61
1983-01-05   8.52
1983-01-06   8.25
1983-01-07   8.19
1983-01-10   8.02
1983-01-11   8.00
1983-01-12   8.06
1983-01-13   8.06
1983-01-14   8.07
1983-01-17   8.02
1983-01-18   8.00
1983-01-19   8.01
1983-01-20   8.04
1983-01-21   8.06
1983-01-24   8.18
1983-01-25   8.25
1983-01-26   8.24
1983-01-27   8.22
1983-01-28   8.25
1983-01-31   8.30
1983-02-01   8.35
1983-02-02   8.47
1983-02-03   8.38
1983-02-04   8.43
1983-02-07   8.45
1983-02-08   8.38
1983-02-09   8.36
1983-02-10   8.37
1983-02-11   8.28
1983-02-14   8.33
1983-02-15   8.33
1983-02-16   8.40
1983-02-17   8.29
1983-02-18   8.24
1983-02-21      .
1983-02-22   8.19
1983-02-23   8.18
1983-02-24   8.14
1983-02-25   8.04
1983-02-28   8.01
1983-03-01   8.13
1983-03-02   8.24
1983-03-03   8.17
1983-03-04   8.23
1983-03-07   8.41
1983-03-08   8.46
1983-03-09   8.51
1983-03-10   8.39
1983-03-11   8.42
1983-03-14   8.43
1983-03-15   8.50
1983-03-16   8.52
1983-03-17   8.51
1983-03-18   8.60
1983-03-21   8.65
1983-03-22   8.64
1983-03-23   8.70
1983-03-24   8.68
1983-03-25   8.74
1983-03-28   8.82
1983-03-29   9.03
1983-03-30   9.02
1983-03-31   9.17
1983-04-01   9.17
1983-04-04   8.99
1983-04-05   9.00
1983-04-06   8.86
1983-04-07   8.72
1983-04-08   8.72
1983-04-11   8.65
1983-04-12   8.50
1983-04-13   8.48
1983-04-14   8.50
1983-04-15   8.51
1983-04-18   8.46
1983-04-19   8.51
1983-04-20   8.48
1983-04-21   8.43
1983-04-22   8.46
1983-04-25   8.38
1983-04-26   8.36
1983-04-27   8.34
1983-04-28   8.30
1983-04-29   8.41
1983-05-02   8.31
1983-05-03   8.36
1983-05-04   8.29
1983-05-05   8.24
1983-05-06   8.23
1983-05-09   8.25
1983-05-10   8.23
1983-05-11   8.17
1983-05-12   8.20
1983-05-13   8.25
1983-05-16   8.35
1983-05-17   8.41
1983-05-18   8.40
1983-05-19   8.39
1983-05-20   8.41
1983-05-23   8.51
1983-05-24   8.48
1983-05-25   8.43
1983-05-26   8.49
1983-05-27   8.51
1983-05-30      .
1983-05-31   8.62
1983-06-01   8.76
1983-06-02   8.67
1983-06-03   8.67
1983-06-06   8.76
1983-06-07   8.88
1983-06-08   9.00
1983-06-09   8.94
1983-06-10   8.91
1983-06-13   8.78
1983-06-14   8.87
1983-06-15   8.95
1983-06-16   8.92
1983-06-17   8.90
1983-06-20   8.95
1983-06-21   9.22
1983-06-22   9.17
1983-06-23   9.23
1983-06-24   9.16
1983-06-27   9.21
1983-06-28   9.24
1983-06-29   9.13
1983-06-30   9.12
1983-07-01   9.01
1983-07-04      .
1983-07-05   9.12
1983-07-06   9.13
1983-07-07   9.15
1983-07-08   9.12
1983-07-11   9.09
1983-07-12   9.15
1983-07-13   9.19
1983-07-14   9.16
1983-07-15   9.18
1983-07-18   9.23
1983-07-19   9.22
1983-07-20   9.15
1983-07-21   9.17
1983-07-22   9.15
1983-07-25   9.20
1983-07-26   9.14
1983-07-27   9.15
1983-07-28   9.13
1983-07-29   9.22
1983-08-01   9.27
1983-08-02   9.46
1983-08-03   9.51
1983-08-04   9.41
1983-08-05   9.46
1983-08-08   9.54
1983-08-09   9.63
1983-08-10   9.62
1983-08-11   9.60
1983-08-12   9.58
1983-08-15   9.55
1983-08-16   9.53
1983-08-17   9.44
1983-08-18   9.40
1983-08-19   9.39
1983-08-22   9.28
1983-08-23   9.24
1983-08-24   9.16
1983-08-25   9.12
1983-08-26   9.20
1983-08-29   9.29
1983-08-30   9.32
1983-08-31   9.34
1983-09-01   9.35
1983-09-02   9.38
1983-09-05      .
1983-09-06   9.33
1983-09-07   9.36
