Title:               Federal Reserve Bank of St. Louis Basic Discount Rate (DISCONTINUED)
Series ID:           DISCNTD8
Source:              Board of Governors of the Federal Reserve System (US)
Release:             Discount Rate Meeting Minutes
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Not Applicable
Units:               Percent
Date Range:          1914-11-16 to 2002-11-07
Last Updated:        2003-09-09 8:51 AM CDT
Notes:               Historical dates of changes and rates.

DATE        VALUE
1914-11-16   6.00
1915-01-07   5.50
1915-02-03   4.50
1915-09-14   4.00
1917-11-07   4.50
1918-04-08   4.75
1920-01-24   6.00
1921-11-03   5.00
1922-04-06   4.50
1924-06-19   4.00
1927-08-04   3.50
1928-02-21   4.00
1928-04-23   4.50
1928-07-19   5.00
1930-02-11   4.50
1930-04-12   4.00
1930-08-07   3.50
1931-01-08   3.00
1931-05-09   2.50
1931-10-22   3.50
1933-06-08   3.00
1934-02-08   2.50
1935-01-03   2.00
1937-09-02   1.50
1942-03-14   1.00
1948-01-12   1.25
1948-08-19   1.50
1950-08-22   1.75
1953-01-16   2.00
1954-02-05   1.75
1954-04-23   1.50
1955-04-15   1.75
1955-08-08   2.00
1955-08-30   2.25
1955-11-22   2.50
1956-04-13   2.75
1956-08-28   3.00
1957-08-21   3.50
1957-11-15   3.00
1958-01-24   2.75
1958-03-14   2.25
1958-04-18   1.75
1958-09-12   2.00
1958-10-24   2.50
1959-03-13   3.00
1959-05-29   3.50
1959-09-11   4.00
1960-06-10   3.50
1960-08-19   3.00
1963-07-17   3.50
1964-11-24   4.00
1965-12-10   4.50
1967-04-14   4.00
1967-11-27   4.50
1968-03-15   5.00
1968-04-23   5.50
1968-08-30   5.25
1968-12-20   5.50
1969-04-04   6.00
1970-11-11   5.75
1970-12-11   5.50
1971-01-08   5.25
1971-01-29   5.00
1971-02-13   4.75
1971-07-16   5.00
1971-11-11   4.75
1971-12-13   4.50
1973-01-15   5.00
1973-02-26   5.50
1973-04-27   5.75
1973-05-11   6.00
1973-06-11   6.50
1973-07-02   7.00
1973-08-14   7.50
1974-04-26   8.00
1974-12-13   7.75
1975-01-10   7.25
1975-02-07   6.75
1975-03-14   6.25
1975-05-16   6.00
1976-01-23   5.50
1976-11-26   5.25
1977-08-30   5.75
1977-10-26   6.00
1978-01-13   6.50
1978-05-11   7.00
1978-07-03   7.25
1978-08-21   7.75
1978-09-22   8.00
1978-10-16   8.50
1978-11-02   9.50
1979-07-20  10.00
1979-08-17  10.50
1979-09-19  11.00
1979-10-08  12.00
1980-02-16  13.00
1980-03-17  13.00
1980-05-07  13.00
1980-05-29  12.00
1980-06-13  11.00
1980-07-28  10.00
1980-09-26  11.00
1980-11-17  12.00
1980-12-05  13.00
1981-05-05  14.00
1981-09-22  14.00
1981-10-13  14.00
1981-11-02  13.00
1981-11-17  13.00
1981-12-04  12.00
1982-07-21  11.50
1982-08-02  11.00
1982-08-16  10.50
1982-08-27  10.00
1982-10-12   9.50
1982-11-22   9.00
1982-12-14   8.50
1984-04-09   9.00
1984-11-21   8.50
1984-12-24   8.00
1985-05-21   7.50
1986-03-07   7.00
1986-04-22   6.50
1986-07-11   6.00
1986-08-22   5.50
1987-09-09   6.00
1988-08-09   6.50
1989-02-24   7.00
1990-12-19   6.50
1991-02-04   6.00
1991-05-02   5.50
1991-09-17   5.00
1991-11-07   4.50
1991-12-24   3.50
1992-07-07   3.00
1994-05-17   3.50
1994-08-16   4.00
1994-11-15   4.75
1995-02-01   5.25
1996-02-05   5.00
1998-10-15   4.75
1998-11-19   4.50
1999-08-24   4.75
1999-11-18   5.00
2000-02-03   5.25
2000-03-22   5.50
2000-05-18   6.00
2001-01-03   5.75
2001-01-05   5.50
2001-01-31   5.00
2001-03-21   4.50
2001-04-20   4.00
2001-05-16   3.50
2001-06-29   3.25
2001-08-23   3.00
2001-09-18   2.50
2001-10-03   2.00
2001-11-07   1.50
2001-12-12   1.25
2002-11-07   0.75
