Title:               Discount Rate Changes: Historical Dates of Changes and Rates (DISCONTINUED)
Series ID:           DISCOUNT
Source:              Board of Governors of the Federal Reserve System (US)
Release:             Federal Reserve Bulletin
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Not Applicable
Units:               Percent
Date Range:          1934-02-02 to 2002-11-06
Last Updated:        2003-07-23 12:37 PM CDT
Notes:               Effective Date
                     Data before 1975 represent the date of the New York Fed discount rate
                     change, data after 1975 represent the date of the first Federal
                     Reserve bank discount rate change.
                     Source: Board of Governors: Banking and Monetary Statistics,
                     1914-1941, and 1941-1970; the Annual Statistical Digest, 1970-1979;
                     and the Federal Reserve Bulletin, 1978 - January 8, 2003.
                     
                     Please refer to
                     http://www.federalreserve.gov/boarddocs/press/monetary/2003/20030106/default.htm
                     for further information on the discontinuation of this series
                     effective January 9, 2003.

DATE       VALUE
1934-02-02  1.50
1937-08-27  1.00
1942-10-30  0.50
1946-04-25  1.00
1948-01-12  1.25
1948-08-13  1.50
1950-08-21  1.75
1953-01-16  2.00
1954-02-05  1.75
1954-04-16  1.50
1955-04-15  1.75
1955-08-05  2.00
1955-09-09  2.25
1955-11-18  2.50
1956-04-13  2.75
1956-08-24  3.00
1957-08-23  3.50
1957-11-15  3.00
1958-01-24  2.75
1958-03-07  2.25
1958-04-18  1.75
1958-09-12  2.00
1958-11-07  2.50
1959-03-06  3.00
1959-05-29  3.50
1959-09-11  4.00
1960-06-10  3.50
1960-08-12  3.00
1963-07-17  3.50
1964-11-24  4.00
1965-12-06  4.50
1967-04-07  4.00
1967-11-20  4.50
1968-03-22  5.00
1968-04-19  5.50
1968-08-30  5.25
1968-12-18  5.50
1969-04-04  6.00
1970-11-13  5.75
1970-12-04  5.50
1971-01-08  5.25
1971-01-22  5.00
1971-02-19  4.75
1971-07-16  5.00
1971-11-19  4.75
1971-12-17  4.50
1973-01-15  5.00
1973-02-26  5.50
1973-05-04  5.75
1973-05-11  6.00
1973-06-11  6.50
1973-07-02  7.00
1973-08-14  7.50
1974-04-25  8.00
1974-12-09  7.75
1975-01-10  7.25
1975-02-05  6.75
1975-03-10  6.25
1975-05-16  6.00
1976-01-16  5.50
1976-11-22  5.25
1977-08-30  5.75
1977-10-26  6.00
1978-01-09  6.50
1978-05-11  7.00
1978-07-03  7.25
1978-08-21  7.75
1978-09-22  8.00
1978-10-16  8.50
1978-11-01  9.50
1979-07-20 10.00
1979-08-17 10.50
1979-09-19 11.00
1979-10-08 12.00
1980-02-15 13.00
1980-05-29 12.00
1980-06-13 11.00
1980-07-28 10.00
1980-09-26 11.00
1980-11-17 12.00
1980-12-05 13.00
1981-05-05 14.00
1981-11-02 13.00
1981-12-04 12.00
1982-07-20 11.50
1982-08-02 11.00
1982-08-16 10.50
1982-08-27 10.00
1982-10-12  9.50
1982-11-22  9.00
1982-12-14  8.50
1984-04-09  9.00
1984-11-21  8.50
1984-12-24  8.00
1985-05-20  7.50
1986-03-07  7.00
1986-04-21  6.50
1986-07-11  6.00
1986-08-21  5.50
1987-09-04  6.00
1988-08-09  6.50
1989-02-24  7.00
1990-12-19  6.50
1991-02-01  6.00
1991-04-30  5.50
1991-09-13  5.00
1991-11-06  4.50
1991-12-20  3.50
1992-07-02  3.00
1994-05-17  3.50
1994-08-16  4.00
1994-11-15  4.75
1995-02-01  5.25
1996-01-31  5.00
1998-10-15  4.75
1998-11-17  4.50
1999-08-24  4.75
1999-11-16  5.00
2000-02-02  5.25
2000-03-21  5.50
2000-05-16  6.00
2001-01-03  5.75
2001-01-04  5.50
2001-01-31  5.00
2001-03-20  4.50
2001-04-18  4.00
2001-05-15  3.50
2001-06-27  3.25
2001-08-21  3.00
2001-09-17  2.50
2001-10-02  2.00
2001-11-06  1.50
2001-12-11  1.25
2002-11-06  0.75
