Title:               10-Year 0-5/8% Treasury Inflation-Indexed Note, Due 1/15/2024©
Series ID:           DTP10J24
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2014-01-31 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2014-01-31   0.524
2014-02-03   0.445
2014-02-04   0.491
2014-02-05   0.532
2014-02-06   0.554
2014-02-07   0.504
2014-02-10   0.492
2014-02-11   0.535
2014-02-12   0.571
2014-02-13   0.535
2014-02-14   0.558
2014-02-17       .
2014-02-18   0.532
2014-02-19   0.579
2014-02-20   0.614
2014-02-21   0.581
2014-02-24   0.577
2014-02-25   0.530
2014-02-26   0.496
2014-02-27   0.465
2014-02-28   0.464
2014-03-03   0.416
2014-03-04   0.493
2014-03-05   0.497
2014-03-06   0.511
2014-03-07   0.556
2014-03-10   0.551
2014-03-11   0.541
2014-03-12   0.523
2014-03-13   0.472
2014-03-14   0.460
2014-03-17   0.493
2014-03-18   0.480
2014-03-19   0.571
2014-03-20   0.629
2014-03-21   0.583
2014-03-24   0.561
2014-03-25   0.573
2014-03-26   0.539
2014-03-27   0.528
2014-03-28   0.567
2014-03-31   0.572
2014-04-01   0.608
2014-04-02   0.645
2014-04-03   0.630
2014-04-04   0.566
2014-04-07   0.560
2014-04-08   0.550
2014-04-09   0.542
2014-04-10   0.477
2014-04-11   0.468
2014-04-14   0.498
2014-04-15   0.483
2014-04-16   0.459
2014-04-17   0.503
2014-04-18       .
2014-04-21   0.492
2014-04-22   0.500
2014-04-23   0.461
2014-04-24   0.450
2014-04-25   0.440
2014-04-28   0.476
2014-04-29   0.505
2014-04-30   0.463
2014-05-01   0.405
2014-05-02   0.396
2014-05-05   0.419
2014-05-06   0.420
2014-05-07   0.426
2014-05-08   0.382
2014-05-09   0.408
2014-05-12   0.462
2014-05-13   0.433
2014-05-14   0.350
2014-05-15   0.291
2014-05-16   0.303
2014-05-19   0.331
2014-05-20   0.323
2014-05-21   0.329
2014-05-22   0.302
2014-05-23   0.284
2014-05-26       .
2014-05-27   0.277
2014-05-28   0.195
2014-05-29   0.181
2014-05-30   0.200
2014-06-02   0.290
2014-06-03   0.368
2014-06-04   0.405
2014-06-05   0.373
2014-06-06   0.375
2014-06-09   0.379
2014-06-10   0.398
2014-06-11   0.403
2014-06-12   0.363
2014-06-13   0.387
2014-06-16   0.378
2014-06-17   0.400
2014-06-18   0.364
2014-06-19   0.349
2014-06-20   0.314
2014-06-23   0.321
2014-06-24   0.275
2014-06-25   0.255
2014-06-26   0.228
2014-06-27   0.229
2014-06-30   0.229
2014-07-01   0.287
2014-07-02   0.338
2014-07-03   0.341
2014-07-04       .
2014-07-07   0.318
2014-07-08   0.275
2014-07-09   0.245
2014-07-10   0.225
2014-07-11   0.214
2014-07-14   0.251
2014-07-15   0.270
2014-07-16   0.285
2014-07-17   0.219
2014-07-18   0.228
2014-07-21   0.215
2014-07-22   0.209
2014-07-23   0.213
2014-07-24   0.224
2014-07-25   0.181
2014-07-28   0.204
2014-07-29   0.182
2014-07-30   0.269
2014-07-31   0.262
2014-08-01   0.247
2014-08-04   0.244
2014-08-05   0.237
2014-08-06   0.231
2014-08-07   0.187
2014-08-08   0.184
2014-08-11   0.182
2014-08-12   0.209
2014-08-13   0.195
2014-08-14   0.174
2014-08-15   0.159
2014-08-18   0.209
2014-08-19   0.231
2014-08-20   0.262
2014-08-21   0.238
2014-08-22   0.267
2014-08-25   0.249
2014-08-26   0.250
2014-08-27   0.230
2014-08-28   0.213
2014-08-29   0.240
2014-09-01       .
2014-09-02   0.284
2014-09-03   0.261
2014-09-04   0.300
2014-09-05   0.324
2014-09-08   0.365
2014-09-09   0.411
2014-09-10   0.468
2014-09-11   0.427
2014-09-12   0.501
2014-09-15   0.476
2014-09-16   0.482
2014-09-17   0.558
2014-09-18   0.616
2014-09-19   0.580
2014-09-22   0.587
