Title:               10-Year 0.625% Treasury Inflation-Indexed Note, Due 1/15/2026©
Series ID:           DTP10J26
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2016-03-03 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2016-03-03   0.277
2016-03-04   0.341
2016-03-07   0.390
2016-03-08   0.339
2016-03-09   0.372
2016-03-10   0.416
2016-03-11   0.421
2016-03-14   0.423
2016-03-15   0.439
2016-03-16   0.337
2016-03-17   0.297
2016-03-18   0.242
2016-03-21   0.252
2016-03-22   0.283
2016-03-23   0.272
2016-03-24   0.308
2016-03-25       .
2016-03-28   0.304
2016-03-29   0.180
2016-03-30   0.168
2016-03-31   0.135
2016-04-01   0.139
2016-04-04   0.126
2016-04-05   0.120
2016-04-06   0.134
2016-04-07   0.090
2016-04-08   0.107
2016-04-11   0.136
2016-04-12   0.195
2016-04-13   0.175
2016-04-14   0.198
2016-04-15   0.177
2016-04-18   0.181
2016-04-19   0.151
2016-04-20   0.201
2016-04-21   0.214
2016-04-22   0.221
2016-04-25   0.224
2016-04-26   0.234
2016-04-27   0.160
2016-04-28   0.099
2016-04-29   0.085
2016-05-02   0.167
2016-05-03   0.134
2016-05-04   0.138
2016-05-05   0.097
2016-05-06   0.153
2016-05-09   0.145
2016-05-10   0.115
2016-05-11   0.103
2016-05-12   0.119
2016-05-13   0.095
2016-05-16   0.115
2016-05-17   0.110
2016-05-18   0.236
2016-05-19   0.234
2016-05-20   0.251
2016-05-23   0.248
2016-05-24   0.254
2016-05-25   0.251
2016-05-26   0.203
2016-05-27   0.232
2016-05-30       .
2016-05-31   0.244
2016-06-01   0.265
2016-06-02   0.230
2016-06-03   0.147
2016-06-06   0.130
2016-06-07   0.101
2016-06-08   0.084
2016-06-09   0.082
2016-06-10   0.067
2016-06-13   0.099
2016-06-14   0.121
2016-06-15   0.083
2016-06-16   0.096
2016-06-17   0.154
2016-06-20   0.200
2016-06-21   0.214
2016-06-22   0.202
2016-06-23   0.184
2016-06-24   0.114
2016-06-27   0.083
2016-06-28   0.055
2016-06-29   0.039
2016-06-30   0.041
2016-07-01  -0.023
2016-07-04       .
2016-07-05  -0.067
2016-07-06  -0.092
2016-07-07  -0.078
2016-07-08  -0.100
2016-07-11  -0.039
2016-07-12   0.016
2016-07-13  -0.015
2016-07-14   0.028
2016-07-15   0.067
2016-07-18   0.060
2016-07-19   0.058
2016-07-20   0.077
2016-07-21   0.079
2016-07-22   0.106
2016-07-25   0.126
2016-07-26   0.112
2016-07-27   0.079
2016-07-28   0.050
2016-07-29   0.006
2016-08-01   0.082
2016-08-02   0.145
2016-08-03   0.135
2016-08-04   0.077
2016-08-05   0.123
2016-08-08   0.123
2016-08-09   0.106
2016-08-10   0.098
2016-08-11   0.141
2016-08-12   0.109
2016-08-15   0.138
2016-08-16   0.172
2016-08-17   0.140
2016-08-18   0.098
2016-08-19   0.130
2016-08-22   0.111
2016-08-23   0.111
2016-08-24   0.115
2016-08-25   0.123
2016-08-26   0.190
2016-08-29   0.142
2016-08-30   0.151
2016-08-31   0.138
2016-09-01   0.149
2016-09-02   0.158
2016-09-05       .
2016-09-06   0.087
2016-09-07   0.062
2016-09-08   0.112
2016-09-09   0.195
2016-09-12   0.199
2016-09-13   0.267
2016-09-14   0.231
2016-09-15   0.231
2016-09-16   0.204
2016-09-19   0.211
2016-09-20   0.220
2016-09-21   0.177
2016-09-22   0.108
