Title:               10-Year 0-5/8% Treasury Inflation-Indexed Note, Due 7/15/2021©
Series ID:           DTP10L21
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2011-07-22 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2011-07-22   0.580
2011-07-25   0.561
2011-07-26   0.543
2011-07-27   0.530
2011-07-28   0.486
2011-07-29   0.363
2011-08-01   0.310
2011-08-02   0.271
2011-08-03   0.331
2011-08-04   0.237
2011-08-05   0.308
2011-08-08   0.156
2011-08-09   0.001
2011-08-10  -0.155
2011-08-11   0.027
2011-08-12  -0.041
2011-08-15   0.009
2011-08-16   0.006
2011-08-17  -0.016
2011-08-18   0.020
2011-08-19  -0.002
2011-08-22  -0.019
2011-08-23   0.092
2011-08-24   0.184
2011-08-25   0.106
2011-08-26   0.109
2011-08-29   0.186
2011-08-30   0.109
2011-08-31   0.129
2011-09-01   0.048
2011-09-02  -0.035
2011-09-05       .
2011-09-06   0.024
2011-09-07   0.050
2011-09-08  -0.025
2011-09-09  -0.066
2011-09-12  -0.033
2011-09-13   0.030
2011-09-14   0.079
2011-09-15   0.112
2011-09-16   0.093
2011-09-19   0.047
2011-09-20   0.029
2011-09-21  -0.040
2011-09-22   0.007
2011-09-23   0.051
2011-09-26   0.096
2011-09-27   0.108
2011-09-28   0.113
2011-09-29   0.128
2011-09-30   0.174
2011-10-03   0.035
2011-10-04   0.009
2011-10-05   0.105
2011-10-06   0.095
2011-10-07   0.117
2011-10-10       .
2011-10-11   0.181
2011-10-12   0.233
2011-10-13   0.231
2011-10-14   0.246
2011-10-17   0.195
2011-10-18   0.198
2011-10-19   0.196
2011-10-20   0.185
2011-10-21   0.195
2011-10-24   0.199
2011-10-25   0.086
2011-10-26   0.128
2011-10-27   0.199
2011-10-28   0.150
2011-10-31   0.055
2011-11-01  -0.060
2011-11-02  -0.097
2011-11-03  -0.029
2011-11-04  -0.095
2011-11-07  -0.155
2011-11-08  -0.080
2011-11-09  -0.107
2011-11-10  -0.078
2011-11-11       .
2011-11-14  -0.048
2011-11-15   0.015
2011-11-16   0.015
2011-11-17   0.009
2011-11-18   0.013
2011-11-21   0.027
2011-11-22   0.021
2011-11-23  -0.044
2011-11-24       .
2011-11-25   0.040
2011-11-28  -0.035
2011-11-29  -0.040
2011-11-30  -0.028
2011-12-01   0.005
2011-12-02  -0.050
2011-12-05  -0.055
2011-12-06  -0.039
2011-12-07  -0.080
2011-12-08  -0.041
2011-12-09  -0.018
2011-12-12  -0.087
2011-12-13  -0.103
2011-12-14  -0.105
2011-12-15  -0.064
2011-12-16  -0.094
2011-12-19  -0.159
2011-12-20  -0.152
2011-12-21  -0.132
2011-12-22  -0.139
2011-12-23  -0.086
2011-12-26       .
2011-12-27  -0.107
2011-12-28  -0.128
2011-12-29  -0.122
2011-12-30  -0.142
2012-01-02       .
2012-01-03  -0.088
2012-01-04  -0.127
2012-01-05  -0.164
2012-01-06  -0.171
2012-01-09  -0.186
2012-01-10  -0.149
2012-01-11  -0.166
2012-01-12  -0.149
2012-01-13  -0.211
2012-01-16       .
2012-01-17  -0.232
2012-01-18  -0.209
2012-01-19  -0.208
2012-01-20  -0.147
2012-01-23  -0.132
2012-01-24  -0.153
2012-01-25  -0.236
2012-01-26  -0.310
2012-01-27  -0.335
2012-01-30  -0.390
2012-01-31  -0.431
2012-02-01  -0.413
2012-02-02  -0.452
2012-02-03  -0.355
2012-02-06  -0.411
2012-02-07  -0.369
2012-02-08  -0.362
2012-02-09  -0.324
2012-02-10  -0.380
2012-02-13  -0.388
2012-02-14  -0.415
2012-02-15  -0.417
2012-02-16  -0.394
2012-02-17  -0.384
2012-02-20       .
2012-02-21  -0.388
2012-02-22  -0.431
2012-02-23  -0.456
