Title:               10-Year 0.375% Treasury Inflation-Indexed Note, Due 07/15/2025
Series ID:           DTP10L25
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2016-05-31 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal. 
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater. 
                      
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2016-05-31   0.224
2016-06-01   0.242
2016-06-02   0.205
2016-06-03   0.115
2016-06-06   0.103
2016-06-07   0.078
2016-06-08   0.063
2016-06-09   0.058
2016-06-10   0.054
2016-06-13   0.077
2016-06-14   0.098
2016-06-15   0.061
2016-06-16   0.073
2016-06-17   0.136
2016-06-20   0.183
2016-06-21   0.201
2016-06-22   0.189
2016-06-23   0.167
2016-06-24   0.097
2016-06-27   0.067
2016-06-28   0.040
2016-06-29   0.020
2016-06-30   0.020
2016-07-01  -0.046
2016-07-04       .
2016-07-05  -0.086
2016-07-06  -0.123
2016-07-07  -0.108
2016-07-08  -0.129
2016-07-11  -0.069
2016-07-12  -0.014
2016-07-13  -0.040
2016-07-14   0.001
2016-07-15   0.042
2016-07-18   0.031
2016-07-19   0.029
2016-07-20   0.045
2016-07-21   0.052
2016-07-22   0.075
2016-07-25   0.098
2016-07-26   0.086
2016-07-27   0.048
2016-07-28   0.010
2016-07-29  -0.038
2016-08-01   0.041
2016-08-02   0.105
2016-08-03   0.086
2016-08-04   0.027
2016-08-05   0.080
2016-08-08   0.077
2016-08-09   0.064
2016-08-10   0.057
2016-08-11   0.096
2016-08-12   0.059
2016-08-15   0.088
2016-08-16   0.125
2016-08-17   0.090
2016-08-18   0.048
2016-08-19   0.080
2016-08-22   0.060
2016-08-23   0.058
2016-08-24   0.061
2016-08-25   0.071
2016-08-26   0.139
2016-08-29   0.090
2016-08-30   0.104
2016-08-31   0.092
2016-09-01   0.103
2016-09-02   0.106
2016-09-05       .
2016-09-06   0.035
2016-09-07   0.014
2016-09-08   0.058
2016-09-09   0.143
2016-09-12   0.143
2016-09-13   0.211
2016-09-14   0.174
2016-09-15   0.175
2016-09-16   0.143
2016-09-19   0.154
2016-09-20   0.164
2016-09-21   0.118
2016-09-22   0.050
2016-09-23   0.006
2016-09-26   0.004
2016-09-27  -0.010
2016-09-28  -0.042
2016-09-29  -0.032
2016-09-30  -0.017
2016-10-03  -0.033
2016-10-04   0.021
2016-10-05   0.051
2016-10-06   0.060
2016-10-07   0.066
2016-10-10       .
2016-10-11   0.087
2016-10-12   0.099
2016-10-13   0.067
2016-10-14   0.081
2016-10-17   0.029
2016-10-18   0.025
2016-10-19   0.017
2016-10-20   0.021
2016-10-21   0.016
2016-10-24   0.039
2016-10-25   0.012
2016-10-26   0.018
2016-10-27   0.071
2016-10-28   0.066
2016-10-31   0.049
2016-11-01   0.048
2016-11-02   0.045
2016-11-03   0.069
2016-11-04   0.057
2016-11-07   0.050
2016-11-08   0.078
2016-11-09   0.152
2016-11-10   0.171
2016-11-11       .
2016-11-14   0.313
2016-11-15   0.330
2016-11-16   0.330
2016-11-17   0.340
2016-11-18   0.366
2016-11-21   0.367
2016-11-22   0.354
2016-11-23   0.398
2016-11-24       .
2016-11-25   0.411
2016-11-28   0.415
2016-11-29   0.415
2016-11-30   0.378
2016-12-01   0.417
2016-12-02   0.417
2016-12-05   0.394
2016-12-06   0.384
2016-12-07   0.363
2016-12-08   0.366
2016-12-09   0.427
2016-12-12   0.443
2016-12-13   0.443
2016-12-14   0.518
2016-12-15   0.624
2016-12-16   0.678
2016-12-19   0.634
2016-12-20   0.607
2016-12-21   0.577
2016-12-22   0.538
2016-12-23   0.511
2016-12-26       .
2016-12-27   0.517
2016-12-28   0.489
2016-12-29   0.473
2016-12-30   0.427
2017-01-02       .
2017-01-03   0.399
2017-01-04   0.390
2017-01-05   0.342
2017-01-06   0.380
2017-01-09   0.349
2017-01-10   0.342
2017-01-11   0.305
2017-01-12   0.291
