Title:               20-Year 2% Treasury Inflation-Indexed Bond, Due 1/15/2026©
Series ID:           DTP20J26
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2010-01-04 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2010-01-04   1.977
2010-01-05   1.906
2010-01-06   1.943
2010-01-07   1.943
2010-01-08   1.910
2010-01-11   1.952
2010-01-12   1.893
2010-01-13   1.969
2010-01-14   1.931
2010-01-15   1.919
2010-01-18       .
2010-01-19   1.935
2010-01-20   1.903
2010-01-21   1.887
2010-01-22   1.891
2010-01-25   1.909
2010-01-26   1.916
2010-01-27   1.928
2010-01-28   1.893
2010-01-29   1.842
2010-02-01   1.839
2010-02-02   1.827
2010-02-03   1.883
2010-02-04   1.862
2010-02-05   1.895
2010-02-08   1.898
2010-02-09   1.930
2010-02-10   2.000
2010-02-11   2.036
2010-02-12   2.040
2010-02-15       .
2010-02-16   2.002
2010-02-17   2.036
2010-02-18   2.058
2010-02-19   2.047
2010-02-22   2.081
2010-02-23   2.045
2010-02-24   2.072
2010-02-25   2.051
2010-02-26   2.013
2010-03-01   2.032
2010-03-02   2.032
2010-03-03   2.031
2010-03-04   2.006
2010-03-05   2.034
2010-03-08   2.057
2010-03-09   2.056
2010-03-10   2.056
2010-03-11   2.056
2010-03-12   2.021
2010-03-15   2.017
2010-03-16   1.976
2010-03-17   1.949
2010-03-18   1.971
2010-03-19   1.988
2010-03-22   1.975
2010-03-23   1.993
2010-03-24   2.089
2010-03-25   2.106
