Title:               20-Year 1-3/4% Treasury Inflation-Indexed Bond, Due 1/15/2028©
Series ID:           DTP20J28
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2010-01-04 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2010-01-04   2.033
2010-01-05   1.963
2010-01-06   1.997
2010-01-07   2.002
2010-01-08   1.966
2010-01-11   2.013
2010-01-12   1.944
2010-01-13   2.021
2010-01-14   1.990
2010-01-15   1.979
2010-01-18       .
2010-01-19   1.991
2010-01-20   1.962
2010-01-21   1.945
2010-01-22   1.952
2010-01-25   1.971
2010-01-26   1.974
2010-01-27   1.987
2010-01-28   1.956
2010-01-29   1.913
2010-02-01   1.913
2010-02-02   1.898
2010-02-03   1.957
2010-02-04   1.934
2010-02-05   1.969
2010-02-08   1.967
2010-02-09   2.003
2010-02-10   2.072
2010-02-11   2.113
2010-02-12   2.114
2010-02-15       .
2010-02-16   2.077
2010-02-17   2.110
2010-02-18   2.132
2010-02-19   2.119
2010-02-22   2.158
2010-02-23   2.115
2010-02-24   2.140
2010-02-25   2.116
2010-02-26   2.080
2010-03-01   2.100
2010-03-02   2.099
2010-03-03   2.103
2010-03-04   2.072
2010-03-05   2.106
2010-03-08   2.127
2010-03-09   2.132
2010-03-10   2.131
2010-03-11   2.127
2010-03-12   2.093
2010-03-15   2.089
2010-03-16   2.053
2010-03-17   2.029
2010-03-18   2.045
2010-03-19   2.066
2010-03-22   2.054
2010-03-23   2.069
2010-03-24   2.167
2010-03-25   2.183
2010-03-26   2.162
2010-03-29   2.181
2010-03-30   2.180
2010-03-31   2.118
2010-04-01   2.109
2010-04-02   2.179
2010-04-05   2.210
2010-04-06   2.166
2010-04-07   2.051
2010-04-08   2.074
2010-04-09   2.064
2010-04-12   2.027
2010-04-13   2.007
2010-04-14   2.040
2010-04-15   2.010
2010-04-16   1.972
2010-04-19   2.005
2010-04-20   1.983
2010-04-21   1.926
2010-04-22   1.959
2010-04-23   1.955
2010-04-26   1.965
2010-04-27   1.876
2010-04-28   1.925
2010-04-29   1.831
2010-04-30   1.786
2010-05-03   1.822
2010-05-04   1.790
2010-05-05   1.773
2010-05-06   1.677
2010-05-07   1.739
2010-05-10   1.785
2010-05-11   1.791
2010-05-12   1.778
2010-05-13   1.763
2010-05-14   1.720
2010-05-17   1.762
2010-05-18   1.689
2010-05-19   1.748
2010-05-20   1.807
2010-05-21   1.740
2010-05-24   1.753
2010-05-25   1.767
2010-05-26   1.760
2010-05-27   1.800
2010-05-28   1.771
2010-05-31       .
2010-06-01   1.772
2010-06-02   1.810
2010-06-03   1.793
2010-06-04   1.702
2010-06-07   1.716
2010-06-08   1.725
2010-06-09   1.726
2010-06-10   1.805
2010-06-11   1.744
2010-06-14   1.759
2010-06-15   1.776
2010-06-16   1.755
2010-06-17   1.676
2010-06-18   1.709
2010-06-21   1.696
2010-06-22   1.644
2010-06-23   1.654
2010-06-24   1.691
2010-06-25   1.686
2010-06-28   1.667
2010-06-29   1.639
2010-06-30   1.640
2010-07-01   1.698
2010-07-02   1.752
2010-07-05       .
2010-07-06   1.731
2010-07-07   1.783
2010-07-08   1.757
2010-07-09   1.761
2010-07-12   1.751
2010-07-13   1.788
2010-07-14   1.744
2010-07-15   1.732
2010-07-16   1.780
2010-07-19   1.849
2010-07-20   1.824
2010-07-21   1.760
2010-07-22   1.773
2010-07-23   1.823
2010-07-26   1.812
2010-07-27   1.838
2010-07-28   1.806
2010-07-29   1.804
2010-07-30   1.745
2010-08-02   1.749
2010-08-03   1.696
2010-08-04   1.718
2010-08-05   1.699
2010-08-06   1.666
2010-08-09   1.673
2010-08-10   1.608
2010-08-11   1.557
2010-08-12   1.630
2010-08-13   1.572
2010-08-16   1.513
2010-08-17   1.575
2010-08-18   1.575
2010-08-19   1.554
2010-08-20   1.569
2010-08-23   1.575
2010-08-24   1.540
2010-08-25   1.519
2010-08-26   1.405
2010-08-27   1.496
2010-08-30   1.442
2010-08-31   1.372
2010-09-01   1.459
2010-09-02   1.460
2010-09-03   1.478
2010-09-06       .
2010-09-07   1.403
2010-09-08   1.437
2010-09-09   1.488
2010-09-10   1.467
2010-09-13   1.409
2010-09-14   1.394
2010-09-15   1.454
2010-09-16   1.499
2010-09-17   1.514
2010-09-20   1.468
2010-09-21   1.371
2010-09-22   1.283
2010-09-23   1.312
2010-09-24   1.367
2010-09-27   1.343
2010-09-28   1.245
2010-09-29   1.320
2010-09-30   1.301
2010-10-01   1.348
2010-10-04   1.340
2010-10-05   1.273
2010-10-06   1.160
2010-10-07   1.213
2010-10-08   1.159
2010-10-11       .
2010-10-12   1.188
2010-10-13   1.114
2010-10-14   1.079
2010-10-15   1.158
2010-10-18   1.123
2010-10-19   1.091
2010-10-20   1.098
2010-10-21   1.099
2010-10-22   1.115
2010-10-25   1.075
2010-10-26   1.125
2010-10-27   1.165
2010-10-28   1.128
2010-10-29   1.077
2010-11-01   1.064
2010-11-02   1.009
2010-11-03   1.104
2010-11-04   1.075
2010-11-05   1.121
2010-11-08   1.137
2010-11-09   1.220
2010-11-10   1.191
2010-11-11       .
2010-11-12   1.294
2010-11-15   1.421
2010-11-16   1.384
2010-11-17   1.413
2010-11-18   1.421
2010-11-19   1.383
2010-11-22   1.327
2010-11-23   1.302
2010-11-24   1.405
2010-11-25       .
2010-11-26   1.347
2010-11-29   1.319
2010-11-30   1.351
2010-12-01   1.459
2010-12-02   1.458
2010-12-03   1.488
2010-12-06   1.421
2010-12-07   1.542
2010-12-08   1.619
2010-12-09   1.690
2010-12-10   1.718
2010-12-13   1.665
2010-12-14   1.812
2010-12-15   1.778
2010-12-16   1.720
2010-12-17   1.593
2010-12-20   1.679
2010-12-21   1.626
2010-12-22   1.651
2010-12-23   1.691
2010-12-24       .
2010-12-27   1.648
2010-12-28   1.782
2010-12-29   1.673
2010-12-30   1.697
2010-12-31   1.619
2011-01-03   1.663
2011-01-04   1.662
2011-01-05   1.739
2011-01-06   1.701
2011-01-07   1.658
2011-01-10   1.645
2011-01-11   1.638
2011-01-12   1.652
2011-01-13   1.631
2011-01-14   1.671
2011-01-17       .
2011-01-18   1.679
2011-01-19   1.646
2011-01-20   1.759
2011-01-21   1.764
2011-01-24   1.784
2011-01-25   1.739
2011-01-26   1.804
2011-01-27   1.783
2011-01-28   1.771
2011-01-31   1.792
2011-02-01   1.793
2011-02-02   1.828
2011-02-03   1.876
2011-02-04   1.936
2011-02-07   1.934
2011-02-08   1.989
2011-02-09   1.952
2011-02-10   2.035
2011-02-11   1.981
2011-02-14   1.960
2011-02-15   1.961
2011-02-16   1.975
2011-02-17   1.929
2011-02-18   1.898
2011-02-21       .
2011-02-22   1.800
2011-02-23   1.781
2011-02-24   1.708
2011-02-25   1.684
2011-02-28   1.686
2011-03-01   1.653
2011-03-02   1.677
2011-03-03   1.725
2011-03-04   1.653
2011-03-07   1.652
2011-03-08   1.673
2011-03-09   1.648
2011-03-10   1.574
2011-03-11   1.600
2011-03-14   1.595
2011-03-15   1.587
2011-03-16   1.510
2011-03-17   1.501
2011-03-18   1.506
2011-03-21   1.536
2011-03-22   1.574
2011-03-23   1.613
2011-03-24   1.607
2011-03-25   1.637
2011-03-28   1.637
2011-03-29   1.673
2011-03-30   1.645
2011-03-31   1.615
2011-04-01   1.576
2011-04-04   1.551
2011-04-05   1.569
2011-04-06   1.654
2011-04-07   1.624
2011-04-08   1.583
2011-04-11   1.584
2011-04-12   1.528
2011-04-13   1.511
2011-04-14   1.502
2011-04-15   1.421
2011-04-18   1.421
2011-04-19   1.378
2011-04-20   1.422
2011-04-21   1.459
2011-04-22       .
2011-04-25   1.441
2011-04-26   1.420
2011-04-27   1.476
2011-04-28   1.427
2011-04-29   1.404
2011-05-02   1.393
2011-05-03   1.370
2011-05-04   1.340
2011-05-05   1.356
2011-05-06   1.363
2011-05-09   1.351
2011-05-10   1.382
2011-05-11   1.393
2011-05-12   1.431
2011-05-13   1.436
2011-05-16   1.436
2011-05-17   1.433
2011-05-18   1.440
2011-05-19   1.474
2011-05-20   1.484
2011-05-23   1.484
2011-05-24   1.444
2011-05-25   1.445
2011-05-26   1.401
2011-05-27   1.430
2011-05-30       .
2011-05-31   1.427
2011-06-01   1.377
2011-06-02   1.414
2011-06-03   1.401
2011-06-06   1.415
2011-06-07   1.420
2011-06-08   1.412
2011-06-09   1.435
2011-06-10   1.427
2011-06-13   1.432
2011-06-14   1.486
2011-06-15   1.416
2011-06-16   1.400
2011-06-17   1.453
2011-06-20   1.476
2011-06-21   1.454
2011-06-22   1.488
2011-06-23   1.380
2011-06-24   1.305
2011-06-27   1.357
2011-06-28   1.396
2011-06-29   1.394
2011-06-30   1.412
2011-07-01   1.429
2011-07-04       .
2011-07-05   1.417
2011-07-06   1.384
2011-07-07   1.379
2011-07-08   1.315
2011-07-11   1.244
2011-07-12   1.215
2011-07-13   1.177
2011-07-14   1.236
2011-07-15   1.215
2011-07-18   1.211
2011-07-19   1.144
2011-07-20   1.219
2011-07-21   1.236
2011-07-22   1.197
2011-07-25   1.203
2011-07-26   1.176
2011-07-27   1.146
2011-07-28   1.102
2011-07-29   0.955
2011-08-01   0.886
2011-08-02   0.806
2011-08-03   0.847
2011-08-04   0.747
2011-08-05   0.822
2011-08-08   0.697
2011-08-09   0.574
2011-08-10   0.429
2011-08-11   0.663
2011-08-12   0.569
2011-08-15   0.622
2011-08-16   0.587
2011-08-17   0.531
2011-08-18   0.553
2011-08-19   0.504
2011-08-22   0.493
2011-08-23   0.588
2011-08-24   0.725
2011-08-25   0.676
2011-08-26   0.655
2011-08-29   0.725
2011-08-30   0.638
2011-08-31   0.717
2011-09-01   0.639
2011-09-02   0.493
2011-09-05       .
2011-09-06   0.551
2011-09-07   0.607
2011-09-08   0.568
2011-09-09   0.519
2011-09-12   0.544
2011-09-13   0.604
2011-09-14   0.640
2011-09-15   0.668
2011-09-16   0.655
2011-09-19   0.588
2011-09-20   0.596
2011-09-21   0.520
2011-09-22   0.491
2011-09-23   0.576
2011-09-26   0.690
2011-09-27   0.725
2011-09-28   0.683
2011-09-29   0.680
2011-09-30   0.717
2011-10-03   0.551
2011-10-04   0.507
2011-10-05   0.594
2011-10-06   0.605
2011-10-07   0.626
2011-10-10       .
2011-10-11   0.690
2011-10-12   0.752
2011-10-13   0.746
2011-10-14   0.788
2011-10-17   0.730
2011-10-18   0.729
2011-10-19   0.701
2011-10-20   0.669
2011-10-21   0.702
2011-10-24   0.711
2011-10-25   0.589
2011-10-26   0.625
2011-10-27   0.724
2011-10-28   0.668
2011-10-31   0.553
2011-11-01   0.408
2011-11-02   0.400
2011-11-03   0.467
2011-11-04   0.402
2011-11-07   0.332
2011-11-08   0.416
2011-11-09   0.373
2011-11-10   0.434
2011-11-11       .
2011-11-14   0.434
2011-11-15   0.489
2011-11-16   0.486
2011-11-17   0.491
2011-11-18   0.491
2011-11-21   0.488
2011-11-22   0.487
2011-11-23   0.414
2011-11-24       .
2011-11-25   0.467
2011-11-28   0.415
2011-11-29   0.421
2011-11-30   0.467
2011-12-01   0.520
2011-12-02   0.443
2011-12-05   0.450
2011-12-06   0.483
2011-12-07   0.469
2011-12-08   0.516
2011-12-09   0.554
2011-12-12   0.473
2011-12-13   0.413
2011-12-14   0.374
2011-12-15   0.426
2011-12-16   0.403
2011-12-19   0.342
2011-12-20   0.349
2011-12-21   0.367
2011-12-22   0.379
2011-12-23   0.451
2011-12-26       .
2011-12-27   0.442
2011-12-28   0.386
2011-12-29   0.416
2011-12-30   0.401
2012-01-02       .
2012-01-03   0.461
2012-01-04   0.437
2012-01-05   0.402
2012-01-06   0.374
2012-01-09   0.366
2012-01-10   0.390
2012-01-11   0.365
2012-01-12   0.390
2012-01-13   0.329
2012-01-16       .
2012-01-17   0.310
2012-01-18   0.359
2012-01-19   0.379
2012-01-20   0.432
2012-01-23   0.460
2012-01-24   0.454
2012-01-25   0.381
2012-01-26   0.332
2012-01-27   0.319
2012-01-30   0.263
2012-01-31   0.204
2012-02-01   0.237
2012-02-02   0.209
2012-02-03   0.321
2012-02-06   0.268
2012-02-07   0.301
2012-02-08   0.291
2012-02-09   0.346
2012-02-10   0.289
2012-02-13   0.285
2012-02-14   0.247
2012-02-15   0.257
2012-02-16   0.290
2012-02-17   0.319
2012-02-20       .
2012-02-21   0.323
2012-02-22   0.285
2012-02-23   0.268
2012-02-24   0.274
2012-02-27   0.234
2012-02-28   0.235
2012-02-29   0.257
2012-03-01   0.322
2012-03-02   0.328
2012-03-05   0.387
2012-03-06   0.344
2012-03-07   0.345
2012-03-08   0.355
2012-03-09   0.339
2012-03-12   0.327
2012-03-13   0.347
2012-03-14   0.464
2012-03-15   0.433
2012-03-16   0.420
2012-03-19   0.481
2012-03-20   0.476
2012-03-21   0.441
2012-03-22   0.444
2012-03-23   0.401
2012-03-26   0.448
2012-03-27   0.423
2012-03-28   0.421
2012-03-29   0.399
2012-03-30   0.465
2012-04-02   0.408
2012-04-03   0.467
2012-04-04   0.482
2012-04-05   0.437
2012-04-06   0.363
2012-04-09   0.359
2012-04-10   0.287
2012-04-11   0.292
2012-04-12   0.310
2012-04-13   0.281
2012-04-16   0.262
2012-04-17   0.239
2012-04-18   0.249
2012-04-19   0.271
2012-04-20   0.253
2012-04-23   0.226
2012-04-24   0.235
2012-04-25   0.247
2012-04-26   0.210
2012-04-27   0.222
2012-04-30   0.224
2012-05-01   0.259
2012-05-02   0.228
2012-05-03   0.235
2012-05-04   0.219
2012-05-07   0.208
2012-05-08   0.180
2012-05-09   0.190
2012-05-10   0.202
2012-05-11   0.187
2012-05-14   0.136
2012-05-15   0.118
2012-05-16   0.140
2012-05-17   0.081
2012-05-18   0.046
2012-05-21   0.029
2012-05-22   0.074
2012-05-23   0.033
2012-05-24   0.073
2012-05-25   0.081
2012-05-28       .
2012-05-29   0.112
2012-05-30   0.050
2012-05-31  -0.004
2012-06-01  -0.120
2012-06-04  -0.109
2012-06-05  -0.113
2012-06-06  -0.053
2012-06-07  -0.002
2012-06-08   0.003
2012-06-11  -0.017
2012-06-12   0.029
2012-06-13  -0.004
2012-06-14   0.017
2012-06-15  -0.031
2012-06-18  -0.026
2012-06-19  -0.010
2012-06-20  -0.009
2012-06-21   0.026
2012-06-22   0.082
2012-06-25   0.030
2012-06-26   0.037
2012-06-27   0.025
2012-06-28   0.006
2012-06-29   0.087
2012-07-02   0.005
2012-07-03   0.026
2012-07-04       .
2012-07-05  -0.003
2012-07-06  -0.034
2012-07-09  -0.067
2012-07-10  -0.109
2012-07-11  -0.101
2012-07-12  -0.116
2012-07-13  -0.108
2012-07-16  -0.137
2012-07-17  -0.099
2012-07-18  -0.115
2012-07-19  -0.097
2012-07-20  -0.153
2012-07-23  -0.159
2012-07-24  -0.168
2012-07-25  -0.158
2012-07-26  -0.141
2012-07-27  -0.066
2012-07-30  -0.120
2012-07-31  -0.157
2012-08-01  -0.132
2012-08-02  -0.173
2012-08-03  -0.116
2012-08-06  -0.137
2012-08-07  -0.108
2012-08-08  -0.070
2012-08-09  -0.046
2012-08-10  -0.051
2012-08-13  -0.040
2012-08-14   0.018
2012-08-15   0.109
2012-08-16   0.139
2012-08-17   0.136
2012-08-20   0.130
2012-08-21   0.113
2012-08-22   0.032
2012-08-23  -0.033
2012-08-24  -0.031
2012-08-27  -0.067
2012-08-28  -0.100
2012-08-29  -0.077
2012-08-30  -0.063
2012-08-31  -0.099
2012-09-03       .
2012-09-04  -0.100
2012-09-05  -0.108
2012-09-06  -0.049
2012-09-07  -0.085
2012-09-10  -0.084
2012-09-11  -0.086
2012-09-12  -0.022
2012-09-13  -0.097
2012-09-14  -0.166
2012-09-17  -0.128
2012-09-18  -0.128
2012-09-19  -0.161
2012-09-20  -0.134
2012-09-21  -0.133
2012-09-24  -0.141
2012-09-25  -0.176
2012-09-26  -0.230
2012-09-27  -0.204
2012-09-28  -0.181
2012-10-01  -0.196
2012-10-02  -0.269
2012-10-03  -0.268
2012-10-04  -0.286
2012-10-05  -0.240
2012-10-08       .
2012-10-09  -0.236
2012-10-10  -0.229
2012-10-11  -0.223
2012-10-12  -0.214
2012-10-15  -0.215
2012-10-16  -0.137
2012-10-17  -0.075
2012-10-18  -0.084
2012-10-19  -0.159
2012-10-22  -0.158
2012-10-23  -0.174
2012-10-24  -0.162
2012-10-25  -0.121
2012-10-26  -0.172
2012-10-29  -0.221
2012-10-30       .
2012-10-31  -0.270
2012-11-01  -0.242
2012-11-02  -0.212
2012-11-05  -0.238
2012-11-06  -0.206
2012-11-07  -0.284
2012-11-08  -0.340
2012-11-09  -0.315
2012-11-12       .
2012-11-13  -0.320
2012-11-14  -0.308
2012-11-15  -0.288
2012-11-16  -0.293
2012-11-19  -0.262
2012-11-20  -0.217
2012-11-21  -0.186
2012-11-22       .
2012-11-23  -0.182
2012-11-26  -0.202
2012-11-27  -0.215
2012-11-28  -0.228
2012-11-29  -0.244
2012-11-30  -0.282
2012-12-03  -0.290
2012-12-04  -0.316
2012-12-05  -0.334
2012-12-06  -0.362
2012-12-07  -0.343
2012-12-10  -0.368
2012-12-11  -0.345
2012-12-12  -0.307
2012-12-13  -0.256
2012-12-14  -0.276
2012-12-17  -0.232
2012-12-18  -0.178
2012-12-19  -0.194
2012-12-20  -0.206
2012-12-21  -0.249
2012-12-24  -0.234
2012-12-25       .
2012-12-26  -0.249
2012-12-27  -0.267
2012-12-28  -0.249
2012-12-31  -0.198
2013-01-01       .
2013-01-02  -0.143
2013-01-03  -0.064
2013-01-04  -0.067
2013-01-07  -0.113
2013-01-08  -0.131
2013-01-09  -0.165
2013-01-10  -0.125
2013-01-11  -0.141
2013-01-14  -0.148
2013-01-15  -0.166
2013-01-16  -0.161
2013-01-17  -0.147
2013-01-18  -0.174
2013-01-21       .
2013-01-22  -0.181
2013-01-23  -0.175
2013-01-24  -0.174
2013-01-25  -0.095
2013-01-28  -0.086
2013-01-29  -0.064
2013-01-30  -0.035
2013-01-31  -0.090
2013-02-01  -0.050
2013-02-04  -0.084
2013-02-05  -0.035
2013-02-06  -0.068
2013-02-07  -0.075
2013-02-08  -0.053
2013-02-11  -0.059
2013-02-12  -0.032
2013-02-13   0.002
2013-02-14  -0.020
2013-02-15   0.010
2013-02-18       .
2013-02-19   0.022
2013-02-20   0.012
2013-02-21   0.005
2013-02-22  -0.020
2013-02-25  -0.070
2013-02-26  -0.073
2013-02-27  -0.065
2013-02-28  -0.084
2013-03-01  -0.110
2013-03-04  -0.103
2013-03-05  -0.108
2013-03-06  -0.069
2013-03-07  -0.030
2013-03-08   0.025
2013-03-11   0.025
2013-03-12   0.001
2013-03-13   0.002
2013-03-14  -0.012
2013-03-15  -0.018
2013-03-18  -0.058
2013-03-19  -0.087
2013-03-20  -0.057
2013-03-21  -0.055
2013-03-22  -0.069
2013-03-25  -0.062
2013-03-26  -0.068
2013-03-27  -0.098
2013-03-28  -0.099
2013-03-29       .
2013-04-01  -0.113
2013-04-02  -0.097
2013-04-03  -0.123
2013-04-04  -0.195
2013-04-05  -0.281
2013-04-08  -0.237
2013-04-09  -0.194
2013-04-10  -0.125
2013-04-11  -0.173
2013-04-12  -0.227
2013-04-15  -0.240
2013-04-16  -0.218
2013-04-17  -0.212
2013-04-18  -0.152
2013-04-19  -0.194
2013-04-22  -0.218
2013-04-23  -0.224
2013-04-24  -0.233
2013-04-25  -0.246
2013-04-26  -0.274
2013-04-29  -0.250
2013-04-30  -0.221
2013-05-01  -0.228
2013-05-02  -0.225
2013-05-03  -0.135
2013-05-06  -0.091
2013-05-07  -0.088
2013-05-08  -0.077
2013-05-09  -0.060
2013-05-10  -0.010
2013-05-13   0.014
2013-05-14   0.053
2013-05-15   0.069
2013-05-16   0.017
2013-05-17   0.097
2013-05-20   0.126
2013-05-21   0.103
2013-05-22   0.205
2013-05-23   0.214
2013-05-24   0.183
2013-05-27       .
2013-05-28   0.287
2013-05-29   0.319
2013-05-30   0.370
2013-05-31   0.402
2013-06-03   0.366
2013-06-04   0.382
2013-06-05   0.391
2013-06-06   0.404
2013-06-07   0.465
2013-06-10   0.566
2013-06-11   0.595
2013-06-12   0.685
2013-06-13   0.658
2013-06-14   0.612
2013-06-17   0.665
2013-06-18   0.643
2013-06-19   0.759
2013-06-20   0.917
2013-06-21   1.011
2013-06-24   1.054
2013-06-25   1.061
2013-06-26   0.984
2013-06-27   0.868
2013-06-28   0.851
2013-07-01   0.841
2013-07-02   0.783
2013-07-03   0.833
2013-07-04       .
2013-07-05   0.994
2013-07-08   0.943
2013-07-09   0.953
2013-07-10   1.001
2013-07-11   0.930
2013-07-12   0.943
2013-07-15   0.885
2013-07-16   0.838
2013-07-17   0.800
2013-07-18   0.837
2013-07-19   0.758
2013-07-22   0.752
2013-07-23   0.792
2013-07-24   0.889
2013-07-25   0.897
2013-07-26   0.856
2013-07-29   0.866
2013-07-30   0.876
2013-07-31   0.839
2013-08-01   0.915
2013-08-02   0.849
2013-08-05   0.856
2013-08-06   0.809
2013-08-07   0.762
2013-08-08   0.747
2013-08-09   0.738
2013-08-12   0.773
2013-08-13   0.891
2013-08-14   0.905
2013-08-15   0.980
2013-08-16   1.064
2013-08-19   1.136
2013-08-20   1.054
2013-08-21   1.086
2013-08-22   1.133
2013-08-23   1.038
2013-08-26   1.004
2013-08-27   0.927
2013-08-28   0.980
2013-08-29   0.971
2013-08-30   1.025
2013-09-02       .
2013-09-03   1.086
2013-09-04   1.153
2013-09-05   1.236
2013-09-06   1.195
2013-09-09   1.167
2013-09-10   1.198
2013-09-11   1.131
2013-09-12   1.131
2013-09-13   1.133
2013-09-16   1.123
2013-09-17   1.070
2013-09-18   0.936
2013-09-19   0.976
2013-09-20   0.923
2013-09-23   0.880
2013-09-24   0.844
2013-09-25   0.827
2013-09-26   0.847
2013-09-27   0.841
2013-09-30   0.839
2013-10-01   0.858
