Title:               30-Year 1-3/8% Treasury Inflation-Indexed Note, Due 2/15/2044©
Series ID:           DTP30F44
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2014-04-10 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE        VALUE
2014-04-10  1.204
2014-04-11  1.181
2014-04-14  1.189
2014-04-15  1.175
2014-04-16  1.150
2014-04-17  1.206
2014-04-18      .
2014-04-21  1.196
2014-04-22  1.179
2014-04-23  1.141
2014-04-24  1.127
2014-04-25  1.110
2014-04-28  1.143
2014-04-29  1.184
2014-04-30  1.149
2014-05-01  1.080
2014-05-02  1.046
2014-05-05  1.091
2014-05-06  1.076
2014-05-07  1.105
2014-05-08  1.100
2014-05-09  1.139
2014-05-12  1.173
2014-05-13  1.145
2014-05-14  1.064
2014-05-15  1.011
2014-05-16  1.016
2014-05-19  1.074
2014-05-20  1.073
2014-05-21  1.099
2014-05-22  1.094
2014-05-23  1.064
2014-05-26      .
2014-05-27  1.044
2014-05-28  0.974
2014-05-29  0.976
2014-05-30  0.992
2014-06-02  1.067
2014-06-03  1.133
2014-06-04  1.158
2014-06-05  1.142
2014-06-06  1.138
2014-06-09  1.146
2014-06-10  1.156
2014-06-11  1.158
2014-06-12  1.123
2014-06-13  1.128
2014-06-16  1.100
2014-06-17  1.122
2014-06-18  1.098
2014-06-19  1.103
2014-06-20  1.086
2014-06-23  1.082
2014-06-24  1.032
2014-06-25  1.008
2014-06-26  0.981
2014-06-27  0.997
2014-06-30  0.973
2014-07-01  1.038
2014-07-02  1.103
2014-07-03  1.092
2014-07-04      .
2014-07-07  1.061
2014-07-08  1.007
2014-07-09  0.975
2014-07-10  0.979
2014-07-11  0.959
2014-07-14  0.987
2014-07-15  0.993
2014-07-16  0.990
2014-07-17  0.933
2014-07-18  0.935
2014-07-21  0.907
2014-07-22  0.904
2014-07-23  0.913
2014-07-24  0.935
2014-07-25  0.872
2014-07-28  0.897
2014-07-29  0.858
2014-07-30  0.942
2014-07-31  0.929
2014-08-01  0.931
2014-08-04  0.935
2014-08-05  0.926
2014-08-06  0.928
2014-08-07  0.888
2014-08-08  0.896
2014-08-11  0.904
2014-08-12  0.939
2014-08-13  0.923
2014-08-14  0.873
2014-08-15  0.829
2014-08-18  0.887
2014-08-19  0.920
2014-08-20  0.926
2014-08-21  0.898
2014-08-22  0.874
2014-08-25  0.848
2014-08-26  0.867
2014-08-27  0.831
2014-08-28  0.800
2014-08-29  0.830
2014-09-01      .
2014-09-02  0.891
2014-09-03  0.875
2014-09-04  0.926
2014-09-05  0.958
2014-09-08  0.952
2014-09-09  0.965
2014-09-10  1.014
2014-09-11  0.983
2014-09-12  1.082
2014-09-15  1.073
2014-09-16  1.093
2014-09-17  1.124
2014-09-18  1.159
2014-09-19  1.109
2014-09-22  1.122
2014-09-23  1.079
2014-09-24  1.082
2014-09-25  1.039
2014-09-26  1.072
2014-09-29  1.059
2014-09-30  1.080
2014-10-01  0.992
2014-10-02  1.021
2014-10-03  1.027
2014-10-06  1.032
2014-10-07  0.982
2014-10-08  0.954
2014-10-09  0.944
2014-10-10  0.918
2014-10-13      .
2014-10-14  0.877
2014-10-15  0.829
2014-10-16  0.865
2014-10-17  0.874
2014-10-20  0.883
2014-10-21  0.913
2014-10-22  0.922
2014-10-23  0.957
2014-10-24  0.971
2014-10-27  0.958
2014-10-28  0.961
2014-10-29  0.947
2014-10-30  0.935
2014-10-31  0.954
2014-11-03  0.967
2014-11-04  0.956
2014-11-05  0.952
2014-11-06  0.965
2014-11-07  0.926
2014-11-10  0.958
2014-11-11      .
2014-11-12  0.980
2014-11-13  0.992
2014-11-14  0.969
2014-11-17  1.004
2014-11-18  1.004
2014-11-19  1.046
2014-11-20  1.027
2014-11-21  0.984
2014-11-24  0.971
2014-11-25  0.943
2014-11-26  0.932
2014-11-27      .
2014-11-28  0.902
2014-12-01  0.939
2014-12-02  0.995
2014-12-03  0.980
2014-12-04  0.956
2014-12-05  0.964
2014-12-08  0.919
2014-12-09  0.885
2014-12-10  0.871
2014-12-11  0.858
2014-12-12  0.830
2014-12-15  0.824
2014-12-16  0.764
