Title:               30-Year 0-3/4% Treasury Inflation-Indexed Bond, Due 2/15/2045©
Series ID:           DTP30F45
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2015-03-05 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE        VALUE
2015-03-05  0.730
2015-03-06  0.853
2015-03-09  0.866
2015-03-10  0.832
2015-03-11  0.807
2015-03-12  0.822
2015-03-13  0.854
2015-03-16  0.853
2015-03-17  0.800
2015-03-18  0.652
2015-03-19  0.626
2015-03-20  0.597
2015-03-23  0.601
2015-03-24  0.541
2015-03-25  0.555
2015-03-26  0.649
2015-03-27  0.621
2015-03-30  0.669
2015-03-31  0.670
2015-04-01  0.578
2015-04-02  0.616
2015-04-03  0.560
2015-04-06  0.642
2015-04-07  0.597
2015-04-08  0.598
2015-04-09  0.652
2015-04-10  0.654
2015-04-13  0.665
2015-04-14  0.637
2015-04-15  0.625
2015-04-16  0.608
2015-04-17  0.523
2015-04-20  0.580
2015-04-21  0.611
2015-04-22  0.674
2015-04-23  0.648
2015-04-24  0.626
2015-04-27  0.613
2015-04-28  0.681
2015-04-29  0.724
2015-04-30  0.717
2015-05-01  0.748
2015-05-04  0.826
2015-05-05  0.847
2015-05-06  0.937
2015-05-07  0.876
2015-05-08  0.870
2015-05-11  0.987
2015-05-12  0.968
2015-05-13  1.019
2015-05-14  1.022
2015-05-15  0.918
2015-05-18  1.003
2015-05-19  1.035
2015-05-20  1.030
2015-05-21  0.986
2015-05-22  0.978
2015-05-25      .
2015-05-26  0.916
2015-05-27  0.934
2015-05-28  0.953
2015-05-29  0.898
2015-06-01  1.008
2015-06-02  1.064
2015-06-03  1.137
2015-06-04  1.075
2015-06-05  1.122
2015-06-08  1.117
2015-06-09  1.159
2015-06-10  1.217
2015-06-11  1.144
2015-06-12  1.139
2015-06-15  1.101
2015-06-16  1.030
2015-06-17  1.051
2015-06-18  1.123
2015-06-19  1.056
2015-06-22  1.107
2015-06-23  1.150
2015-06-24  1.103
2015-06-25  1.114
2015-06-26  1.188
2015-06-29  1.084
2015-06-30  1.075
2015-07-01  1.153
2015-07-02  1.144
2015-07-03      .
2015-07-06  1.039
2015-07-07  0.989
2015-07-08  0.999
2015-07-09  1.101
2015-07-10  1.176
2015-07-13  1.179
2015-07-14  1.176
2015-07-15  1.138
2015-07-16  1.123
2015-07-17  1.102
2015-07-20  1.127
2015-07-21  1.104
2015-07-22  1.076
2015-07-23  1.037
2015-07-24  1.047
2015-07-27  1.038
2015-07-28  1.051
2015-07-29  1.066
2015-07-30  1.038
2015-07-31  1.028
2015-08-03  1.002
2015-08-04  1.028
2015-08-05  1.092
2015-08-06  1.077
2015-08-07  1.011
2015-08-10  1.058
2015-08-11  0.995
2015-08-12  1.023
2015-08-13  1.055
2015-08-14  1.037
2015-08-17  1.017
2015-08-18  1.079
2015-08-19  1.064
2015-08-20  1.011
2015-08-21  1.034
2015-08-24  1.059
2015-08-25  1.128
2015-08-26  1.191
2015-08-27  1.112
2015-08-28  1.093
2015-08-31  1.131
2015-09-01  1.155
2015-09-02  1.197
2015-09-03  1.202
2015-09-04  1.162
2015-09-07      .
2015-09-08  1.228
2015-09-09  1.185
2015-09-10  1.198
2015-09-11  1.161
2015-09-14  1.177
2015-09-15  1.279
2015-09-16  1.304
2015-09-17  1.254
2015-09-18  1.177
2015-09-21  1.299
2015-09-22  1.233
2015-09-23  1.229
2015-09-24  1.221
2015-09-25  1.300
2015-09-28  1.258
2015-09-29  1.265
2015-09-30  1.270
2015-10-01  1.218
2015-10-02  1.170
2015-10-05  1.213
2015-10-06  1.187
2015-10-07  1.178
2015-10-08  1.203
2015-10-09  1.216
2015-10-12      .
2015-10-13  1.206
2015-10-14  1.174
2015-10-15  1.199
2015-10-16  1.219
2015-10-19  1.241
2015-10-20  1.247
2015-10-21  1.220
2015-10-22  1.180
2015-10-23  1.174
2015-10-26  1.165
2015-10-27  1.158
2015-10-28  1.179
2015-10-29  1.222
2015-10-30  1.195
2015-11-02  1.188
2015-11-03  1.222
2015-11-04  1.223
2015-11-05  1.261
2015-11-06  1.297
2015-11-09  1.297
2015-11-10  1.291
2015-11-11      .
2015-11-12  1.298
2015-11-13  1.287
2015-11-16  1.314
2015-11-17  1.274
2015-11-18  1.258
2015-11-19  1.211
2015-11-20  1.199
2015-11-23  1.183
2015-11-24  1.190
2015-11-25  1.182
2015-11-26      .
2015-11-27  1.187
2015-11-30  1.184
2015-12-01  1.131
2015-12-02  1.142
2015-12-03  1.259
2015-12-04  1.196
2015-12-07  1.170
2015-12-08  1.193
2015-12-09  1.203
2015-12-10  1.247
2015-12-11  1.204
2015-12-14  1.306
2015-12-15  1.304
2015-12-16  1.306
2015-12-17  1.265
2015-12-18  1.246
2015-12-21  1.264
2015-12-22  1.293
2015-12-23  1.284
2015-12-24  1.243
2015-12-25      .
2015-12-28  1.222
2015-12-29  1.299
2015-12-30  1.288
2015-12-31  1.264
2016-01-01      .
2016-01-04  1.240
2016-01-05  1.260
2016-01-06  1.215
2016-01-07  1.251
2016-01-08  1.261
2016-01-11  1.316
2016-01-12  1.271
2016-01-13  1.241
2016-01-14  1.278
2016-01-15  1.260
2016-01-18      .
2016-01-19  1.248
2016-01-20  1.266
2016-01-21  1.286
2016-01-22  1.276
2016-01-25  1.257
2016-01-26  1.226
2016-01-27  1.203
2016-01-28  1.194
2016-01-29  1.133
2016-02-01  1.172
2016-02-02  1.125
2016-02-03  1.097
2016-02-04  1.098
2016-02-05  1.111
2016-02-08  1.059
2016-02-09  1.098
2016-02-10  1.047
2016-02-11  1.028
2016-02-12  1.091
2016-02-15      .
2016-02-16  1.138
2016-02-17  1.165
2016-02-18  1.152
2016-02-19  1.128
2016-02-22  1.104
2016-02-23  1.072
2016-02-24  1.054
2016-02-25  1.013
2016-02-26  1.063
2016-02-29  1.015
2016-03-01  1.054
2016-03-02  1.018
2016-03-03  0.993
2016-03-04  1.030
2016-03-07  1.057
2016-03-08  1.024
2016-03-09  1.054
2016-03-10  1.073
2016-03-11  1.101
2016-03-14  1.103
2016-03-15  1.124
2016-03-16  1.076
2016-03-17  1.014
2016-03-18  0.957
2016-03-21  0.974
2016-03-22  0.970
2016-03-23  0.928
2016-03-24  0.971
2016-03-25      .
2016-03-28  0.962
2016-03-29  0.870
2016-03-30  0.887
2016-03-31  0.862
2016-04-01  0.853
2016-04-04  0.847
2016-04-05  0.828
2016-04-06  0.851
2016-04-07  0.812
2016-04-08  0.842
2016-04-11  0.877
2016-04-12  0.926
2016-04-13  0.886
2016-04-14  0.899
2016-04-15  0.864
2016-04-18  0.868
2016-04-19  0.845
2016-04-20  0.906
2016-04-21  0.934
2016-04-22  0.940
2016-04-25  0.968
2016-04-26  0.975
2016-04-27  0.915
2016-04-28  0.890
2016-04-29  0.844
2016-05-02  0.912
2016-05-03  0.898
2016-05-04  0.895
2016-05-05  0.856
2016-05-06  0.893
2016-05-09  0.899
2016-05-10  0.870
2016-05-11  0.848
2016-05-12  0.858
2016-05-13  0.819
2016-05-16  0.839
2016-05-17  0.820
2016-05-18  0.922
2016-05-19  0.895
2016-05-20  0.914
2016-05-23  0.916
2016-05-24  0.909
2016-05-25  0.924
2016-05-26  0.879
2016-05-27  0.906
2016-05-30      .
2016-05-31  0.914
2016-06-01  0.933
2016-06-02  0.907
2016-06-03  0.862
2016-06-06  0.860
2016-06-07  0.840
2016-06-08  0.815
2016-06-09  0.809
2016-06-10  0.805
2016-06-13  0.838
2016-06-14  0.862
2016-06-15  0.839
2016-06-16  0.831
2016-06-17  0.876
2016-06-20  0.902
2016-06-21  0.913
2016-06-22  0.903
2016-06-23  0.898
2016-06-24  0.832
2016-06-27  0.759
2016-06-28  0.728
2016-06-29  0.709
2016-06-30  0.706
2016-07-01  0.627
2016-07-04      .
2016-07-05  0.577
2016-07-06  0.563
2016-07-07  0.575
2016-07-08  0.549
2016-07-11  0.590
2016-07-12  0.648
2016-07-13  0.601
2016-07-14  0.640
2016-07-15  0.666
2016-07-18  0.667
2016-07-19  0.670
2016-07-20  0.683
2016-07-21  0.701
2016-07-22  0.693
2016-07-25  0.693
2016-07-26  0.678
2016-07-27  0.631
2016-07-28  0.609
2016-07-29  0.576
2016-08-01  0.638
2016-08-02  0.705
2016-08-03  0.698
2016-08-04  0.638
2016-08-05  0.651
2016-08-08  0.642
2016-08-09  0.615
2016-08-10  0.605
2016-08-11  0.628
2016-08-12  0.593
2016-08-15  0.625
2016-08-16  0.662
2016-08-17  0.644
2016-08-18  0.615
2016-08-19  0.634
2016-08-22  0.597
2016-08-23  0.591
2016-08-24  0.602
2016-08-25  0.617
2016-08-26  0.652
2016-08-29  0.592
2016-08-30  0.610
2016-08-31  0.584
2016-09-01  0.578
2016-09-02  0.603
2016-09-05      .
2016-09-06  0.544
2016-09-07  0.540
2016-09-08  0.607
2016-09-09  0.685
2016-09-12  0.679
2016-09-13  0.758
2016-09-14  0.728
2016-09-15  0.758
2016-09-16  0.740
2016-09-19  0.754
2016-09-20  0.759
2016-09-21  0.707
2016-09-22  0.638
2016-09-23  0.588
2016-09-26  0.605
2016-09-27  0.586
2016-09-28  0.580
2016-09-29  0.588
2016-09-30  0.620
2016-10-03  0.591
2016-10-04  0.656
2016-10-05  0.691
2016-10-06  0.685
2016-10-07  0.699
2016-10-10      .
2016-10-11  0.717
2016-10-12  0.726
2016-10-13  0.718
2016-10-14  0.751
2016-10-17  0.692
2016-10-18  0.692
2016-10-19  0.693
2016-10-20  0.681
2016-10-21  0.679
2016-10-24  0.699
2016-10-25  0.661
2016-10-26  0.665
2016-10-27  0.737
2016-10-28  0.748
2016-10-31  0.721
2016-11-01  0.700
2016-11-02  0.705
2016-11-03  0.754
2016-11-04  0.737
2016-11-07  0.721
2016-11-08  0.730
2016-11-09  0.829
2016-11-10  0.855
2016-11-11      .
2016-11-14  0.942
2016-11-15  0.944
2016-11-16  0.929
2016-11-17  0.945
2016-11-18  0.947
2016-11-21  0.928
2016-11-22  0.932
2016-11-23  0.939
2016-11-24      .
2016-11-25  0.934
2016-11-28  0.949
2016-11-29  0.944
2016-11-30  0.920
2016-12-01  0.950
2016-12-02  0.960
2016-12-05  0.938
2016-12-06  0.948
2016-12-07  0.921
2016-12-08  0.961
2016-12-09  1.037
2016-12-12  1.051
2016-12-13  1.046
2016-12-14  1.070
2016-12-15  1.129
2016-12-16  1.193
2016-12-19  1.137
2016-12-20  1.131
2016-12-21  1.095
2016-12-22  1.063
2016-12-23  1.027
2016-12-26      .
2016-12-27  1.031
2016-12-28  1.011
2016-12-29  1.016
2016-12-30  0.987
2017-01-02      .
2017-01-03  0.949
2017-01-04  0.940
2017-01-05  0.889
2017-01-06  0.928
2017-01-09  0.900
2017-01-10  0.901
2017-01-11  0.872
2017-01-12  0.862
