Title:               30-Year 1.0% Treasury Inflation-Indexed Bond, Due 2/15/2046©
Series ID:           DTP30F46
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2016-03-03 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE        VALUE
2016-03-03  0.968
2016-03-04  1.006
2016-03-07  1.033
2016-03-08  0.997
2016-03-09  1.028
2016-03-10  1.048
2016-03-11  1.079
2016-03-14  1.078
2016-03-15  1.097
2016-03-16  1.047
2016-03-17  0.986
2016-03-18  0.926
2016-03-21  0.943
2016-03-22  0.936
2016-03-23  0.894
2016-03-24  0.936
2016-03-25      .
2016-03-28  0.929
2016-03-29  0.837
2016-03-30  0.855
2016-03-31  0.826
2016-04-01  0.818
2016-04-04  0.808
2016-04-05  0.787
2016-04-06  0.809
2016-04-07  0.771
2016-04-08  0.800
2016-04-11  0.838
2016-04-12  0.882
2016-04-13  0.853
2016-04-14  0.866
2016-04-15  0.833
2016-04-18  0.833
2016-04-19  0.812
2016-04-20  0.871
2016-04-21  0.901
2016-04-22  0.905
2016-04-25  0.934
2016-04-26  0.940
2016-04-27  0.879
2016-04-28  0.856
2016-04-29  0.811
2016-05-02  0.876
2016-05-03  0.860
2016-05-04  0.859
2016-05-05  0.817
2016-05-06  0.854
2016-05-09  0.864
2016-05-10  0.830
2016-05-11  0.810
2016-05-12  0.820
2016-05-13  0.780
2016-05-16  0.805
2016-05-17  0.784
2016-05-18  0.883
2016-05-19  0.861
2016-05-20  0.877
2016-05-23  0.880
2016-05-24  0.875
2016-05-25  0.890
2016-05-26  0.843
2016-05-27  0.870
2016-05-30      .
2016-05-31  0.879
2016-06-01  0.898
2016-06-02  0.873
2016-06-03  0.827
2016-06-06  0.826
2016-06-07  0.806
2016-06-08  0.779
2016-06-09  0.775
2016-06-10  0.767
2016-06-13  0.802
2016-06-14  0.825
2016-06-15  0.803
2016-06-16  0.795
2016-06-17  0.841
2016-06-20  0.868
2016-06-21  0.881
2016-06-22  0.872
2016-06-23  0.869
2016-06-24  0.803
2016-06-27  0.733
2016-06-28  0.700
2016-06-29  0.683
2016-06-30  0.677
2016-07-01  0.599
2016-07-04      .
2016-07-05  0.549
2016-07-06  0.537
2016-07-07  0.548
2016-07-08  0.521
2016-07-11  0.558
2016-07-12  0.618
2016-07-13  0.571
2016-07-14  0.610
2016-07-15  0.636
2016-07-18  0.637
2016-07-19  0.642
2016-07-20  0.656
2016-07-21  0.672
2016-07-22  0.662
2016-07-25  0.666
2016-07-26  0.649
2016-07-27  0.602
2016-07-28  0.583
2016-07-29  0.550
2016-08-01  0.609
2016-08-02  0.677
2016-08-03  0.672
2016-08-04  0.610
2016-08-05  0.623
2016-08-08  0.618
2016-08-09  0.593
2016-08-10  0.584
2016-08-11  0.607
2016-08-12  0.571
2016-08-15  0.605
2016-08-16  0.641
2016-08-17  0.625
2016-08-18  0.596
2016-08-19  0.617
2016-08-22  0.579
2016-08-23  0.572
2016-08-24  0.583
2016-08-25  0.595
2016-08-26  0.628
2016-08-29  0.568
2016-08-30  0.588
2016-08-31  0.563
2016-09-01  0.556
2016-09-02  0.582
2016-09-05      .
2016-09-06  0.521
2016-09-07  0.516
2016-09-08  0.583
2016-09-09  0.662
2016-09-12  0.656
2016-09-13  0.735
2016-09-14  0.708
2016-09-15  0.737
2016-09-16  0.719
2016-09-19  0.734
2016-09-20  0.739
2016-09-21  0.690
2016-09-22  0.618
2016-09-23  0.568
2016-09-26  0.586
2016-09-27  0.564
2016-09-28  0.558
2016-09-29  0.565
2016-09-30  0.600
2016-10-03  0.570
2016-10-04  0.632
2016-10-05  0.671
2016-10-06  0.665
2016-10-07  0.677
2016-10-10      .
2016-10-11  0.695
2016-10-12  0.706
2016-10-13  0.697
2016-10-14  0.730
2016-10-17  0.669
2016-10-18  0.668
2016-10-19  0.670
