Title:               5-Year 5/8% Treasury Inflation-Indexed Note, Due 4/15/2013 (DISCONTINUED)©
Series ID:           DTP5A13
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2008-04-30 to 2013-04-12
Last Updated:        2013-04-15 6:04 AM CDT
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2008-04-30   0.871
2008-05-01   0.938
2008-05-02   0.895
2008-05-05   0.829
2008-05-06   0.831
2008-05-07   0.792
2008-05-08   0.695
2008-05-09   0.691
2008-05-12   0.658
2008-05-13   0.850
2008-05-14   0.866
2008-05-15   0.748
2008-05-16   0.726
2008-05-19   0.688
2008-05-20   0.583
2008-05-21   0.604
2008-05-22   0.745
2008-05-23   0.722
2008-05-26       .
2008-05-27   0.823
2008-05-28   0.958
2008-05-29   1.006
2008-05-30   0.986
2008-06-02   0.864
2008-06-03   0.811
2008-06-04   0.890
2008-06-05   0.913
2008-06-06   0.739
2008-06-09   0.902
2008-06-10   1.038
2008-06-11   0.955
2008-06-12   1.123
2008-06-13   1.135
2008-06-16   1.123
2008-06-17   1.085
2008-06-18   0.991
2008-06-19   1.106
2008-06-20   1.014
2008-06-23   1.049
2008-06-24   0.954
2008-06-25   0.970
2008-06-26   0.783
2008-06-27   0.766
2008-06-30   0.689
2008-07-01   0.668
2008-07-02   0.585
2008-07-03   0.653
2008-07-04       .
2008-07-07   0.580
2008-07-08   0.656
2008-07-09   0.550
2008-07-10   0.554
2008-07-11   0.684
2008-07-14   0.622
2008-07-15   0.593
2008-07-16   0.647
2008-07-17   0.832
2008-07-18   0.945
2008-07-21   0.967
2008-07-22   1.082
2008-07-23   1.236
2008-07-24   1.117
2008-07-25   1.236
2008-07-28   1.113
2008-07-29   1.221
2008-07-30   1.164
2008-07-31   1.126
2008-08-01   1.072
2008-08-04   1.119
2008-08-05   1.174
2008-08-06   1.246
2008-08-07   1.085
2008-08-08   1.195
2008-08-11   1.285
2008-08-12   1.194
2008-08-13   1.199
2008-08-14   1.139
2008-08-15   1.176
2008-08-18   1.147
2008-08-19   1.154
2008-08-20   1.093
2008-08-21   1.065
2008-08-22   1.196
2008-08-25   1.157
2008-08-26   1.169
2008-08-27   1.109
2008-08-28   1.164
2008-08-29   1.197
2008-09-01       .
2008-09-02   1.276
2008-09-03   1.314
2008-09-04   1.297
2008-09-05   1.318
2008-09-08   1.385
2008-09-09   1.375
2008-09-10   1.408
2008-09-11   1.376
2008-09-12   1.446
2008-09-15   1.378
2008-09-16   1.656
2008-09-17   1.478
2008-09-18   1.616
2008-09-19   1.687
2008-09-22   1.572
2008-09-23   1.840
2008-09-24   1.702
2008-09-25   1.848
2008-09-26   1.811
2008-09-29   1.772
2008-09-30   1.903
2008-10-01   1.855
2008-10-02   1.693
2008-10-03   1.631
2008-10-06   1.551
2008-10-07   1.703
2008-10-08   2.156
2008-10-09   2.197
2008-10-10   2.522
2008-10-13       .
2008-10-14   2.618
2008-10-15   2.589
2008-10-16   2.702
2008-10-17   2.545
2008-10-20   2.430
2008-10-21   2.161
2008-10-22   2.395
2008-10-23   2.422
2008-10-24   2.876
2008-10-27   3.231
2008-10-28   3.257
2008-10-29   3.121
2008-10-30   2.968
2008-10-31   2.856
2008-11-03   2.748
2008-11-04   2.484
2008-11-05   2.442
2008-11-06   2.567
2008-11-07   2.659
2008-11-10   2.747
2008-11-11       .
2008-11-12   2.522
2008-11-13   2.562
2008-11-14   2.440
2008-11-17   2.448
2008-11-18   2.511
2008-11-19   2.485
2008-11-20   2.414
2008-11-21   2.509
2008-11-24   2.686
2008-11-25   2.395
2008-11-26   2.542
2008-11-27       .
2008-11-28   2.267
2008-12-01   1.976
2008-12-02   1.684
2008-12-03   1.555
2008-12-04   1.445
2008-12-05   1.763
2008-12-08   1.874
2008-12-09   1.781
2008-12-10   1.832
2008-12-11   1.752
2008-12-12   1.801
2008-12-15   2.030
2008-12-16   1.601
2008-12-17   1.437
2008-12-18   1.312
2008-12-19   1.614
2008-12-22   1.714
2008-12-23   1.766
2008-12-24   1.799
2008-12-25       .
2008-12-26   1.757
2008-12-29   1.631
2008-12-30   1.664
2008-12-31   1.783
2009-01-01       .
2009-01-02   1.948
2009-01-05   1.850
2009-01-06   1.753
2009-01-07   1.712
2009-01-08   1.675
2009-01-09   1.585
2009-01-12   1.501
2009-01-13   1.433
