Title:               5-Year 0-1/2% Treasury Inflation-Indexed Note, Due 4/15/2015 (DISCONTINUED)©
Series ID:           DTP5A15
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2010-04-27 to 2015-04-15
Last Updated:        2015-04-16 6:11 AM CDT
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE          VALUE
2010-04-27    0.481
2010-04-28    0.542
2010-04-29    0.436
2010-04-30    0.420
2010-05-03    0.468
2010-05-04    0.430
2010-05-05    0.398
2010-05-06    0.331
2010-05-07    0.417
2010-05-10    0.375
2010-05-11    0.369
2010-05-12    0.340
2010-05-13    0.340
2010-05-14    0.314
2010-05-17    0.365
2010-05-18    0.298
2010-05-19    0.387
2010-05-20    0.455
2010-05-21    0.394
2010-05-24    0.406
2010-05-25    0.429
2010-05-26    0.422
2010-05-27    0.451
2010-05-28    0.374
2010-05-31        .
2010-06-01    0.387
2010-06-02    0.416
2010-06-03    0.393
2010-06-04    0.296
2010-06-07    0.296
2010-06-08    0.325
2010-06-09    0.324
2010-06-10    0.415
2010-06-11    0.350
2010-06-14    0.356
2010-06-15    0.382
2010-06-16    0.373
2010-06-17    0.298
2010-06-18    0.327
2010-06-21    0.307
2010-06-22    0.258
2010-06-23    0.255
2010-06-24    0.287
2010-06-25    0.264
2010-06-28    0.221
2010-06-29    0.205
2010-06-30    0.215
2010-07-01    0.280
2010-07-02    0.299
2010-07-05        .
2010-07-06    0.302
2010-07-07    0.341
2010-07-08    0.331
2010-07-09    0.341
2010-07-12    0.321
2010-07-13    0.344
2010-07-14    0.298
2010-07-15    0.275
2010-07-16    0.304
2010-07-19    0.350
2010-07-20    0.327
2010-07-21    0.284
2010-07-22    0.274
2010-07-23    0.323
2010-07-26    0.303
2010-07-27    0.323
2010-07-28    0.246
2010-07-29    0.203
2010-07-30    0.127
2010-08-02    0.093
2010-08-03   -0.009
2010-08-04    0.060
2010-08-05    0.023
2010-08-06   -0.014
2010-08-09    0.006
2010-08-10   -0.037
2010-08-11   -0.051
2010-08-12    0.051
2010-08-13    0.047
2010-08-16    0.034
2010-08-17    0.103
2010-08-18    0.126
2010-08-19    0.116
2010-08-20    0.172
2010-08-23    0.179
2010-08-24    0.138
2010-08-25    0.152
2010-08-26    0.071
2010-08-27    0.147
2010-08-30    0.100
2010-08-31    0.063
2010-09-01    0.130
2010-09-02    0.160
2010-09-03    0.173
2010-09-06        .
2010-09-07    0.112
2010-09-08    0.152
2010-09-09    0.216
2010-09-10    0.175
2010-09-13    0.087
2010-09-14    0.083
2010-09-15    0.096
2010-09-16    0.123
2010-09-17    0.140
2010-09-20    0.119
2010-09-21    0.014
2010-09-22   -0.068
2010-09-23   -0.028
2010-09-24   -0.035
2010-09-27   -0.042
2010-09-28   -0.148
2010-09-29   -0.104
2010-09-30   -0.145
2010-10-01   -0.156
2010-10-04   -0.190
2010-10-05   -0.272
2010-10-06   -0.360
2010-10-07   -0.343
2010-10-08   -0.433
2010-10-11        .
2010-10-12   -0.423
2010-10-13   -0.544
2010-10-14   -0.585
2010-10-15   -0.493
2010-10-18   -0.497
2010-10-19   -0.484
2010-10-20   -0.465
2010-10-21   -0.469
2010-10-22   -0.491
2010-10-25   -0.521
2010-10-26   -0.458
2010-10-27   -0.360
2010-10-28   -0.405
2010-10-29   -0.396
2010-11-01   -0.441
2010-11-02   -0.435
2010-11-03   -0.452
2010-11-04   -0.578
2010-11-05   -0.563
2010-11-08   -0.551
2010-11-09   -0.429
2010-11-10   -0.478
2010-11-11        .
2010-11-12   -0.304
2010-11-15   -0.187
2010-11-16   -0.129
2010-11-17   -0.157
2010-11-18   -0.175
2010-11-19   -0.159
2010-11-22   -0.236
2010-11-23   -0.250
2010-11-24   -0.153
2010-11-25        .
2010-11-26   -0.179
2010-11-29   -0.193
2010-11-30   -0.176
2010-12-01   -0.082
2010-12-02   -0.086
2010-12-03   -0.112
2010-12-06   -0.200
2010-12-07   -0.074
2010-12-08    0.001
2010-12-09    0.093
2010-12-10    0.142
2010-12-13    0.081
2010-12-14    0.192
2010-12-15    0.163
2010-12-16    0.109
2010-12-17    0.008
2010-12-20    0.054
2010-12-21    0.000
2010-12-22   -0.004
2010-12-23    0.034
2010-12-24        .
2010-12-27    0.023
2010-12-28    0.117
2010-12-29   -0.010
2010-12-30    0.030
2010-12-31   -0.033
2011-01-03   -0.033
2011-01-04   -0.048
2011-01-05   -0.016
2011-01-06   -0.106
2011-01-07   -0.194
2011-01-10   -0.230
2011-01-11   -0.281
2011-01-12   -0.281
2011-01-13   -0.274
2011-01-14   -0.255
2011-01-17        .
2011-01-18   -0.244
2011-01-19   -0.267
2011-01-20   -0.155
2011-01-21   -0.153
2011-01-24   -0.182
2011-01-25   -0.244
2011-01-26   -0.219
2011-01-27   -0.220
2011-01-28   -0.276
2011-01-31   -0.334
2011-02-01   -0.306
2011-02-02   -0.219
2011-02-03   -0.154
2011-02-04   -0.067
2011-02-07   -0.063
2011-02-08    0.051
2011-02-09    0.025
2011-02-10    0.117
2011-02-11    0.116
2011-02-14    0.101
2011-02-15    0.071
2011-02-16    0.060
2011-02-17   -0.023
2011-02-18   -0.139
2011-02-21        .
2011-02-22   -0.309
2011-02-23   -0.376
2011-02-24   -0.410
2011-02-25   -0.393
2011-02-28   -0.394
2011-03-01   -0.442
2011-03-02   -0.435
2011-03-03   -0.329
2011-03-04   -0.438
2011-03-07   -0.449
2011-03-08   -0.483
2011-03-09   -0.473
2011-03-10   -0.555
