Title:               5-Year 0-1/8% Treasury Inflation-Indexed Note, Due 4/15/2017©
Series ID:           DTP5A17
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2012-04-23 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2012-04-23  -1.147
2012-04-24  -1.177
2012-04-25  -1.177
2012-04-26  -1.219
2012-04-27  -1.253
2012-04-30  -1.272
2012-05-01  -1.243
2012-05-02  -1.254
2012-05-03  -1.215
2012-05-04  -1.187
2012-05-07  -1.186
2012-05-08  -1.206
2012-05-09  -1.212
2012-05-10  -1.210
2012-05-11  -1.196
2012-05-14  -1.212
2012-05-15  -1.216
2012-05-16  -1.174
2012-05-17  -1.159
2012-05-18  -1.144
2012-05-21  -1.157
2012-05-22  -1.121
2012-05-23  -1.083
2012-05-24  -1.059
2012-05-25  -1.048
2012-05-28       .
2012-05-29  -1.017
2012-05-30  -1.045
2012-05-31  -1.081
2012-06-01  -1.048
2012-06-04  -1.012
2012-06-05  -1.042
2012-06-06  -1.024
2012-06-07  -1.054
2012-06-08  -1.084
2012-06-11  -1.111
2012-06-12  -1.062
2012-06-13  -1.107
2012-06-14  -1.081
2012-06-15  -1.205
2012-06-18  -1.176
2012-06-19  -1.183
2012-06-20  -1.165
2012-06-21  -1.057
2012-06-22  -1.000
2012-06-25  -1.008
2012-06-26  -0.980
2012-06-27  -0.985
2012-06-28  -0.973
2012-06-29  -1.013
2012-07-02  -1.059
2012-07-03  -1.109
2012-07-04       .
2012-07-05  -1.147
2012-07-06  -1.148
2012-07-09  -1.166
2012-07-10  -1.195
2012-07-11  -1.185
2012-07-12  -1.166
2012-07-13  -1.182
2012-07-16  -1.212
2012-07-17  -1.187
2012-07-18  -1.225
2012-07-19  -1.229
2012-07-20  -1.233
2012-07-23  -1.212
2012-07-24  -1.175
2012-07-25  -1.150
2012-07-26  -1.164
2012-07-27  -1.164
2012-07-30  -1.208
2012-07-31  -1.262
2012-08-01  -1.247
2012-08-02  -1.259
2012-08-03  -1.240
2012-08-06  -1.278
2012-08-07  -1.281
2012-08-08  -1.245
2012-08-09  -1.227
2012-08-10  -1.241
2012-08-13  -1.240
2012-08-14  -1.214
2012-08-15  -1.130
2012-08-16  -1.121
2012-08-17  -1.106
2012-08-20  -1.094
2012-08-21  -1.116
2012-08-22  -1.201
2012-08-23  -1.294
2012-08-24  -1.276
2012-08-27  -1.326
2012-08-28  -1.348
2012-08-29  -1.316
2012-08-30  -1.313
2012-08-31  -1.407
2012-09-03       .
2012-09-04  -1.405
2012-09-05  -1.420
2012-09-06  -1.362
2012-09-07  -1.428
2012-09-10  -1.453
2012-09-11  -1.473
2012-09-12  -1.456
2012-09-13  -1.611
2012-09-14  -1.736
2012-09-17  -1.645
2012-09-18  -1.595
2012-09-19  -1.553
2012-09-20  -1.547
2012-09-21  -1.568
2012-09-24  -1.541
2012-09-25  -1.549
2012-09-26  -1.516
2012-09-27  -1.518
2012-09-28  -1.530
2012-10-01  -1.529
2012-10-02  -1.575
2012-10-03  -1.613
2012-10-04  -1.668
2012-10-05  -1.654
2012-10-08       .
2012-10-09  -1.644
2012-10-10  -1.617
2012-10-11  -1.578
2012-10-12  -1.555
2012-10-15  -1.568
2012-10-16  -1.534
2012-10-17  -1.497
2012-10-18  -1.481
2012-10-19  -1.474
2012-10-22  -1.445
2012-10-23  -1.429
2012-10-24  -1.421
2012-10-25  -1.367
2012-10-26  -1.389
2012-10-29  -1.411
2012-10-30       .
2012-10-31  -1.469
2012-11-01  -1.459
2012-11-02  -1.431
2012-11-05  -1.442
2012-11-06  -1.444
2012-11-07  -1.469
2012-11-08  -1.493
2012-11-09  -1.472
2012-11-12       .
2012-11-13  -1.464
2012-11-14  -1.454
2012-11-15  -1.447
2012-11-16  -1.461
2012-11-19  -1.440
2012-11-20  -1.439
2012-11-21  -1.419
2012-11-22       .
2012-11-23  -1.412
2012-11-26  -1.428
2012-11-27  -1.444
2012-11-28  -1.448
2012-11-29  -1.470
2012-11-30  -1.502
2012-12-03  -1.509
2012-12-04  -1.504
2012-12-05  -1.529
2012-12-06  -1.546
2012-12-07  -1.551
2012-12-10  -1.552
2012-12-11  -1.531
2012-12-12  -1.558
2012-12-13  -1.511
2012-12-14  -1.495
2012-12-17  -1.468
2012-12-18  -1.456
2012-12-19  -1.467
2012-12-20  -1.479
2012-12-21  -1.473
2012-12-24  -1.460
2012-12-25       .
2012-12-26  -1.478
2012-12-27  -1.492
2012-12-28  -1.485
2012-12-31  -1.490
2013-01-01       .
2013-01-02  -1.482
2013-01-03  -1.430
2013-01-04  -1.428
2013-01-07  -1.464
2013-01-08  -1.487
2013-01-09  -1.535
2013-01-10  -1.529
2013-01-11  -1.520
2013-01-14  -1.541
2013-01-15  -1.586
2013-01-16  -1.565
2013-01-17  -1.547
2013-01-18  -1.569
2013-01-21       .
2013-01-22  -1.593
2013-01-23  -1.589
2013-01-24  -1.586
2013-01-25  -1.524
2013-01-28  -1.513
2013-01-29  -1.554
2013-01-30  -1.596
2013-01-31  -1.648
2013-02-01  -1.662
2013-02-04  -1.694
2013-02-05  -1.664
2013-02-06  -1.688
2013-02-07  -1.666
2013-02-08  -1.641
2013-02-11  -1.638
2013-02-12  -1.615
2013-02-13  -1.617
2013-02-14  -1.660
2013-02-15  -1.639
2013-02-18       .
2013-02-19  -1.631
2013-02-20  -1.633
2013-02-21  -1.642
2013-02-22  -1.665
2013-02-25  -1.710
2013-02-26  -1.696
2013-02-27  -1.702
2013-02-28  -1.722
