Title:               5-Year Treasury Inflation-Indexed Note, Due 4/15/2021
Series ID:           DTP5A21
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2016-05-02 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               

DATE         VALUE
2016-05-02  -0.282
2016-05-03  -0.324
2016-05-04  -0.309
2016-05-05  -0.348
2016-05-06  -0.315
2016-05-09  -0.323
2016-05-10  -0.357
2016-05-11  -0.354
2016-05-12  -0.333
2016-05-13  -0.338
2016-05-16  -0.313
2016-05-17  -0.298
2016-05-18  -0.162
2016-05-19  -0.173
2016-05-20  -0.159
2016-05-23  -0.161
2016-05-24  -0.149
2016-05-25  -0.155
2016-05-26  -0.201
2016-05-27  -0.154
2016-05-30       .
2016-05-31  -0.148
2016-06-01  -0.121
2016-06-02  -0.164
2016-06-03  -0.269
2016-06-06  -0.300
2016-06-07  -0.327
2016-06-08  -0.336
2016-06-09  -0.349
2016-06-10  -0.366
2016-06-13  -0.354
2016-06-14  -0.351
2016-06-15  -0.403
2016-06-16  -0.386
2016-06-17  -0.338
2016-06-20  -0.298
2016-06-21  -0.257
2016-06-22  -0.254
2016-06-23  -0.272
2016-06-24  -0.325
2016-06-27  -0.316
2016-06-28  -0.346
2016-06-29  -0.387
2016-06-30  -0.422
2016-07-01  -0.484
2016-07-04       .
2016-07-05  -0.487
2016-07-06  -0.510
2016-07-07  -0.481
2016-07-08  -0.484
2016-07-11  -0.427
2016-07-12  -0.411
2016-07-13  -0.418
2016-07-14  -0.391
2016-07-15  -0.340
2016-07-18  -0.345
2016-07-19  -0.331
2016-07-20  -0.306
2016-07-21  -0.314
2016-07-22  -0.281
2016-07-25  -0.237
2016-07-26  -0.219
2016-07-27  -0.257
2016-07-28  -0.273
2016-07-29  -0.339
2016-08-01  -0.255
2016-08-02  -0.222
2016-08-03  -0.255
2016-08-04  -0.329
2016-08-05  -0.244
2016-08-08  -0.240
2016-08-09  -0.238
2016-08-10  -0.242
2016-08-11  -0.206
2016-08-12  -0.238
2016-08-15  -0.218
2016-08-16  -0.174
2016-08-17  -0.205
2016-08-18  -0.258
2016-08-19  -0.224
2016-08-22  -0.239
2016-08-23  -0.241
2016-08-24  -0.237
2016-08-25  -0.222
2016-08-26  -0.127
2016-08-29  -0.156
2016-08-30  -0.141
2016-08-31  -0.138
2016-09-01  -0.113
2016-09-02  -0.132
2016-09-05       .
2016-09-06  -0.209
2016-09-07  -0.230
2016-09-08  -0.208
2016-09-09  -0.133
2016-09-12  -0.168
2016-09-13  -0.111
2016-09-14  -0.157
2016-09-15  -0.182
2016-09-16  -0.202
2016-09-19  -0.193
2016-09-20  -0.190
2016-09-21  -0.216
2016-09-22  -0.277
2016-09-23  -0.316
2016-09-26  -0.328
2016-09-27  -0.318
2016-09-28  -0.384
2016-09-29  -0.376
2016-09-30  -0.370
2016-10-03  -0.354
2016-10-04  -0.308
2016-10-05  -0.288
2016-10-06  -0.283
2016-10-07  -0.288
2016-10-10       .
2016-10-11  -0.276
2016-10-12  -0.271
2016-10-13  -0.314
2016-10-14  -0.313
2016-10-17  -0.373
2016-10-18  -0.377
2016-10-19  -0.397
2016-10-20  -0.372
2016-10-21  -0.387
2016-10-24  -0.358
2016-10-25  -0.355
2016-10-26  -0.338
2016-10-27  -0.313
2016-10-28  -0.348
2016-10-31  -0.358
2016-11-01  -0.366
2016-11-02  -0.380
2016-11-03  -0.358
2016-11-04  -0.348
2016-11-07  -0.348
2016-11-08  -0.318
2016-11-09  -0.276
2016-11-10  -0.234
2016-11-11       .
2016-11-14  -0.083
2016-11-15  -0.082
2016-11-16  -0.068
2016-11-17  -0.068
2016-11-18  -0.037
2016-11-21  -0.033
2016-11-22  -0.060
2016-11-23  -0.007
2016-11-24       .
2016-11-25   0.016
2016-11-28   0.014
2016-11-29   0.021
2016-11-30  -0.032
2016-12-01  -0.015
2016-12-02  -0.027
2016-12-05  -0.047
2016-12-06  -0.052
2016-12-07  -0.067
2016-12-08  -0.119
2016-12-09  -0.055
2016-12-12  -0.060
2016-12-13  -0.042
2016-12-14   0.069
2016-12-15   0.181
2016-12-16   0.216
2016-12-19   0.187
2016-12-20   0.138
2016-12-21   0.118
2016-12-22   0.067
2016-12-23   0.056
2016-12-26       .
2016-12-27   0.065
2016-12-28   0.023
2016-12-29  -0.004
2016-12-30  -0.043
2017-01-02       .
2017-01-03  -0.054
2017-01-04  -0.052
2017-01-05  -0.114
2017-01-06  -0.071
2017-01-09  -0.089
2017-01-10  -0.104
2017-01-11  -0.140
2017-01-12  -0.168
