Title:               Effective Federal Funds Volume
Series ID:           EFFRVOL
Source:              Federal Reserve Bank of New York
Release:             Federal Funds Data (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Billions of U.S. Dollars
Date Range:          2016-03-01 to 2017-01-12
Last Updated:        2017-01-13 8:16 AM CST
Notes:               The federal funds market consists of domestic unsecured borrowings in
                     U.S. dollars by depository institutions from other depository
                     institutions and certain other entities, primarily
                     government-sponsored enterprises.
                     
                     The effective federal funds rate (EFFR) is calculated as a
                     volume-weighted median of overnight federal funds transactions
                     reported in the FR 2420 Report of Selected Money Market Rates.
                     
                     For more information, see https://www.newyorkfed.org/markets/obfrinfo

DATE       VALUE
2016-03-01    76
2016-03-02    75
2016-03-03    75
2016-03-04    75
2016-03-07    72
2016-03-08    72
2016-03-09    75
2016-03-10    72
2016-03-11    68
2016-03-14    67
2016-03-15    67
2016-03-16    63
2016-03-17    63
2016-03-18    66
2016-03-21    61
2016-03-22    66
2016-03-23    65
2016-03-24    64
2016-03-25    68
2016-03-28    66
2016-03-29    69
2016-03-30    73
2016-03-31    50
2016-04-01    72
2016-04-04    74
2016-04-05    77
2016-04-06    76
2016-04-07    79
2016-04-08    74
2016-04-11    72
2016-04-12    74
2016-04-13    73
2016-04-14    71
2016-04-15    70
2016-04-18    69
2016-04-19    66
2016-04-20    62
2016-04-21    65
2016-04-22    59
2016-04-25    59
2016-04-26    54
2016-04-27    63
2016-04-28    62
2016-04-29    58
2016-05-02    59
2016-05-03    61
2016-05-04    62
2016-05-05    60
2016-05-06    64
2016-05-09    62
2016-05-10    63
2016-05-11    63
2016-05-12    61
2016-05-13    61
2016-05-16    61
2016-05-17    62
2016-05-18    59
2016-05-19    64
2016-05-20    70
2016-05-23    66
2016-05-24    65
2016-05-25    70
2016-05-26    68
2016-05-27    69
2016-05-30     .
2016-05-31    58
2016-06-01    67
2016-06-02    70
2016-06-03    69
2016-06-06    70
2016-06-07    71
2016-06-08    75
2016-06-09    75
2016-06-10    72
2016-06-13    66
2016-06-14    68
2016-06-15    69
2016-06-16    72
2016-06-17    73
2016-06-20    70
2016-06-21    68
2016-06-22    71
2016-06-23    71
2016-06-24    70
2016-06-27    66
2016-06-28    66
2016-06-29    63
2016-06-30    46
2016-07-01    68
2016-07-04     .
2016-07-05    72
2016-07-06    68
2016-07-07    68
2016-07-08    67
2016-07-11    65
2016-07-12    63
2016-07-13    64
2016-07-14    62
2016-07-15    71
2016-07-18    65
2016-07-19    74
2016-07-20    70
2016-07-21    72
2016-07-22    72
2016-07-25    70
2016-07-26    69
2016-07-27    64
2016-07-28    63
2016-07-29    62
2016-08-01    69
2016-08-02    63
2016-08-03    69
2016-08-04    70
2016-08-05    66
2016-08-08    67
2016-08-09    67
2016-08-10    61
2016-08-11    64
2016-08-12    63
2016-08-15    67
2016-08-16    64
2016-08-17    64
2016-08-18    64
2016-08-19    61
2016-08-22    60
2016-08-23    69
2016-08-24    64
2016-08-25    67
2016-08-26    74
2016-08-29    70
2016-08-30    67
2016-08-31    64
2016-09-01    63
2016-09-02    68
2016-09-05     .
2016-09-06    65
2016-09-07    66
2016-09-08    68
2016-09-09    65
2016-09-12    63
2016-09-13    60
2016-09-14    59
2016-09-15    63
2016-09-16    60
2016-09-19    59
2016-09-20    57
2016-09-21    61
2016-09-22    62
2016-09-23    61
2016-09-26    63
2016-09-27    64
2016-09-28    70
2016-09-29    67
2016-09-30    58
2016-10-03    66
2016-10-04    61
2016-10-05    63
2016-10-06    65
2016-10-07    66
2016-10-10     .
2016-10-11    63
2016-10-12    70
2016-10-13    67
2016-10-14    66
2016-10-17    62
2016-10-18    67
2016-10-19    66
2016-10-20    70
2016-10-21    70
2016-10-24    65
2016-10-25    73
2016-10-26    66
2016-10-27    65
2016-10-28    67
2016-10-31    61
2016-11-01    63
2016-11-02    67
2016-11-03    63
2016-11-04    65
2016-11-07    62
2016-11-08    61
2016-11-09    65
2016-11-10    64
2016-11-11     .
2016-11-14    59
2016-11-15    66
2016-11-16    70
2016-11-17    73
2016-11-18    72
2016-11-21    76
2016-11-22    77
2016-11-23    78
2016-11-24     .
2016-11-25    76
2016-11-28    69
2016-11-29    75
2016-11-30    68
2016-12-01    81
2016-12-02    81
2016-12-05    77
2016-12-06    75
2016-12-07    76
2016-12-08    75
2016-12-09    68
2016-12-12    71
2016-12-13    73
2016-12-14    78
2016-12-15    74
2016-12-16    72
2016-12-19    69
2016-12-20    70
2016-12-21    73
2016-12-22    73
2016-12-23    73
2016-12-26     .
2016-12-27    74
2016-12-28    74
2016-12-29    73
2016-12-30    48
2017-01-02     .
2017-01-03    80
2017-01-04    79
2017-01-05    77
2017-01-06    79
2017-01-09    74
2017-01-10    77
2017-01-11    80
2017-01-12    84
