Title:               7-Year Treasury Inflation-Indexed Security, Constant Maturity
Series ID:           FII7
Source:              Board of Governors of the Federal Reserve System (US)
Release:             H.15 Selected Interest Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          2003-01-01 to 2016-12-01
Last Updated:        2017-01-03 3:46 PM CST
Notes:               For further information regarding treasury constant maturity data,
                     please refer to
                     http://www.federalreserve.gov/releases/h15/current/h15.pdf and
                     http://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/yieldmethod.aspx.

DATE        VALUE
2003-01-01   2.10
2003-02-01   1.74
2003-03-01   1.60
2003-04-01   1.85
2003-05-01   1.61
2003-06-01   1.37
2003-07-01   1.76
2003-08-01   1.97
2003-09-01   1.80
2003-10-01   1.68
2003-11-01   1.64
2003-12-01   1.64
2004-01-01   1.48
2004-02-01   1.31
2004-03-01   0.98
2004-04-01   1.49
2004-05-01   1.77
2004-06-01   1.80
2004-07-01   1.68
2004-08-01   1.51
2004-09-01   1.46
2004-10-01   1.35
2004-11-01   1.27
2004-12-01   1.28
2005-01-01   1.40
2005-02-01   1.33
2005-03-01   1.49
2005-04-01   1.42
2005-05-01   1.41
2005-06-01   1.49
2005-07-01   1.75
2005-08-01   1.79
2005-09-01   1.56
2005-10-01   1.82
2005-11-01   2.03
2005-12-01   2.10
2006-01-01   1.98
2006-02-01   2.02
2006-03-01   2.15
2006-04-01   2.34
2006-05-01   2.36
2006-06-01   2.48
2006-07-01   2.48
2006-08-01   2.29
2006-09-01   2.35
2006-10-01   2.45
2006-11-01   2.35
2006-12-01   2.28
2007-01-01   2.47
2007-02-01   2.38
2007-03-01   2.14
2007-04-01   2.20
2007-05-01   2.32
2007-06-01   2.67
2007-07-01   2.63
2007-08-01   2.45
2007-09-01   2.24
2007-10-01   2.15
2007-11-01   1.65
2007-12-01   1.62
2008-01-01   1.24
2008-02-01   1.09
2008-03-01   0.73
2008-04-01   1.00
2008-05-01   1.16
2008-06-01   1.35
2008-07-01   1.24
2008-08-01   1.47
2008-09-01   1.71
2008-10-01   2.96
2008-11-01   3.84
2008-12-01   1.96
2009-01-01   1.72
2009-02-01   1.48
2009-03-01   1.43
2009-04-01   1.29
2009-05-01   1.34
2009-06-01   1.48
2009-07-01   1.44
2009-08-01   1.49
2009-09-01   1.29
2009-10-01   1.12
2009-11-01   0.84
2009-12-01   0.86
2010-01-01   0.85
2010-02-01   0.90
2010-03-01   1.08
2010-04-01   1.10
2010-05-01   0.86
2010-06-01   0.76
2010-07-01   0.73
2010-08-01   0.51
2010-09-01   0.46
2010-10-01   0.02
2010-11-01   0.17
2010-12-01   0.65
2011-01-01   0.62
2011-02-01   0.84
2011-03-01   0.54
2011-04-01   0.49
2011-05-01   0.29
2011-06-01   0.21
2011-07-01   0.09
2011-08-01  -0.36
2011-09-01  -0.39
2011-10-01  -0.28
2011-11-01  -0.46
2011-12-01  -0.44
2012-01-01  -0.55
2012-02-01  -0.69
2012-03-01  -0.57
2012-04-01  -0.65
2012-05-01  -0.79
2012-06-01  -0.82
2012-07-01  -0.92
2012-08-01  -0.94
2012-09-01  -1.17
2012-10-01  -1.18
2012-11-01  -1.13
2012-12-01  -1.13
2013-01-01  -1.04
2013-02-01  -0.94
2013-03-01  -0.97
2013-04-01  -0.97
2013-05-01  -0.69
2013-06-01  -0.21
2013-07-01   0.02
2013-08-01   0.15
2013-09-01   0.34
2013-10-01   0.11
2013-11-01   0.18
2013-12-01   0.47
2014-01-01   0.45
2014-02-01   0.30
2014-03-01   0.37
2014-04-01   0.38
2014-05-01   0.21
2014-06-01   0.23
2014-07-01   0.18
2014-08-01   0.15
2014-09-01   0.38
2014-10-01   0.32
2014-11-01   0.37
2014-12-01   0.47
2015-01-01   0.24
2015-02-01   0.22
2015-03-01   0.23
2015-04-01  -0.01
2015-05-01   0.27
2015-06-01   0.39
2015-07-01   0.42
2015-08-01   0.49
2015-09-01   0.52
2015-10-01   0.39
2015-11-01   0.55
2015-12-01   0.59
2016-01-01   0.49
2016-02-01   0.30
2016-03-01   0.16
2016-04-01  -0.03
2016-05-01  -0.04
2016-06-01  -0.07
2016-07-01  -0.16
2016-08-01  -0.06
2016-09-01  -0.05
2016-10-01  -0.10
2016-11-01   0.11
2016-12-01   0.36
