Title:               30-Year High Quality Market (HQM) Corporate Bond Par Yield
Series ID:           HQMCB30YRP
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:51 AM CST
Notes:               The basic type of selected bond is analogous to conventional Treasury
                     coupon issues: a bond that pays a fixed semiannual nominal coupon
                     denominated in U.S. dollars until maturity, when the principal is
                     returned. The HQM yield curve uses data from a set of high quality
                     corporate bonds rated AAA, AA, or A that accurately represent the high
                     quality corporate bond market. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01  11.57
1984-02-01  11.99
1984-03-01  12.39
1984-04-01  12.56
1984-05-01  13.15
1984-06-01  13.28
1984-07-01  13.26
1984-08-01  12.78
1984-09-01  12.74
1984-10-01  12.27
1984-11-01  11.94
1984-12-01  12.03
1985-01-01  11.84
1985-02-01  11.54
1985-03-01  11.87
1985-04-01  11.58
1985-05-01  11.30
1985-06-01  10.87
1985-07-01  11.13
1985-08-01  11.21
1985-09-01  11.30
1985-10-01  11.14
1985-11-01  10.75
1985-12-01  10.38
1986-01-01   9.89
1986-02-01   9.78
1986-03-01   9.20
1986-04-01   8.87
1986-05-01   9.14
1986-06-01   9.44
1986-07-01   9.30
1986-08-01   9.24
1986-09-01   9.31
1986-10-01   9.38
1986-11-01   9.21
1986-12-01   8.99
1987-01-01   8.76
1987-02-01   8.77
1987-03-01   8.71
1987-04-01   9.31
1987-05-01   9.83
1987-06-01   9.73
1987-07-01   9.75
1987-08-01   9.94
1987-09-01  10.38
1987-10-01  10.54
1987-11-01  10.00
1987-12-01  10.06
1988-01-01   9.72
1988-02-01   9.36
1988-03-01   9.46
1988-04-01   9.79
1988-05-01  10.08
1988-06-01   9.94
1988-07-01  10.04
1988-08-01  10.10
1988-09-01   9.91
1988-10-01   9.75
1988-11-01   9.79
1988-12-01   9.85
1989-01-01   9.84
1989-02-01   9.90
1989-03-01  10.02
1989-04-01   9.90
1989-05-01   9.70
1989-06-01   9.25
1989-07-01   9.07
1989-08-01   9.07
1989-09-01   9.13
1989-10-01   9.01
1989-11-01   8.92
1989-12-01   8.93
1990-01-01   9.13
1990-02-01   9.38
1990-03-01   9.47
1990-04-01   9.61
1990-05-01   9.69
1990-06-01   9.49
1990-07-01   9.50
1990-08-01   9.85
1990-09-01  10.00
1990-10-01  10.06
1990-11-01   9.91
1990-12-01   9.65
1991-01-01   9.61
1991-02-01   9.35
1991-03-01   9.48
1991-04-01   9.31
1991-05-01   9.34
1991-06-01   9.48
1991-07-01   9.47
1991-08-01   9.20
1991-09-01   9.05
1991-10-01   9.04
1991-11-01   9.01
1991-12-01   8.80
1992-01-01   8.68
1992-02-01   8.83
1992-03-01   8.90
1992-04-01   8.83
1992-05-01   8.75
1992-06-01   8.64
1992-07-01   8.44
1992-08-01   8.27
1992-09-01   8.20
1992-10-01   8.40
1992-11-01   8.51
1992-12-01   8.33
1993-01-01   8.23
1993-02-01   7.92
1993-03-01   7.68
1993-04-01   7.71
1993-05-01   7.77
1993-06-01   7.68
1993-07-01   7.48
1993-08-01   7.22
1993-09-01   7.01
1993-10-01   7.00
1993-11-01   7.26
1993-12-01   7.25
1994-01-01   7.23
