Title:               35-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB35YR
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:51 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01   9.66
1984-02-01  10.92
1984-03-01  11.30
1984-04-01  11.54
1984-05-01  12.43
1984-06-01  12.62
1984-07-01  12.52
1984-08-01  12.05
1984-09-01  12.40
1984-10-01  10.75
1984-11-01  10.60
1984-12-01  11.40
1985-01-01  11.09
1985-02-01  10.24
1985-03-01  10.51
1985-04-01  10.35
1985-05-01  10.26
1985-06-01   9.86
1985-07-01  10.77
1985-08-01  11.06
1985-09-01  11.50
1985-10-01  11.37
1985-11-01  10.90
1985-12-01  10.35
1986-01-01   9.53
1986-02-01   9.62
1986-03-01   8.77
1986-04-01   8.45
1986-05-01   9.25
1986-06-01   9.87
1986-07-01   9.56
1986-08-01   9.71
1986-09-01   9.87
1986-10-01   9.98
1986-11-01   9.73
1986-12-01   9.46
1987-01-01   9.35
1987-02-01   9.31
1987-03-01   9.29
1987-04-01  10.08
1987-05-01  10.77
1987-06-01  10.37
1987-07-01  10.18
1987-08-01  10.27
1987-09-01  10.54
1987-10-01  10.56
1987-11-01   9.97
1987-12-01  10.08
1988-01-01   9.56
1988-02-01   9.34
1988-03-01   9.57
1988-04-01  10.13
1988-05-01  10.51
1988-06-01  10.20
1988-07-01  10.36
1988-08-01  10.28
1988-09-01  10.05
1988-10-01   9.89
1988-11-01   9.85
1988-12-01   9.80
1989-01-01   9.84
