Title:               56.5-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB56Y6M
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:52 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01   8.91
1984-02-01  10.52
1984-03-01  10.90
1984-04-01  11.21
1984-05-01  12.25
1984-06-01  12.52
1984-07-01  12.37
1984-08-01  11.86
1984-09-01  12.34
1984-10-01  10.21
1984-11-01  10.10
1984-12-01  11.14
1985-01-01  10.78
1985-02-01   9.69
1985-03-01   9.94
1985-04-01   9.83
1985-05-01   9.79
1985-06-01   9.38
1985-07-01  10.54
1985-08-01  10.94
1985-09-01  11.51
1985-10-01  11.41
1985-11-01  10.93
1985-12-01  10.29
1986-01-01   9.36
1986-02-01   9.52
1986-03-01   8.54
1986-04-01   8.24
1986-05-01   9.27
1986-06-01  10.03
1986-07-01   9.58
1986-08-01   9.82
1986-09-01  10.00
1986-10-01  10.10
1986-11-01   9.80
1986-12-01   9.52
1987-01-01   9.50
1987-02-01   9.44
1987-03-01   9.44
1987-04-01  10.30
1987-05-01  11.05
1987-06-01  10.52
1987-07-01  10.23
1987-08-01  10.28
1987-09-01  10.48
1987-10-01  10.47
1987-11-01   9.86
1987-12-01  10.00
1988-01-01   9.42
1988-02-01   9.27
1988-03-01   9.55
1988-04-01  10.19
1988-05-01  10.59
1988-06-01  10.23
1988-07-01  10.41
1988-08-01  10.28
1988-09-01  10.05
1988-10-01   9.90
1988-11-01   9.84
1988-12-01   9.78
1989-01-01   9.84
1989-02-01   9.94
1989-03-01   9.91
1989-04-01   9.71
1989-05-01   9.62
1989-06-01   9.25
1989-07-01   9.30
1989-08-01   9.28
1989-09-01   9.25
1989-10-01   9.15
1989-11-01   9.03
1989-12-01   8.96
1990-01-01   9.02
1990-02-01   9.27
1990-03-01   9.50
1990-04-01   9.63
1990-05-01   9.90
1990-06-01   9.72
1990-07-01   9.78
1990-08-01  10.52
1990-09-01  10.74
1990-10-01  10.83
1990-11-01  10.49
1990-12-01  10.13
1991-01-01  10.09
1991-02-01   9.70
1991-03-01  10.01
1991-04-01   9.81
1991-05-01   9.98
1991-06-01  10.24
1991-07-01  10.18
1991-08-01   9.87
1991-09-01   9.75
1991-10-01  10.02
1991-11-01  10.12
1991-12-01  10.19
1992-01-01  10.17
1992-02-01  10.09
1992-03-01  10.01
1992-04-01   9.95
1992-05-01   9.79
1992-06-01   9.78
1992-07-01   9.87
1992-08-01   9.85
1992-09-01   9.97
1992-10-01  10.36
1992-11-01  10.08
1992-12-01   9.60
1993-01-01   9.57
1993-02-01   9.32
1993-03-01   9.03
1993-04-01   9.21
1993-05-01   9.37
1993-06-01   9.18
1993-07-01   8.86
1993-08-01   8.31
1993-09-01   8.23
1993-10-01   8.26
1993-11-01   8.46
1993-12-01   8.37
1994-01-01   8.39
1994-02-01   8.43
1994-03-01   8.64
1994-04-01   8.87
1994-05-01   8.80
1994-06-01   8.93
1994-07-01   9.02
1994-08-01   8.96
1994-09-01   9.28
1994-10-01   9.34
1994-11-01   9.32
1994-12-01   8.86
1995-01-01   8.91
1995-02-01   8.91
1995-03-01   9.02
1995-04-01   9.04
1995-05-01   8.61
1995-06-01   8.31
1995-07-01   8.53
1995-08-01   8.63
1995-09-01   8.41
1995-10-01   8.10
1995-11-01   7.94
1995-12-01   7.74
1996-01-01   7.73
1996-02-01   8.10
1996-03-01   8.41
1996-04-01   8.52
1996-05-01   8.44
1996-06-01   8.50
1996-07-01   8.43
1996-08-01   8.25
1996-09-01   8.46
1996-10-01   8.26
1996-11-01   7.98
1996-12-01   8.02
1997-01-01   8.20
1997-02-01   8.11
1997-03-01   8.35
1997-04-01   8.54
1997-05-01   8.45
1997-06-01   8.33
1997-07-01   8.02
1997-08-01   8.03
1997-09-01   7.98
1997-10-01   7.85
1997-11-01   7.63
1997-12-01   7.43
1998-01-01   7.39
1998-02-01   7.46
1998-03-01   7.44
1998-04-01   7.38
1998-05-01   7.33
1998-06-01   7.09
1998-07-01   7.16
1998-08-01   7.20
1998-09-01   7.53
1998-10-01   7.75
1998-11-01   7.68
1998-12-01   7.42
1999-01-01   7.42
1999-02-01   7.40
1999-03-01   7.55
1999-04-01   7.55
1999-05-01   7.72
1999-06-01   7.90
1999-07-01   7.90
1999-08-01   8.11
1999-09-01   8.29
1999-10-01   8.42
1999-11-01   8.09
1999-12-01   8.16
2000-01-01   8.13
2000-02-01   7.98
2000-03-01   8.18
2000-04-01   8.25
2000-05-01   8.58
2000-06-01   8.17
2000-07-01   8.03
2000-08-01   8.09
2000-09-01   8.33
2000-10-01   8.47
2000-11-01   8.45
2000-12-01   8.45
2001-01-01   8.15
2001-02-01   8.09
2001-03-01   8.14
2001-04-01   8.39
2001-05-01   8.20
2001-06-01   8.01
2001-07-01   7.96
2001-08-01   7.94
2001-09-01   8.45
2001-10-01   8.11
2001-11-01   7.65
2001-12-01   7.51
2002-01-01   7.30
2002-02-01   7.24
2002-03-01   7.52
2002-04-01   7.61
2002-05-01   7.65
2002-06-01   7.65
2002-07-01   7.94
2002-08-01   7.91
2002-09-01   7.47
2002-10-01   7.94
2002-11-01   7.68
2002-12-01   7.46
2003-01-01   7.55
2003-02-01   7.29
2003-03-01   7.36
2003-04-01   7.29
2003-05-01   6.76
2003-06-01   6.70
2003-07-01   7.29
2003-08-01   7.71
2003-09-01   7.41
2003-10-01   7.37
2003-11-01   7.21
2003-12-01   7.18
2004-01-01   7.10
2004-02-01   7.10
2004-03-01   6.98
2004-04-01   7.24
2004-05-01   7.40
2004-06-01   7.27
2004-07-01   7.15
2004-08-01   7.08
2004-09-01   6.90
2004-10-01   6.83
2004-11-01   6.68
2004-12-01   6.53
2005-01-01   6.30
2005-02-01   6.03
2005-03-01   6.23
2005-04-01   6.26
2005-05-01   6.22
2005-06-01   5.99
2005-07-01   6.07
2005-08-01   6.06
2005-09-01   6.21
2005-10-01   6.42
2005-11-01   6.49
2005-12-01   6.38
2006-01-01   6.27
2006-02-01   6.18
2006-03-01   6.41
2006-04-01   6.79
2006-05-01   6.91
2006-06-01   6.89
2006-07-01   6.85
2006-08-01   6.71
2006-09-01   6.53
2006-10-01   6.46
2006-11-01   6.14
2006-12-01   6.17
2007-01-01   6.29
2007-02-01   6.18
2007-03-01   6.27
2007-04-01   6.43
2007-05-01   6.40
2007-06-01   6.67
2007-07-01   6.67
2007-08-01   6.74
2007-09-01   6.62
2007-10-01   6.42
2007-11-01   6.54
2007-12-01   6.78
2008-01-01   6.82
2008-02-01   7.19
2008-03-01   7.06
2008-04-01   7.05
2008-05-01   6.79
2008-06-01   6.96
2008-07-01   7.02
2008-08-01   6.87
2008-09-01   6.72
2008-10-01   6.91
2008-11-01   7.16
2008-12-01   6.13
2009-01-01   6.13
2009-02-01   7.05
2009-03-01   7.91
2009-04-01   6.81
2009-05-01   6.63
2009-06-01   6.47
2009-07-01   6.42
2009-08-01   6.18
2009-09-01   6.09
2009-10-01   6.09
2009-11-01   6.37
