Title:               Interest Rate Paid on Excess Reserve Balances (Institutions with 2-Week Maintenance Period) (DISCONTINUED)
Series ID:           INTEXC2
Source:              Board of Governors of the Federal Reserve System (US)
Release:             Interest on Required Balances and Excess Balances (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Biweekly, Ending Wednesday
Units:               Percent
Date Range:          2008-10-22 to 2013-06-26
Last Updated:        2013-06-26 3:32 PM CDT
Notes:               This series has been discontinued due to changes in Regulation D.
                     Effective with the common two-week maintenance period starting on June
                     27, 2013, balances maintained that exceed the top of the penalty-free
                     band will be remunerated at the interest rate to be paid on excess
                     balances. The new series is at
                     https://fred.stlouisfed.org/series/INTRESEXCW?rid=19

DATE       VALUE
2008-10-22  0.75
2008-11-05  0.65
2008-11-19  1.00
2008-12-03  1.00
2008-12-17  0.25
2008-12-31  0.25
2009-01-14  0.25
2009-01-28  0.25
2009-02-11  0.25
2009-02-25  0.25
2009-03-11  0.25
2009-03-25  0.25
2009-04-08  0.25
2009-04-22  0.25
2009-05-06  0.25
2009-05-20  0.25
2009-06-03  0.25
2009-06-17  0.25
2009-07-01  0.25
2009-07-15  0.25
2009-07-29  0.25
2009-08-12  0.25
2009-08-26  0.25
2009-09-09  0.25
2009-09-23  0.25
2009-10-07  0.25
2009-10-21  0.25
2009-11-04  0.25
2009-11-18  0.25
2009-12-02  0.25
2009-12-16  0.25
2009-12-30  0.25
2010-01-13  0.25
2010-01-27  0.25
2010-02-10  0.25
2010-02-24  0.25
2010-03-10  0.25
2010-03-24  0.25
2010-04-07  0.25
2010-04-21  0.25
2010-05-05  0.25
2010-05-19  0.25
2010-06-02  0.25
2010-06-16  0.25
2010-06-30  0.25
2010-07-14  0.25
2010-07-28  0.25
2010-08-11  0.25
2010-08-25  0.25
2010-09-08  0.25
2010-09-22  0.25
2010-10-06  0.25
2010-10-20  0.25
2010-11-03  0.25
2010-11-17  0.25
2010-12-01  0.25
2010-12-15  0.25
2010-12-29  0.25
2011-01-12  0.25
2011-01-26  0.25
2011-02-09  0.25
2011-02-23  0.25
2011-03-09  0.25
2011-03-23  0.25
2011-04-06  0.25
2011-04-20  0.25
2011-05-04  0.25
2011-05-18  0.25
2011-06-01  0.25
2011-06-15  0.25
2011-06-29  0.25
2011-07-13  0.25
2011-07-27  0.25
2011-08-10  0.25
2011-08-24  0.25
2011-09-07  0.25
2011-09-21  0.25
2011-10-05  0.25
2011-10-19  0.25
2011-11-02  0.25
2011-11-16  0.25
2011-11-30  0.25
2011-12-14  0.25
2011-12-28  0.25
2012-01-11  0.25
2012-01-25  0.25
2012-02-08  0.25
2012-02-22  0.25
2012-03-07  0.25
2012-03-21  0.25
2012-04-04  0.25
2012-04-18  0.25
2012-05-02  0.25
2012-05-16  0.25
2012-05-30  0.25
2012-06-13  0.25
2012-06-27  0.25
2012-07-11  0.25
2012-07-25  0.25
2012-08-08  0.25
2012-08-22  0.25
2012-09-05  0.25
2012-09-19  0.25
2012-10-03  0.25
2012-10-17  0.25
2012-10-31  0.25
2012-11-14  0.25
2012-11-28  0.25
2012-12-12  0.25
2012-12-26  0.25
2013-01-09  0.25
2013-01-23  0.25
2013-02-06  0.25
2013-02-20  0.25
2013-03-06  0.25
2013-03-20  0.25
2013-04-03  0.25
2013-04-17  0.25
2013-05-01  0.25
2013-05-15  0.25
2013-05-29  0.25
2013-06-12  0.25
2013-06-26  0.25
