Title:               Margin for 5/1-Year Adjustable Rate Mortgage in the United States©
Series ID:           MORTMRGN5US
Source:              Freddie Mac
Release:             Primary Mortgage Market Survey
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Thursday
Units:               Percent
Date Range:          2005-01-06 to 2017-01-12
Last Updated:        2017-01-12 10:07 AM CST
Notes:               Margin is a fixed amount added to the underlying index to establish
                     the fully indexed rate for an ARM.
                     Data is provided "as is," by Freddie Mac© with no warranties of any
                     kind, express or implied, including, but not limited to, warranties of
                     accuracy or implied warranties of merchantability or fitness for a
                     particular purpose. Use of the data is at the user's sole risk. In no
                     event will Freddie Mac be liable for any damages arising out of or
                     related to the data, including, but not limited to direct, indirect,
                     incidental, special, consequential, or punitive damages, whether under
                     a contract, tort, or any other theory of liability, even if Freddie
                     Mac is aware of the possibility of such damages.
                     Copyright, 2016, Freddie Mac. Reprinted with permission.

DATE       VALUE
2005-01-06  2.78
2005-01-13  2.79
2005-01-20  2.79
2005-01-27  2.79
2005-02-03  2.79
2005-02-10  2.80
2005-02-17  2.79
2005-02-24  2.78
2005-03-03  2.79
2005-03-10  2.79
2005-03-17  2.78
2005-03-24  2.79
2005-03-31  2.77
2005-04-07  2.78
2005-04-14  2.79
2005-04-21  2.79
2005-04-28  2.78
2005-05-05  2.79
2005-05-12  2.79
2005-05-19  2.78
2005-05-26  2.80
2005-06-02  2.79
2005-06-09  2.79
2005-06-16  2.79
2005-06-23  2.79
2005-06-30  2.78
2005-07-07  2.80
2005-07-14  2.78
2005-07-21  2.77
2005-07-28  2.78
2005-08-04  2.79
2005-08-11  2.79
2005-08-18  2.79
2005-08-25  2.80
2005-09-01  2.79
2005-09-08  2.79
2005-09-15  2.78
2005-09-22  2.77
2005-09-29  2.78
2005-10-06  2.77
2005-10-13  2.79
2005-10-20  2.78
2005-10-27  2.78
2005-11-03  2.79
2005-11-10  2.77
2005-11-17  2.78
2005-11-23  2.79
2005-12-01  2.79
2005-12-08  2.78
2005-12-15  2.78
2005-12-22  2.75
2005-12-29  2.77
2006-01-05  2.78
2006-01-12  2.78
2006-01-19  2.78
2006-01-26  2.78
2006-02-02  2.78
2006-02-09  2.78
2006-02-16  2.78
2006-02-23  2.77
2006-03-02  2.78
2006-03-09  2.78
2006-03-16  2.79
2006-03-23  2.79
2006-03-30  2.78
2006-04-06  2.77
2006-04-13  2.78
2006-04-20  2.77
2006-04-27  2.78
2006-05-04  2.80
2006-05-11  2.77
2006-05-18  2.78
2006-05-25  2.76
2006-06-01  2.77
2006-06-08  2.76
2006-06-15  2.77
2006-06-22  2.77
2006-06-29  2.76
2006-07-06  2.75
2006-07-13  2.75
2006-07-20  2.75
2006-07-27  2.75
2006-08-03  2.75
2006-08-10  2.76
2006-08-17  2.77
2006-08-24  2.77
2006-08-31  2.76
2006-09-07  2.76
2006-09-14  2.76
2006-09-21  2.76
2006-09-28  2.76
2006-10-05  2.76
2006-10-12  2.76
2006-10-19  2.76
2006-10-26  2.75
2006-11-02  2.76
2006-11-09  2.76
2006-11-16  2.76
2006-11-22  2.77
2006-11-30  2.75
2006-12-07  2.76
2006-12-14  2.76
2006-12-21  2.76
2006-12-28  2.76
2007-01-04  2.76
2007-01-11  2.76
2007-01-18  2.76
2007-01-25  2.76
2007-02-01  2.76
2007-02-08  2.75
2007-02-15  2.76
2007-02-22  2.77
2007-03-01  2.75
2007-03-08  2.75
2007-03-15  2.76
2007-03-22  2.76
2007-03-29  2.77
2007-04-05  2.76
2007-04-12  2.77
2007-04-19  2.77
2007-04-26  2.77
2007-05-03  2.76
2007-05-10  2.76
2007-05-17  2.77
2007-05-24  2.79
2007-05-31  2.77
2007-06-07  2.76
2007-06-14  2.76
2007-06-21  2.76
2007-06-28  2.74
2007-07-05  2.75
2007-07-12  2.77
2007-07-19  2.77
2007-07-26  2.76
2007-08-02  2.76
2007-08-09  2.77
2007-08-16  2.75
2007-08-23  2.76
2007-08-30  2.76
2007-09-06  2.76
2007-09-13  2.76
2007-09-20  2.76
2007-09-27  2.76
2007-10-04  2.76
2007-10-11  2.76
2007-10-18  2.76
2007-10-25  2.76
2007-11-01  2.75
2007-11-08  2.76
