Title:               Origination Fees and Discount Points for 5/1-Year Adjustable Rate Mortgage in the United States©
Series ID:           MORTPTS5US
Source:              Freddie Mac
Release:             Primary Mortgage Market Survey
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Thursday
Units:               Percent
Date Range:          2005-01-06 to 2017-01-12
Last Updated:        2017-01-12 10:07 AM CST
Notes:               Origination Fees and Discount Points are the total charged by the
                     lender at settlement. One point equals one percent of the loan amount.
                     Data is provided "as is," by Freddie Mac© with no warranties of any
                     kind, express or implied, including, but not limited to, warranties of
                     accuracy or implied warranties of merchantability or fitness for a
                     particular purpose. Use of the data is at the user's sole risk. In no
                     event will Freddie Mac be liable for any damages arising out of or
                     related to the data, including, but not limited to direct, indirect,
                     incidental, special, consequential, or punitive damages, whether under
                     a contract, tort, or any other theory of liability, even if Freddie
                     Mac is aware of the possibility of such damages.
                     Copyright, 2016, Freddie Mac. Reprinted with permission.

DATE       VALUE
2005-01-06   0.5
2005-01-13   0.5
2005-01-20   0.6
2005-01-27   0.6
2005-02-03   0.6
2005-02-10   0.7
2005-02-17   0.7
2005-02-24   0.8
2005-03-03   0.7
2005-03-10   0.6
2005-03-17   0.7
2005-03-24   0.7
2005-03-31   0.7
2005-04-07   0.7
2005-04-14   0.7
2005-04-21   0.6
2005-04-28   0.5
2005-05-05   0.6
2005-05-12   0.6
2005-05-19   0.7
2005-05-26   0.7
2005-06-02   0.5
2005-06-09   0.5
2005-06-16   0.5
2005-06-23   0.6
2005-06-30   0.6
2005-07-07   0.7
2005-07-14   0.7
2005-07-21   0.5
2005-07-28   0.6
2005-08-04   0.7
2005-08-11   0.6
2005-08-18   0.6
2005-08-25   0.6
2005-09-01   0.6
2005-09-08   0.6
2005-09-15   0.6
2005-09-22   0.8
2005-09-29   0.5
2005-10-06   0.6
2005-10-13   0.7
2005-10-20   0.7
2005-10-27   0.6
2005-11-03   0.5
2005-11-10   0.6
2005-11-17   0.6
2005-11-23   0.8
2005-12-01   0.6
2005-12-08   0.7
2005-12-15   0.5
2005-12-22   0.7
2005-12-29   0.6
2006-01-05   0.7
2006-01-12   0.5
2006-01-19   0.6
2006-01-26   0.6
2006-02-02   0.5
2006-02-09   0.7
2006-02-16   0.5
2006-02-23   0.6
2006-03-02   0.6
2006-03-09   0.7
2006-03-16   0.7
2006-03-23   0.7
2006-03-30   0.6
2006-04-06   0.6
2006-04-13   0.7
2006-04-20   0.8
2006-04-27   0.6
2006-05-04   0.7
2006-05-11   0.5
2006-05-18   0.5
2006-05-25   0.6
2006-06-01   0.5
2006-06-08   0.5
2006-06-15   0.5
2006-06-22   0.6
2006-06-29   0.5
2006-07-06   0.6
2006-07-13   0.5
2006-07-20   0.6
2006-07-27   0.4
2006-08-03   0.4
2006-08-10   0.4
2006-08-17   0.4
2006-08-24   0.5
2006-08-31   0.5
2006-09-07   0.5
2006-09-14   0.6
2006-09-21   0.5
2006-09-28   0.5
2006-10-05   0.5
2006-10-12   0.6
2006-10-19   0.5
2006-10-26   0.6
2006-11-02   0.5
2006-11-09   0.7
2006-11-16   0.5
2006-11-22   0.6
2006-11-30   0.5
2006-12-07   0.5
2006-12-14   0.6
2006-12-21   0.5
2006-12-28   0.5
2007-01-04   0.4
2007-01-11   0.5
2007-01-18   0.4
2007-01-25   0.5
2007-02-01   0.6
2007-02-08   0.4
2007-02-15   0.5
2007-02-22   0.5
2007-03-01   0.6
2007-03-08   0.5
2007-03-15   0.6
2007-03-22   0.6
2007-03-29   0.5
2007-04-05   0.6
2007-04-12   0.5
2007-04-19   0.6
2007-04-26   0.7
2007-05-03   0.6
2007-05-10   0.6
2007-05-17   0.5
2007-05-24   0.5
2007-05-31   0.5
2007-06-07   0.6
2007-06-14   0.5
2007-06-21   0.6
2007-06-28   0.5
2007-07-05   0.4
2007-07-12   0.5
2007-07-19   0.5
2007-07-26   0.4
2007-08-02   0.5
2007-08-09   0.5
2007-08-16   0.5
2007-08-23   0.6
2007-08-30   0.6
2007-09-06   0.6
2007-09-13   0.6
2007-09-20   0.5
2007-09-27   0.5
2007-10-04   0.6
2007-10-11   0.5
2007-10-18   0.5
2007-10-25   0.5
2007-11-01   0.4
2007-11-08   0.5
2007-11-15   0.4
2007-11-21   0.5
2007-11-29   0.5
2007-12-06   0.5
2007-12-13   0.6
2007-12-20   0.5
2007-12-27   0.5
2008-01-03   0.5
