Title:               Commercial Bank Interest Rate on Credit Card Plans, Accounts Assessed Interest
Series ID:           TERMCBCCINTNS
Source:              Board of Governors of the Federal Reserve System (US)
Release:             G.19 Consumer Credit
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1994-11-01 to 2016-11-01
Last Updated:        2017-01-09 2:16 PM CST
Notes:               For further information, please refer to the Board of Governors of the
                     Federal Reserve System's G.19 release, online at
                     http://www.federalreserve.gov/releases/g19/.

DATE        VALUE
1994-11-01  15.77
1994-12-01      .
1995-01-01      .
1995-02-01  15.28
1995-03-01      .
1995-04-01      .
1995-05-01  16.26
1995-06-01      .
1995-07-01      .
1995-08-01  15.90
1995-09-01      .
1995-10-01      .
1995-11-01  15.74
1995-12-01      .
1996-01-01      .
1996-02-01  15.42
1996-03-01      .
1996-04-01      .
1996-05-01  15.33
1996-06-01      .
1996-07-01      .
1996-08-01  15.66
1996-09-01      .
1996-10-01      .
1996-11-01  15.52
1996-12-01      .
1997-01-01      .
1997-02-01  15.15
1997-03-01      .
1997-04-01      .
1997-05-01  15.72
1997-06-01      .
1997-07-01      .
1997-08-01  15.79
1997-09-01      .
1997-10-01      .
1997-11-01  15.74
1997-12-01      .
1998-01-01      .
1998-02-01  15.34
1998-03-01      .
1998-04-01      .
1998-05-01  15.70
1998-06-01      .
1998-07-01      .
1998-08-01  15.84
1998-09-01      .
1998-10-01      .
1998-11-01  15.73
1998-12-01      .
1999-01-01      .
1999-02-01  14.73
1999-03-01      .
1999-04-01      .
1999-05-01  14.94
1999-06-01      .
1999-07-01      .
1999-08-01  14.80
1999-09-01      .
1999-10-01      .
1999-11-01  14.78
1999-12-01      .
2000-01-01      .
2000-02-01  14.30
2000-03-01      .
2000-04-01      .
2000-05-01  14.76
2000-06-01      .
2000-07-01      .
2000-08-01  15.37
2000-09-01      .
2000-10-01      .
2000-11-01  15.26
2000-12-01      .
2001-01-01      .
2001-02-01  14.63
2001-03-01      .
2001-04-01      .
2001-05-01  14.65
2001-06-01      .
2001-07-01      .
2001-08-01  14.67
2001-09-01      .
2001-10-01      .
2001-11-01  13.90
2001-12-01      .
2002-01-01      .
2002-02-01  13.00
2002-03-01      .
2002-04-01      .
2002-05-01  13.36
2002-06-01      .
2002-07-01      .
2002-08-01  13.29
2002-09-01      .
2002-10-01      .
2002-11-01  12.78
2002-12-01      .
2003-01-01      .
2003-02-01  11.96
2003-03-01      .
2003-04-01      .
2003-05-01  12.89
2003-06-01      .
2003-07-01      .
2003-08-01  13.13
2003-09-01      .
2003-10-01      .
2003-11-01  12.93
2003-12-01      .
2004-01-01      .
2004-02-01  12.42
2004-03-01      .
2004-04-01      .
2004-05-01  12.93
2004-06-01      .
2004-07-01      .
2004-08-01  13.60
2004-09-01      .
2004-10-01      .
2004-11-01  13.92
2004-12-01      .
2005-01-01      .
2005-02-01  14.13
2005-03-01      .
2005-04-01      .
2005-05-01  14.81
2005-06-01      .
2005-07-01      .
2005-08-01  14.75
2005-09-01      .
2005-10-01      .
2005-11-01  14.49
2005-12-01      .
2006-01-01      .
2006-02-01  14.38
2006-03-01      .
2006-04-01      .
2006-05-01  14.77
2006-06-01      .
2006-07-01      .
2006-08-01  14.67
2006-09-01      .
2006-10-01      .
2006-11-01  15.09
2006-12-01      .
2007-01-01      .
2007-02-01  14.64
2007-03-01      .
2007-04-01      .
2007-05-01  14.47
2007-06-01      .
2007-07-01      .
2007-08-01  15.24
2007-09-01      .
2007-10-01      .
2007-11-01  14.38
2007-12-01      .
2008-01-01      .
2008-02-01  13.77
2008-03-01      .
2008-04-01      .
2008-05-01  13.51
2008-06-01      .
2008-07-01      .
2008-08-01  13.64
2008-09-01      .
2008-10-01      .
2008-11-01  13.36
2008-12-01      .
2009-01-01      .
2009-02-01  13.54
2009-03-01      .
2009-04-01      .
2009-05-01  14.43
2009-06-01      .
2009-07-01      .
2009-08-01  14.90
2009-09-01      .
2009-10-01      .
2009-11-01  14.37
2009-12-01      .
2010-01-01      .
2010-02-01  14.67
2010-03-01      .
2010-04-01      .
2010-05-01  14.48
2010-06-01      .
2010-07-01      .
2010-08-01  14.22
2010-09-01      .
2010-10-01      .
2010-11-01  13.67
2010-12-01      .
2011-01-01      .
2011-02-01  13.44
2011-03-01      .
2011-04-01      .
2011-05-01  13.06
2011-06-01      .
2011-07-01      .
2011-08-01  13.08
2011-09-01      .
2011-10-01      .
2011-11-01  12.78
2011-12-01      .
2012-01-01      .
2012-02-01  13.04
2012-03-01      .
2012-04-01      .
2012-05-01  12.76
2012-06-01      .
2012-07-01      .
2012-08-01  13.21
2012-09-01      .
2012-10-01      .
2012-11-01  12.81
2012-12-01      .
2013-01-01      .
2013-02-01  13.02
2013-03-01      .
2013-04-01      .
2013-05-01  12.76
2013-06-01      .
2013-07-01      .
2013-08-01  13.11
2013-09-01      .
2013-10-01      .
2013-11-01  12.89
2013-12-01      .
2014-01-01      .
2014-02-01  13.14
2014-03-01      .
2014-04-01      .
2014-05-01  12.74
2014-06-01      .
2014-07-01      .
2014-08-01  13.18
2014-09-01      .
2014-10-01      .
2014-11-01  13.68
2014-12-01      .
2015-01-01      .
2015-02-01  13.53
2015-03-01      .
2015-04-01      .
2015-05-01  13.49
2015-06-01      .
2015-07-01      .
2015-08-01  13.93
2015-09-01      .
2015-10-01      .
2015-11-01  13.70
2015-12-01      .
2016-01-01      .
2016-02-01  13.51
2016-03-01      .
2016-04-01      .
2016-05-01  13.35
2016-06-01      .
2016-07-01      .
2016-08-01  13.76
2016-09-01      .
2016-10-01      .
2016-11-01  13.61
