Title:               10-Year 3-1/2% Treasury Inflation-Indexed Note, Due 1/15/2011 (DISCONTINUED)©
Series ID:           TP10J11
Source:              Haver Analytics
Release:             Monthly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          2001-02-01 to 2010-12-01
Last Updated:        2011-01-03 9:31 AM CST
Notes:               Averages of business days. Copyright, 2016, Haver Analytics. Reprinted
                     with permission. Calculated from data provided by the Wall Street
                     Journal.

DATE        VALUE
2001-02-01   3.43
2001-03-01   3.32
2001-04-01   3.33
2001-05-01   3.25
2001-06-01   3.27
2001-07-01   3.42
2001-08-01   3.33
2001-09-01   3.18
2001-10-01   3.10
2001-11-01   3.19
2001-12-01   3.53
2002-01-01   3.45
2002-02-01   3.31
2002-03-01   3.35
2002-04-01   3.14
2002-05-01   3.07
2002-06-01   3.04
2002-07-01   2.89
2002-08-01   2.49
2002-09-01   2.21
2002-10-01   2.35
2002-11-01   2.39
2002-12-01   2.38
2003-01-01   2.18
2003-02-01   1.85
2003-03-01   1.75
2003-04-01   1.98
2003-05-01   1.71
2003-06-01   1.45
2003-07-01   1.81
2003-08-01   2.07
2003-09-01   1.86
2003-10-01   1.71
2003-11-01   1.65
2003-12-01   1.67
2004-01-01   1.50
2004-02-01   1.29
2004-03-01   0.94
2004-04-01   1.43
2004-05-01   1.72
2004-06-01   1.74
2004-07-01   1.60
2004-08-01   1.44
2004-09-01   1.35
2004-10-01   1.23
2004-11-01   1.13
2004-12-01   1.12
2005-01-01   1.26
2005-02-01   1.19
2005-03-01   1.36
2005-04-01   1.28
2005-05-01   1.30
2005-06-01   1.41
2005-07-01   1.68
2005-08-01   1.71
2005-09-01   1.40
2005-10-01   1.70
2005-11-01   1.96
2005-12-01   2.08
2006-01-01   1.92
2006-02-01   1.97
2006-03-01   2.08
2006-04-01   2.23
2006-05-01   2.22
2006-06-01   2.39
2006-07-01   2.41
2006-08-01   2.23
2006-09-01   2.37
2006-10-01   2.52
2006-11-01   2.42
2006-12-01   2.25
2007-01-01   2.44
2007-02-01   2.30
2007-03-01   1.96
2007-04-01   2.01
2007-05-01   2.19
2007-06-01   2.65
2007-07-01   2.65
2007-08-01   2.48
2007-09-01   2.19
2007-10-01   1.97
2007-11-01   1.17
2007-12-01   1.07
2008-01-01   0.57
2008-02-01   0.15
2008-03-01  -0.33
2008-04-01   0.00
2008-05-01   0.13
2008-06-01   0.25
2008-07-01   0.19
2008-08-01   0.69
2008-09-01   1.27
2008-10-01   3.38
2008-11-01   4.52
2008-12-01   4.93
2009-01-01   3.40
2009-02-01   1.87
2009-03-01   1.51
2009-04-01   1.08
2009-05-01   1.10
2009-06-01   0.46
2009-07-01   0.70
2009-08-01   0.55
2009-09-01   0.38
2009-10-01   0.06
2009-11-01  -0.34
2009-12-01  -0.18
2010-01-01  -0.61
2010-02-01  -1.00
2010-03-01  -1.14
2010-04-01  -1.00
2010-05-01  -0.26
2010-06-01   0.47
2010-07-01   0.52
2010-08-01   0.41
2010-09-01   0.46
2010-10-01  -0.12
2010-11-01  -0.25
2010-12-01   0.07
