Title:               10-Year 1-3/8% Treasury Inflation-Indexed Note, Due 1/15/2020©
Series ID:           TP10J20
Source:              Haver Analytics
Release:             Monthly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          2010-02-01 to 2016-12-01
Last Updated:        2017-01-03 8:56 AM CST
Notes:               Yield to maturity on accrued principal. Averages of business days.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.
                     Calculated from data provided by the Wall Street Journal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.

DATE         VALUE
2010-02-01   1.416
2010-03-01   1.504
2010-04-01   1.494
2010-05-01   1.279
2010-06-01   1.224
2010-07-01   1.187
2010-08-01   0.960
2010-09-01   0.828
2010-10-01   0.437
2010-11-01   0.550
2010-12-01   0.939
2011-01-01   0.911
2011-02-01   1.044
2011-03-01   0.756
2011-04-01   0.640
2011-05-01   0.522
2011-06-01   0.476
2011-07-01   0.332
2011-08-01  -0.140
2011-09-01  -0.156
2011-10-01  -0.021
2011-11-01  -0.258
2011-12-01  -0.323
2012-01-01  -0.436
2012-02-01  -0.637
2012-03-01  -0.547
2012-04-01  -0.639
2012-05-01  -0.760
2012-06-01  -0.811
2012-07-01  -0.884
2012-08-01  -0.892
2012-09-01  -1.127
2012-10-01  -1.194
2012-11-01  -1.174
2012-12-01  -1.210
2013-01-01  -1.149
2013-02-01  -1.200
2013-03-01  -1.267
2013-04-01  -1.305
2013-05-01  -0.955
2013-06-01  -0.294
2013-07-01  -0.110
2013-08-01  -0.020
2013-09-01   0.055
2013-10-01  -0.225
2013-11-01  -0.176
2013-12-01   0.044
2014-01-01  -0.058
2014-02-01  -0.219
2014-03-01  -0.157
2014-04-01  -0.100
2014-05-01  -0.255
2014-06-01  -0.246
2014-07-01  -0.296
2014-08-01  -0.257
2014-09-01   0.043
2014-10-01  -0.017
2014-11-01   0.032
2014-12-01   0.260
2015-01-01   0.024
2015-02-01  -0.147
2015-03-01  -0.173
2015-04-01  -0.459
2015-05-01  -0.273
2015-06-01  -0.139
2015-07-01  -0.062
2015-08-01   0.140
2015-09-01   0.184
2015-10-01   0.081
2015-11-01   0.266
2015-12-01   0.328
2016-01-01   0.195
2016-02-01   0.004
2016-03-01  -0.219
2016-04-01  -0.418
2016-05-01  -0.394
2016-06-01  -0.449
2016-07-01  -0.473
2016-08-01  -0.317
2016-09-01  -0.340
2016-10-01  -0.488
2016-11-01  -0.337
2016-12-01  -0.226
