Title:               30-Year 3-7/8% Treasury Inflation-Indexed Bond, Due 4/15/2029©
Series ID:           TP30A29
Source:              Haver Analytics
Release:             Monthly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1999-04-01 to 2016-12-01
Last Updated:        2017-01-03 8:56 AM CST
Notes:               Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     
                     Averages of business days. Yield to maturity on accrued principal.
                     
                     Calculated from data provided by the Wall Street Journal.
                     
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE        VALUE
1999-04-01   3.87
1999-05-01   3.86
1999-06-01   3.92
1999-07-01   3.98
1999-08-01   4.00
1999-09-01   4.05
1999-10-01   4.12
1999-11-01   4.10
1999-12-01   4.20
2000-01-01   4.32
2000-02-01   4.16
2000-03-01   4.08
2000-04-01   3.89
2000-05-01   3.97
2000-06-01   3.91
2000-07-01   3.85
2000-08-01   3.87
2000-09-01   3.92
2000-10-01   3.89
2000-11-01   3.84
2000-12-01   3.74
2001-01-01   3.63
2001-02-01   3.52
2001-03-01   3.46
2001-04-01   3.56
2001-05-01   3.47
2001-06-01   3.46
2001-07-01   3.47
2001-08-01   3.41
2001-09-01   3.42
2001-10-01   3.43
2001-11-01   3.29
2001-12-01   3.52
2002-01-01   3.49
2002-02-01   3.47
2002-03-01   3.51
2002-04-01   3.40
2002-05-01   3.34
2002-06-01   3.20
2002-07-01   3.14
2002-08-01   2.91
2002-09-01   2.71
2002-10-01   2.89
2002-11-01   2.92
2002-12-01   2.85
2003-01-01   2.74
2003-02-01   2.53
2003-03-01   2.52
2003-04-01   2.74
2003-05-01   2.43
2003-06-01   2.29
2003-07-01   2.66
2003-08-01   2.81
2003-09-01   2.69
2003-10-01   2.60
2003-11-01   2.42
2003-12-01   2.34
2004-01-01   2.26
2004-02-01   2.17
2004-03-01   1.96
2004-04-01   2.29
2004-05-01   2.47
2004-06-01   2.45
2004-07-01   2.38
2004-08-01   2.27
2004-09-01   2.20
2004-10-01   2.16
2004-11-01   2.12
2004-12-01   2.01
2005-01-01   1.96
2005-02-01   1.84
2005-03-01   1.95
2005-04-01   1.87
2005-05-01   1.80
2005-06-01   1.77
2005-07-01   1.95
2005-08-01   1.99
2005-09-01   1.90
2005-10-01   2.07
2005-11-01   2.13
2005-12-01   2.10
2006-01-01   2.00
2006-02-01   1.95
2006-03-01   2.12
2006-04-01   2.39
2006-05-01   2.45
2006-06-01   2.49
2006-07-01   2.46
2006-08-01   2.26
2006-09-01   2.25
2006-10-01   2.33
2006-11-01   2.18
2006-12-01   2.22
2007-01-01   2.39
2007-02-01   2.35
2007-03-01   2.25
2007-04-01   2.34
2007-05-01   2.43
2007-06-01   2.66
2007-07-01   2.60
2007-08-01   2.46
2007-09-01   2.28
2007-10-01   2.25
2007-11-01   1.98
2007-12-01   2.06
2008-01-01   1.81
2008-02-01   1.90
2008-03-01   1.81
2008-04-01   1.95
2008-05-01   2.04
2008-06-01   2.23
2008-07-01   2.13
2008-08-01   2.17
2008-09-01   2.30
2008-10-01   2.94
2008-11-01   3.12
2008-12-01   2.50
2009-01-01   2.60
2009-02-01   2.49
2009-03-01   2.40
2009-04-01   2.40
2009-05-01   2.48
2009-06-01   2.46
2009-07-01   2.38
2009-08-01   2.29
2009-09-01   2.19
2009-10-01   2.09
2009-11-01   1.94
2009-12-01   2.02
2010-01-01   2.02
2010-02-01   2.10
2010-03-01   2.15
2010-04-01   2.04
2010-05-01   1.80
2010-06-01   1.78
2010-07-01   1.86
2010-08-01   1.66
2010-09-01   1.50
2010-10-01   1.26
2010-11-01   1.36
2010-12-01   1.72
2011-01-01   1.78
2011-02-01   1.96
2011-03-01   1.69
2011-04-01   1.57
2011-05-01   1.49
2011-06-01   1.48
2011-07-01   1.31
2011-08-01   0.74
2011-09-01   0.69
2011-10-01   0.73
2011-11-01   0.50
2011-12-01   0.49
2012-01-01   0.43
2012-02-01   0.34
2012-03-01   0.47
2012-04-01   0.37
2012-05-01   0.19
2012-06-01   0.05
2012-07-01  -0.05
2012-08-01   0.02
2012-09-01  -0.07
2012-10-01  -0.13
2012-11-01  -0.19
2012-12-01  -0.21
2013-01-01  -0.07
2013-02-01   0.02
2013-03-01   0.00
2013-04-01  -0.14
2013-05-01   0.12
2013-06-01   0.72
2013-07-01   0.89
2013-08-01   0.96
2013-09-01   1.05
2013-10-01   0.86
2013-11-01   1.00
2013-12-01   1.16
2014-01-01   1.01
2014-02-01   0.92
2014-03-01   0.91
2014-04-01   0.85
2014-05-01   0.66
2014-06-01   0.69
2014-07-01   0.57
2014-08-01   0.51
2014-09-01   0.73
2014-10-01   0.64
2014-11-01   0.68
2014-12-01   0.65
2015-01-01   0.47
2015-02-01   0.49
2015-03-01   0.46
2015-04-01   0.33
2015-05-01   0.57
2015-06-01   0.70
2015-07-01   0.69
2015-08-01   0.72
2015-09-01   0.87
2015-10-01   0.78
2015-11-01   0.88
2015-12-01   0.92
2016-01-01   0.90
2016-02-01   0.73
2016-03-01   0.62
2016-04-01   0.45
2016-05-01   0.46
2016-06-01   0.41
2016-07-01   0.29
2016-08-01   0.32
2016-09-01   0.34
2016-10-01   0.34
2016-11-01   0.55
2016-12-01   0.77
