Title:               30-1/2-Year 3-3/8% Treasury Inflation-Indexed Bond, Due 4/15/2032©
Series ID:           TP3HA32
Source:              Haver Analytics
Release:             Monthly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          2001-11-01 to 2016-12-01
Last Updated:        2017-01-03 8:56 AM CST
Notes:               Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     
                     Averages of business days. Yield to maturity on accrued principal.
                     
                     Calculated from data provided by the Wall Street Journal.
                     
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE        VALUE
2001-11-01   3.25
2001-12-01   3.46
2002-01-01   3.43
2002-02-01   3.39
2002-03-01   3.41
2002-04-01   3.30
2002-05-01   3.24
2002-06-01   3.10
2002-07-01   3.05
2002-08-01   2.83
2002-09-01   2.63
2002-10-01   2.81
2002-11-01   2.84
2002-12-01   2.77
2003-01-01   2.66
2003-02-01   2.45
2003-03-01   2.44
2003-04-01   2.66
2003-05-01   2.34
2003-06-01   2.22
2003-07-01   2.60
2003-08-01   2.76
2003-09-01   2.62
2003-10-01   2.51
2003-11-01   2.33
2003-12-01   2.26
2004-01-01   2.19
2004-02-01   2.10
2004-03-01   1.88
2004-04-01   2.21
2004-05-01   2.38
2004-06-01   2.36
2004-07-01   2.30
2004-08-01   2.20
2004-09-01   2.13
2004-10-01   2.09
2004-11-01   2.05
2004-12-01   1.93
2005-01-01   1.88
2005-02-01   1.76
2005-03-01   1.87
2005-04-01   1.79
2005-05-01   1.73
2005-06-01   1.69
2005-07-01   1.87
2005-08-01   1.90
2005-09-01   1.82
2005-10-01   1.98
2005-11-01   2.04
2005-12-01   2.02
2006-01-01   1.92
2006-02-01   1.86
2006-03-01   2.04
2006-04-01   2.30
2006-05-01   2.37
2006-06-01   2.41
2006-07-01   2.38
2006-08-01   2.18
2006-09-01   2.18
2006-10-01   2.25
2006-11-01   2.10
2006-12-01   2.14
2007-01-01   2.31
2007-02-01   2.26
2007-03-01   2.16
2007-04-01   2.26
2007-05-01   2.36
2007-06-01   2.58
2007-07-01   2.53
2007-08-01   2.38
2007-09-01   2.21
2007-10-01   2.17
2007-11-01   1.90
2007-12-01   1.98
2008-01-01   1.72
2008-02-01   1.82
2008-03-01   1.73
2008-04-01   1.87
2008-05-01   1.96
2008-06-01   2.15
2008-07-01   2.05
2008-08-01   2.09
2008-09-01   2.21
2008-10-01   2.83
2008-11-01   2.97
2008-12-01   2.22
2009-01-01   2.23
2009-02-01   2.12
2009-03-01   2.09
2009-04-01   2.11
2009-05-01   2.21
2009-06-01   2.20
2009-07-01   2.20
2009-08-01   2.23
2009-09-01   2.16
2009-10-01   2.07
2009-11-01   1.92
2009-12-01   2.01
2010-01-01   2.01
2010-02-01   2.09
2010-03-01   2.16
2010-04-01   2.05
2010-05-01   1.81
2010-06-01   1.77
2010-07-01   1.85
2010-08-01   1.67
2010-09-01   1.52
2010-10-01   1.28
2010-11-01   1.38
2010-12-01   1.74
2011-01-01   1.82
2011-02-01   2.00
2011-03-01   1.74
2011-04-01   1.62
2011-05-01   1.54
2011-06-01   1.54
2011-07-01   1.37
2011-08-01   0.80
2011-09-01   0.75
2011-10-01   0.79
2011-11-01   0.56
2011-12-01   0.55
2012-01-01   0.49
2012-02-01   0.40
2012-03-01   0.53
2012-04-01   0.42
2012-05-01   0.25
2012-06-01   0.10
2012-07-01   0.01
2012-08-01   0.09
2012-09-01   0.01
2012-10-01  -0.02
2012-11-01  -0.07
2012-12-01  -0.08
2013-01-01   0.07
2013-02-01   0.16
2013-03-01   0.15
2013-04-01   0.01
2013-05-01   0.28
2013-06-01   0.87
2013-07-01   1.01
2013-08-01   1.08
2013-09-01   1.17
2013-10-01   0.98
2013-11-01   1.12
2013-12-01   1.28
2014-01-01   1.13
2014-02-01   1.04
2014-03-01   1.02
2014-04-01   0.96
2014-05-01   0.78
2014-06-01   0.80
2014-07-01   0.68
2014-08-01   0.62
2014-09-01   0.83
2014-10-01   0.74
2014-11-01   0.78
2014-12-01   0.75
2015-01-01   0.56
2015-02-01   0.57
2015-03-01   0.54
2015-04-01   0.41
2015-05-01   0.65
2015-06-01   0.78
2015-07-01   0.76
2015-08-01   0.77
2015-09-01   0.92
2015-10-01   0.84
2015-11-01   0.92
2015-12-01   0.95
2016-01-01   0.94
2016-02-01   0.77
2016-03-01   0.64
2016-04-01   0.47
2016-05-01   0.47
2016-06-01   0.41
2016-07-01   0.29
2016-08-01   0.33
2016-09-01   0.35
2016-10-01   0.35
2016-11-01   0.55
2016-12-01   0.77
