Title:               3-Month AA Financial Commercial Paper Rate
Series ID:           WCPF3M
Source:              Board of Governors of the Federal Reserve System (US)
Release:             H.15 Selected Interest Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Friday
Units:               Percent
Date Range:          1997-01-03 to 2017-01-06
Last Updated:        2017-01-09 3:46 PM CST
Notes:               Averages of Business Days, Discount Basis

DATE       VALUE
1997-01-03  5.35
1997-01-10  5.32
1997-01-17  5.34
1997-01-24  5.31
1997-01-31  5.32
1997-02-07  5.31
1997-02-14  5.29
1997-02-21  5.25
1997-02-28  5.27
1997-03-07  5.33
1997-03-14  5.35
1997-03-21  5.40
1997-03-28  5.55
1997-04-04  5.61
1997-04-11  5.60
1997-04-18  5.58
1997-04-25  5.61
1997-05-02  5.62
1997-05-09  5.62
1997-05-16  5.61
1997-05-23  5.59
1997-05-30  5.58
1997-06-06  5.58
1997-06-13  5.57
1997-06-20  5.56
1997-06-27  5.56
1997-07-04  5.56
1997-07-11  5.52
1997-07-18  5.51
1997-07-25  5.49
1997-08-01  5.49
1997-08-08  5.49
1997-08-15  5.51
1997-08-22  5.50
1997-08-29  5.51
1997-09-05  5.51
1997-09-12  5.51
1997-09-19  5.50
1997-09-26  5.50
1997-10-03  5.51
1997-10-10  5.51
1997-10-17  5.54
1997-10-24  5.59
1997-10-31  5.58
1997-11-07  5.59
1997-11-14  5.65
1997-11-21  5.66
1997-11-28  5.66
1997-12-05  5.71
1997-12-12  5.72
1997-12-19  5.71
1997-12-26  5.72
1998-01-02  5.62
1998-01-09  5.48
1998-01-16  5.40
1998-01-23  5.42
1998-01-30  5.44
1998-02-06  5.44
1998-02-13  5.44
1998-02-20  5.45
1998-02-27  5.47
1998-03-06  5.50
1998-03-13  5.49
1998-03-20  5.48
1998-03-27  5.49
1998-04-03  5.49
1998-04-10  5.46
1998-04-17  5.48
1998-04-24  5.48
1998-05-01  5.50
1998-05-08  5.49
1998-05-15  5.50
1998-05-22  5.51
1998-05-29  5.49
1998-06-05  5.50
1998-06-12  5.50
1998-06-19  5.50
1998-06-26  5.51
1998-07-03  5.51
1998-07-10  5.50
1998-07-17  5.50
1998-07-24  5.50
1998-07-31  5.51
1998-08-07  5.51
1998-08-14  5.50
1998-08-21  5.50
1998-08-28  5.49
1998-09-04  5.42
1998-09-11  5.40
1998-09-18  5.34
1998-09-25  5.28
1998-10-02  5.11
1998-10-09  5.18
1998-10-16  5.12
1998-10-23  5.03
1998-10-30  5.04
1998-11-06  5.16
1998-11-13  5.24
1998-11-20  5.13
1998-11-27  5.10
1998-12-04  5.04
1998-12-11  5.05
1998-12-18  5.04
1998-12-25  5.06
1999-01-01  5.02
1999-01-08  4.84
1999-01-15  4.84
1999-01-22  4.79
1999-01-29  4.78
1999-02-05  4.80
1999-02-12  4.82
1999-02-19  4.82
1999-02-26  4.83
1999-03-05  4.86
1999-03-12  4.84
1999-03-19  4.83
1999-03-26  4.82
1999-04-02  4.83
1999-04-09  4.82
1999-04-16  4.80
1999-04-23  4.79
1999-04-30  4.79
1999-05-07  4.80
1999-05-14  4.81
1999-05-21  4.84
1999-05-28  4.86
1999-06-04  4.92
1999-06-11  4.96
1999-06-18  5.04
1999-06-25  5.11
1999-07-02  5.17
1999-07-09  5.16
1999-07-16  5.15
1999-07-23  5.13
1999-07-30  5.14
1999-08-06  5.21
1999-08-13  5.27
1999-08-20  5.32
1999-08-27  5.32
1999-09-03  5.32
1999-09-10  5.32
1999-09-17  5.31
1999-09-24  5.33
1999-10-01  5.32
1999-10-08  5.93
1999-10-15  5.95
1999-10-22  5.99
1999-10-29  5.97
1999-11-05  5.92
1999-11-12  5.82
1999-11-19  5.83
1999-11-26  5.82
1999-12-03  5.88
1999-12-10  5.90
1999-12-17  5.98
1999-12-24  6.04
1999-12-31  5.83
2000-01-07  5.80
2000-01-14  5.80
2000-01-21  5.81
2000-01-28  5.82
2000-02-04  5.88
2000-02-11  5.88
2000-02-18  5.90
2000-02-25  5.92
2000-03-03  5.93
2000-03-10  5.95
2000-03-17  6.02
2000-03-24  6.08
2000-03-31  6.11
2000-04-07  6.10
2000-04-14  6.11
2000-04-21  6.14
2000-04-28  6.23
2000-05-05  6.43
2000-05-12  6.57
2000-05-19  6.63
2000-05-26  6.64
2000-06-02  6.65
2000-06-09  6.59
2000-06-16  6.59
2000-06-23  6.57
2000-06-30  6.59
2000-07-07  6.55
2000-07-14  6.53
2000-07-21  6.53
2000-07-28  6.53
2000-08-04  6.52
2000-08-11  6.48
2000-08-18  6.49
2000-08-25  6.49
2000-09-01  6.49
2000-09-08  6.47
2000-09-15  6.47
2000-09-22  6.46
2000-09-29  6.47
2000-10-06  6.50
2000-10-13  6.55
2000-10-20  6.53
2000-10-27  6.52
2000-11-03  6.52
2000-11-10  6.51
2000-11-17  6.52
2000-11-24  6.53
2000-12-01  6.51
2000-12-08  6.43
2000-12-15  6.36
2000-12-22  6.28
2000-12-29  6.21
2001-01-05  5.84
2001-01-12  5.46
2001-01-19  5.51
2001-01-26  5.42
2001-02-02  5.30
2001-02-09  5.23
2001-02-16  5.23
2001-02-23  5.21
2001-03-02  4.99
2001-03-09  4.95
2001-03-16  4.84
2001-03-23  4.70
2001-03-30  4.70
2001-04-06  4.68
2001-04-13  4.60
2001-04-20  4.49
2001-04-27  4.21
2001-05-04  4.15
2001-05-11  3.96
2001-05-18  3.93
