Title:               10-Year 1-1/8% Treasury Inflation-Indexed Note, Due 1/15/2021©
Series ID:           WTP10J21
Source:              Haver Analytics
Release:             Weekly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Friday
Units:               Percent
Date Range:          2011-01-28 to 2017-01-06
Last Updated:        2017-01-09 6:06 AM CST
Notes:               Yield to maturity on accrued principal.
                     Averages of business days. Treasury Inflation-Protected Securities, or
                     TIPS, are securities whose principal is tied to the Consumer Price
                     Index (CPI). The principal increases with inflation and decreases with
                     deflation. When the security matures, the U.S. Treasury pays the
                     original or adjusted principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.
                     Calculated from data provided by the Wall Street Journal.

DATE         VALUE
2011-01-28   1.143
2011-02-04   1.169
2011-02-11   1.352
2011-02-18   1.311
2011-02-25   1.064
2011-03-04   1.023
2011-03-11   0.965
2011-03-18   0.868
2011-03-25   0.944
2011-04-01   0.987
2011-04-08   0.926
2011-04-15   0.838
2011-04-22   0.751
2011-04-29   0.733
2011-05-06   0.666
2011-05-13   0.694
2011-05-20   0.771
2011-05-27   0.743
2011-06-03   0.698
2011-06-10   0.696
2011-06-17   0.701
2011-06-24   0.688
2011-07-01   0.671
2011-07-08   0.663
2011-07-15   0.548
2011-07-22   0.512
2011-07-29   0.416
2011-08-05   0.216
2011-08-12  -0.074
2011-08-19  -0.061
2011-08-26   0.035
2011-09-02   0.029
2011-09-09  -0.064
2011-09-16  -0.002
2011-09-23  -0.039
2011-09-30   0.077
2011-10-07   0.032
2011-10-14   0.186
2011-10-21   0.157
2011-10-28   0.113
2011-11-04  -0.083
2011-11-11  -0.145
2011-11-18  -0.040
2011-11-25  -0.040
2011-12-02  -0.079
2011-12-09  -0.098
2011-12-16  -0.140
2011-12-23  -0.181
2011-12-30  -0.168
2012-01-06  -0.182
2012-01-13  -0.219
2012-01-20  -0.243
2012-01-27  -0.277
2012-02-03  -0.445
2012-02-10  -0.401
2012-02-17  -0.432
2012-02-24  -0.464
2012-03-02  -0.466
2012-03-09  -0.404
2012-03-16  -0.333
2012-03-23  -0.265
2012-03-30  -0.314
2012-04-06  -0.307
2012-04-13  -0.437
2012-04-20  -0.466
2012-04-27  -0.496
2012-05-04  -0.530
2012-05-11  -0.529
2012-05-18  -0.595
2012-05-25  -0.610
