Title:               10-Year 1-1/4% Treasury Inflation-Indexed Note, Due 7/15/2020©
Series ID:           WTP10L20
Source:              Haver Analytics
Release:             Weekly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Friday
Units:               Percent
Date Range:          2010-07-16 to 2017-01-06
Last Updated:        2017-01-09 6:06 AM CST
Notes:               Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     
                     Averages of business days. Yield to maturity on accrued principal.
                     
                     Calculated from data provided by the Wall Street Journal.
                     
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2010-07-16   1.240
2010-07-23   1.238
2010-07-30   1.207
2010-08-06   1.083
2010-08-13   0.983
2010-08-20   0.995
2010-08-27   1.010
2010-09-03   0.994
2010-09-10   0.997
2010-09-17   0.942
2010-09-24   0.793
2010-10-01   0.698
2010-10-08   0.548
2010-10-15   0.415
2010-10-22   0.430
2010-10-29   0.485
2010-11-05   0.453
2010-11-12   0.542
2010-11-19   0.763
2010-11-26   0.680
2010-12-03   0.749
2010-12-10   0.951
2010-12-17   1.127
2010-12-24   1.032
2010-12-31   1.038
2011-01-07   0.993
2011-01-14   0.929
2011-01-21   1.005
2011-01-28   1.024
2011-02-04   1.061
2011-02-11   1.246
2011-02-18   1.207
2011-02-25   0.960
2011-03-04   0.917
2011-03-11   0.856
2011-03-18   0.760
2011-03-25   0.839
2011-04-01   0.896
2011-04-08   0.831
2011-04-15   0.740
2011-04-22   0.653
2011-04-29   0.633
2011-05-06   0.559
2011-05-13   0.582
2011-05-20   0.658
2011-05-27   0.626
2011-06-03   0.583
2011-06-10   0.577
2011-06-17   0.587
2011-06-24   0.574
2011-07-01   0.557
2011-07-08   0.547
2011-07-15   0.431
2011-07-22   0.397
2011-07-29   0.297
2011-08-05   0.101
2011-08-12  -0.182
2011-08-19  -0.158
2011-08-26  -0.051
2011-09-02  -0.057
2011-09-09  -0.150
2011-09-16  -0.091
2011-09-23  -0.123
2011-09-30  -0.004
2011-10-07  -0.045
2011-10-14   0.107
2011-10-21   0.075
2011-10-28   0.027
2011-11-04  -0.175
2011-11-11  -0.244
2011-11-18  -0.156
2011-11-25  -0.157
2011-12-02  -0.197
2011-12-09  -0.220
2011-12-16  -0.261
2011-12-23  -0.304
2011-12-30  -0.293
2012-01-06  -0.307
2012-01-13  -0.346
2012-01-20  -0.375
2012-01-27  -0.413
2012-02-03  -0.577
2012-02-10  -0.535
2012-02-17  -0.567
2012-02-24  -0.605
2012-03-02  -0.609
2012-03-09  -0.553
2012-03-16  -0.483
2012-03-23  -0.410
2012-03-30  -0.461
2012-04-06  -0.455
2012-04-13  -0.585
2012-04-20  -0.614
2012-04-27  -0.648
2012-05-04  -0.679
2012-05-11  -0.675
2012-05-18  -0.732
2012-05-25  -0.738
2012-06-01  -0.791
2012-06-08  -0.810
2012-06-15  -0.793
2012-06-22  -0.781
2012-06-29  -0.732
2012-07-06  -0.780
2012-07-13  -0.849
2012-07-20  -0.881
2012-07-27  -0.878
2012-08-03  -0.907
2012-08-10  -0.883
2012-08-17  -0.754
2012-08-24  -0.803
2012-08-31  -0.939
2012-09-07  -0.973
2012-09-14  -1.032
2012-09-21  -1.109
2012-09-28  -1.153
2012-10-05  -1.227
2012-10-12  -1.186
2012-10-19  -1.096
2012-10-26  -1.057
2012-11-02  -1.121
2012-11-09  -1.149
2012-11-16  -1.166
2012-11-23  -1.100
2012-11-30  -1.145
2012-12-07  -1.239
2012-12-14  -1.206
2012-12-21  -1.122
2012-12-28  -1.150
2013-01-04  -1.063
2013-01-11  -1.098
2013-01-18  -1.147
2013-01-25  -1.142
2013-02-01  -1.105
2013-02-08  -1.151
2013-02-15  -1.138
2013-02-22  -1.132
2013-03-01  -1.239
2013-03-08  -1.229
2013-03-15  -1.186
2013-03-22  -1.261
2013-03-29  -1.287
2013-04-05  -1.339
2013-04-12  -1.310
2013-04-19  -1.251
2013-04-26  -1.267
2013-05-03  -1.226
2013-05-10  -1.098
2013-05-17  -0.979
2013-05-24  -0.861
2013-05-31  -0.651
2013-06-07  -0.606
2013-06-14  -0.404
2013-06-21  -0.221
2013-06-28   0.103
2013-07-05  -0.006
2013-07-12   0.040
2013-07-19  -0.173
2013-07-26  -0.158
2013-08-02  -0.116
2013-08-09  -0.198
2013-08-16  -0.040
2013-08-23   0.199
2013-08-30   0.102
2013-09-06   0.309
2013-09-13   0.285
2013-09-20   0.000
2013-09-27  -0.152
2013-10-04  -0.162
2013-10-11  -0.134
2013-10-18  -0.157
2013-10-25  -0.250
2013-11-01  -0.242
2013-11-08  -0.137
2013-11-15  -0.133
2013-11-22  -0.160
2013-11-29  -0.140
2013-12-06   0.013
2013-12-13   0.054
2013-12-20   0.062
2013-12-27   0.154
2014-01-03   0.126
2014-01-10   0.039
2014-01-17  -0.031
2014-01-24  -0.045
2014-01-31  -0.126
2014-02-07  -0.197
2014-02-14  -0.175
2014-02-21  -0.144
2014-02-28  -0.198
2014-03-07  -0.210
2014-03-14  -0.194
2014-03-21  -0.107
2014-03-28  -0.030
2014-04-04   0.025
2014-04-11  -0.069
2014-04-18  -0.099
2014-04-25  -0.110
2014-05-02  -0.128
2014-05-09  -0.160
2014-05-16  -0.207
2014-05-23  -0.272
2014-05-30  -0.339
2014-06-06  -0.188
2014-06-13  -0.165
2014-06-20  -0.193
2014-06-27  -0.303
2014-07-04  -0.280
2014-07-11  -0.300
2014-07-18  -0.283
2014-07-25  -0.289
2014-08-01  -0.253
2014-08-08  -0.270
2014-08-15  -0.299
2014-08-22  -0.225
2014-08-29  -0.191
2014-09-05  -0.129
2014-09-12  -0.003
2014-09-19   0.110
2014-09-26   0.148
2014-10-03   0.110
2014-10-10   0.014
2014-10-17  -0.105
2014-10-24  -0.059
2014-10-31   0.004
2014-11-07   0.024
2014-11-14   0.012
2014-11-21   0.061
2014-11-28   0.000
2014-12-05   0.102
2014-12-12   0.179
2014-12-19   0.253
2014-12-26   0.326
2015-01-02   0.307
2015-01-09   0.172
2015-01-16  -0.003
2015-01-23  -0.062
2015-01-30  -0.227
2015-02-06  -0.310
2015-02-13  -0.100
2015-02-20  -0.053
2015-02-27  -0.185
2015-03-06  -0.181
2015-03-13  -0.049
2015-03-20  -0.138
2015-03-27  -0.327
2015-04-03  -0.424
2015-04-10  -0.457
2015-04-17  -0.481
2015-04-24  -0.501
2015-05-01  -0.460
2015-05-08  -0.326
2015-05-15  -0.283
2015-05-22  -0.258
2015-05-29  -0.231
2015-06-05  -0.118
2015-06-12  -0.067
2015-06-19  -0.173
2015-06-26  -0.130
2015-07-03  -0.156
2015-07-10  -0.191
2015-07-17  -0.055
2015-07-24   0.023
2015-07-31   0.042
2015-08-07   0.123
2015-08-14   0.112
2015-08-21   0.167
2015-08-28   0.137
2015-09-04   0.145
2015-09-11   0.192
2015-09-18   0.185
2015-09-25   0.168
2015-10-02   0.143
2015-10-09   0.003
2015-10-16   0.025
2015-10-23   0.087
2015-10-30   0.151
2015-11-06   0.242
2015-11-13   0.311
