Title:               20-Year 2% Treasury Inflation-Indexed Bond, Due 1/15/2026©
Series ID:           WTP20J26
Source:              Haver Analytics
Release:             Weekly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Friday
Units:               Percent
Date Range:          2010-01-08 to 2017-01-06
Last Updated:        2017-01-09 6:06 AM CST
Notes:               Yield to maturity on accrued principal.
                     Average of business days. Copyright, 2016, Haver Analytics. Reprinted
                     with permission. Calculated from data provided by the Wall Street
                     Journal. Treasury Inflation-Protected Securities, or TIPS, are
                     securities whose principal is tied to the Consumer Price Index (CPI).
                     The principal increases with inflation and decreases with deflation.
                     When the security matures, the U.S. Treasury pays the original or
                     adjusted principal, whichever is greater.

DATE         VALUE
2010-01-08   1.936
2010-01-15   1.933
2010-01-22   1.904
2010-01-29   1.898
2010-02-05   1.861
2010-02-12   1.981
2010-02-19   2.036
2010-02-26   2.052
2010-03-05   2.027
2010-03-12   2.049
2010-03-19   1.980
2010-03-26   2.049
2010-04-02   2.080
2010-04-09   2.044
2010-04-16   1.943
2010-04-23   1.896
2010-04-30   1.805
2010-05-07   1.688
2010-05-14   1.688
2010-05-21   1.673
2010-05-28   1.695
2010-06-04   1.696
2010-06-11   1.674
2010-06-18   1.668
2010-06-25   1.602
2010-07-02   1.606
2010-07-09   1.682
2010-07-16   1.686
2010-07-23   1.723
2010-07-30   1.720
2010-08-06   1.620
2010-08-13   1.520
2010-08-20   1.468
2010-08-27   1.421
2010-09-03   1.357
2010-09-10   1.371
2010-09-17   1.377
2010-09-24   1.281
2010-10-01   1.234
2010-10-08   1.146
2010-10-15   1.045
2010-10-22   1.016
2010-10-29   1.026
2010-11-05   0.985
2010-11-12   1.124
2010-11-19   1.318
2010-11-26   1.260
2010-12-03   1.330
2010-12-10   1.514
2010-12-17   1.630
2010-12-24   1.569
2010-12-31   1.594
2011-01-07   1.593
2011-01-14   1.552
2011-01-21   1.620
2011-01-28   1.674
2011-02-04   1.731
2011-02-11   1.869
2011-02-18   1.832
2011-02-25   1.623
2011-03-04   1.560
2011-03-11   1.508
2011-03-18   1.415
2011-03-25   1.469
2011-04-01   1.504
2011-04-08   1.467
2011-04-15   1.379
2011-04-22   1.290
2011-04-29   1.300
2011-05-06   1.229
2011-05-13   1.263
2011-05-20   1.324
2011-05-27   1.306
2011-06-03   1.268
2011-06-10   1.284
2011-06-17   1.296
2011-06-24   1.275
2011-07-01   1.260
2011-07-08   1.241
2011-07-15   1.084
2011-07-22   1.076
2011-07-29   0.988
2011-08-05   0.697
2011-08-12   0.459
2011-08-19   0.440
2011-08-26   0.512
2011-09-02   0.531
2011-09-09   0.453
2011-09-16   0.517
2011-09-23   0.449
2011-09-30   0.589
2011-10-07   0.477
2011-10-14   0.645
2011-10-21   0.603
2011-10-28   0.559
2011-11-04   0.337
2011-11-11   0.276
2011-11-18   0.366
2011-11-25   0.355
2011-12-02   0.343
2011-12-09   0.382
2011-12-16   0.313
2011-12-23   0.268
2011-12-30   0.300
2012-01-06   0.305
2012-01-13   0.259
2012-01-20   0.259
2012-01-27   0.271
2012-02-03   0.116
2012-02-10   0.160
2012-02-17   0.134
2012-02-24   0.141
2012-03-02   0.128
2012-03-09   0.200
2012-03-16   0.246
2012-03-23   0.298
2012-03-30   0.276
2012-04-06   0.275
2012-04-13   0.147
2012-04-20   0.099
2012-04-27   0.071
2012-05-04   0.070
2012-05-11   0.041
2012-05-18  -0.043
2012-05-25  -0.087
2012-06-01  -0.139
2012-06-08  -0.198
2012-06-15  -0.150
2012-06-22  -0.136
2012-06-29  -0.106
2012-07-06  -0.139
2012-07-13  -0.232
2012-07-20  -0.255
2012-07-27  -0.266
2012-08-03  -0.267
2012-08-10  -0.211
2012-08-17  -0.056
2012-08-24  -0.089
2012-08-31  -0.209
2012-09-07  -0.222
2012-09-14  -0.235
2012-09-21  -0.287
2012-09-28  -0.332
2012-10-05  -0.399
2012-10-12  -0.374
2012-10-19  -0.294
2012-10-26  -0.311
2012-11-02  -0.393
2012-11-09  -0.426
2012-11-16  -0.450
2012-11-23  -0.359
2012-11-30  -0.378
2012-12-07  -0.467
2012-12-14  -0.457
2012-12-21  -0.355
2012-12-28  -0.396
2013-01-04  -0.273
2013-01-11  -0.292
2013-01-18  -0.323
2013-01-25  -0.322
2013-02-01  -0.237
2013-02-08  -0.249
2013-02-15  -0.219
2013-02-22  -0.199
2013-03-01  -0.289
2013-03-08  -0.269
2013-03-15  -0.220
2013-03-22  -0.297
2013-03-29  -0.317
2013-04-05  -0.389
2013-04-12  -0.398
2013-04-19  -0.393
2013-04-26  -0.430
2013-05-03  -0.397
2013-05-10  -0.246
2013-05-17  -0.134
2013-05-24  -0.026
2013-05-31   0.159
2013-06-07   0.208
2013-06-14   0.419
2013-06-21   0.590
2013-06-28   0.790
2013-07-05   0.697
2013-07-12   0.782
2013-07-19   0.620
2013-07-26   0.642
2013-08-02   0.689
2013-08-09   0.609
2013-08-16   0.750
2013-08-23   0.936
2013-08-30   0.832
2013-09-06   1.024
2013-09-13   1.012
2013-09-20   0.842
2013-09-27   0.681
2013-10-04   0.675
2013-10-11   0.703
2013-10-18   0.719
2013-10-25   0.623
2013-11-01   0.636
2013-11-08   0.754
2013-11-15   0.801
2013-11-22   0.811
2013-11-29   0.815
2013-12-06   0.961
2013-12-13   0.983
2013-12-20   0.968
2013-12-27   1.030
2014-01-03   1.003
2014-01-10   0.901
2014-01-17   0.828
2014-01-24   0.802
2014-01-31   0.743
2014-02-07   0.705
2014-02-14   0.741
2014-02-21   0.767
2014-02-28   0.709
2014-03-07   0.698
2014-03-14   0.709
2014-03-21   0.742
2014-03-28   0.722
2014-04-04   0.778
2014-04-11   0.692
2014-04-18   0.652
2014-04-25   0.625
2014-05-02   0.592
2014-05-09   0.543
2014-05-16   0.500
2014-05-23   0.461
2014-05-30   0.369
2014-06-06   0.521
2014-06-13   0.545
2014-06-20   0.526
2014-06-27   0.434
2014-07-04   0.475
2014-07-11   0.421
2014-07-18   0.405
2014-07-25   0.357
2014-08-01   0.380
2014-08-08   0.361
2014-08-15   0.318
2014-08-22   0.365
2014-08-29   0.346
2014-09-05   0.409
2014-09-12   0.535
2014-09-19   0.652
2014-09-26   0.659
2014-10-03   0.648
2014-10-10   0.546
2014-10-17   0.410
2014-10-24   0.474
2014-10-31   0.536
2014-11-07   0.556
2014-11-14   0.555
2014-11-21   0.589
2014-11-28   0.522
2014-12-05   0.597
2014-12-12   0.578
2014-12-19   0.565
2014-12-26   0.618
2015-01-02   0.601
2015-01-09   0.474
2015-01-16   0.385
2015-01-23   0.322
2015-01-30   0.205
2015-02-06   0.196
2015-02-13   0.372
2015-02-20   0.451
2015-02-27   0.312
2015-03-06   0.346
2015-03-13   0.454
2015-03-20   0.336
2015-03-27   0.215
2015-04-03   0.186
2015-04-10   0.174
2015-04-17   0.150
2015-04-24   0.141
2015-05-01   0.187
2015-05-08   0.358
2015-05-15   0.446
2015-05-22   0.435
2015-05-29   0.385
2015-06-05   0.543
2015-06-12   0.616
2015-06-19   0.511
2015-06-26   0.556
2015-07-03   0.554
2015-07-10   0.496
2015-07-17   0.597
2015-07-24   0.579
2015-07-31   0.571
2015-08-07   0.590
2015-08-14   0.598
2015-08-21   0.621
2015-08-28   0.661
2015-09-04   0.697
2015-09-11   0.717
2015-09-18   0.747
2015-09-25   0.737
2015-10-02   0.711
2015-10-09   0.628
2015-10-16   0.613
2015-10-23   0.660
2015-10-30   0.693
2015-11-06   0.763
2015-11-13   0.828
2015-11-20   0.775
2015-11-27   0.702
2015-12-04   0.719
2015-12-11   0.765
2015-12-18   0.854
2015-12-25   0.835
2016-01-01   0.835
2016-01-08   0.754
2016-01-15   0.750
2016-01-22   0.759
2016-01-29   0.658
2016-02-05   0.571
2016-02-12   0.537
2016-02-19   0.553
2016-02-26   0.431
2016-03-04   0.374
2016-03-11   0.454
2016-03-18   0.415
2016-03-25   0.350
2016-04-01   0.257
2016-04-08   0.190
2016-04-15   0.249
2016-04-22   0.267
2016-04-29   0.231
2016-05-06   0.206
2016-05-13   0.185
2016-05-20   0.259
2016-05-27   0.310
2016-06-03   0.294
2016-06-10   0.165
2016-06-17   0.181
2016-06-24   0.254
2016-07-01   0.110
2016-07-08  -0.018
2016-07-15   0.073
2016-07-22   0.138
2016-07-29   0.136
2016-08-05   0.176
2016-08-12   0.182
2016-08-19   0.199
2016-08-26   0.191
2016-09-02   0.208
2016-09-09   0.175
2016-09-16   0.283
2016-09-23   0.210
2016-09-30   0.093
2016-10-07   0.141
2016-10-14   0.192
2016-10-21   0.137
2016-10-28   0.161
2016-11-04   0.172
2016-11-11   0.237
2016-11-18   0.453
2016-11-25   0.492
2016-12-02   0.517
2016-12-09   0.495
2016-12-16   0.653
2016-12-23   0.686
2016-12-30   0.596
2017-01-06   0.500
