Title:               20-Year 1-3/4% Treasury Inflation-Indexed Bond, Due 1/15/2028©
Series ID:           WTP20J28
Source:              Haver Analytics
Release:             Weekly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Friday
Units:               Percent
Date Range:          2010-01-08 to 2017-01-06
Last Updated:        2017-01-09 6:06 AM CST
Notes:               Yield to maturity on accrued principal.
                     Average of business days. Copyright, 2016, Haver Analytics. Reprinted
                     with permission. Calculated from data provided by the Wall Street
                     Journal. Treasury Inflation-Protected Securities, or TIPS, are
                     securities whose principal is tied to the Consumer Price Index (CPI).
                     The principal increases with inflation and decreases with deflation.
                     When the security matures, the U.S. Treasury pays the original or
                     adjusted principal, whichever is greater.

DATE         VALUE
2010-01-08   1.992
2010-01-15   1.989
2010-01-22   1.963
2010-01-29   1.960
2010-02-05   1.934
2010-02-12   2.054
2010-02-19   2.110
2010-02-26   2.122
2010-03-05   2.096
2010-03-12   2.122
2010-03-19   2.056
2010-03-26   2.127
2010-04-02   2.153
2010-04-09   2.113
2010-04-16   2.011
2010-04-23   1.966
2010-04-30   1.877
2010-05-07   1.760
2010-05-14   1.767
2010-05-21   1.749
2010-05-28   1.770
2010-06-04   1.769
2010-06-11   1.743
2010-06-18   1.735
2010-06-25   1.674
2010-07-02   1.679
2010-07-09   1.758
2010-07-16   1.759
2010-07-23   1.806
2010-07-30   1.801
2010-08-06   1.706
2010-08-13   1.608
2010-08-20   1.557
2010-08-27   1.507
2010-09-03   1.442
2010-09-10   1.449
2010-09-17   1.454
2010-09-24   1.360
2010-10-01   1.311
2010-10-08   1.229
2010-10-15   1.135
2010-10-22   1.105
2010-10-29   1.114
2010-11-05   1.075
2010-11-12   1.211
2010-11-19   1.404
2010-11-26   1.345
2010-12-03   1.415
2010-12-10   1.598
2010-12-17   1.714
2010-12-24   1.662
2010-12-31   1.684
2011-01-07   1.685
2011-01-14   1.647
2011-01-21   1.712
2011-01-28   1.776
2011-02-04   1.845
2011-02-11   1.978
2011-02-18   1.945
2011-02-25   1.743
2011-03-04   1.679
2011-03-11   1.629
2011-03-18   1.540
2011-03-25   1.593
2011-04-01   1.629
2011-04-08   1.596
2011-04-15   1.509
2011-04-22   1.420
2011-04-29   1.434
2011-05-06   1.364
2011-05-13   1.399
2011-05-20   1.453
2011-05-27   1.441
2011-06-03   1.405
2011-06-10   1.422
2011-06-17   1.437
2011-06-24   1.421
2011-07-01   1.398
2011-07-08   1.374
2011-07-15   1.217
2011-07-22   1.201
2011-07-29   1.116
2011-08-05   0.822
2011-08-12   0.586
2011-08-19   0.559
2011-08-26   0.627
2011-09-02   0.642
2011-09-09   0.561
2011-09-16   0.622
2011-09-23   0.554
2011-09-30   0.699
2011-10-07   0.577
2011-10-14   0.744
2011-10-21   0.706
2011-10-28   0.663
2011-11-04   0.446
2011-11-11   0.389
2011-11-18   0.478
2011-11-25   0.464
2011-12-02   0.453
2011-12-09   0.494
2011-12-16   0.418
2011-12-23   0.378
2011-12-30   0.411
2012-01-06   0.419
2012-01-13   0.368
2012-01-20   0.370
2012-01-27   0.389
2012-02-03   0.247
2012-02-10   0.299
2012-02-17   0.280
2012-02-24   0.288
2012-03-02   0.275
2012-03-09   0.354
2012-03-16   0.398
2012-03-23   0.449
2012-03-30   0.431
2012-04-06   0.431
2012-04-13   0.306
2012-04-20   0.255
2012-04-27   0.228
2012-05-04   0.233
2012-05-11   0.193
2012-05-18   0.104
2012-05-25   0.058
2012-06-01   0.010
2012-06-08  -0.055
2012-06-15  -0.001
2012-06-22   0.013
2012-06-29   0.037
2012-07-06  -0.002
2012-07-13  -0.100
2012-07-20  -0.120
2012-07-27  -0.138
2012-08-03  -0.140
2012-08-10  -0.082
2012-08-17   0.072
2012-08-24   0.042
2012-08-31  -0.081
2012-09-07  -0.086
2012-09-14  -0.091
2012-09-21  -0.137
2012-09-28  -0.186
2012-10-05  -0.252
2012-10-12  -0.226
2012-10-19  -0.134
2012-10-26  -0.157
2012-11-02  -0.236
2012-11-09  -0.277
2012-11-16  -0.302
2012-11-23  -0.212
2012-11-30  -0.234
2012-12-07  -0.329
2012-12-14  -0.310
2012-12-21  -0.212
2012-12-28  -0.250
2013-01-04  -0.118
2013-01-11  -0.135
2013-01-18  -0.159
2013-01-25  -0.156
2013-02-01  -0.065
2013-02-08  -0.063
2013-02-15  -0.020
2013-02-22   0.005
2013-03-01  -0.080
2013-03-08  -0.057
2013-03-15   0.000
2013-03-22  -0.065
2013-03-29  -0.082
2013-04-05  -0.162
2013-04-12  -0.191
2013-04-19  -0.203
2013-04-26  -0.239
2013-05-03  -0.212
2013-05-10  -0.065
2013-05-17   0.050
2013-05-24   0.166
2013-05-31   0.345
2013-06-07   0.402
2013-06-14   0.623
2013-06-21   0.799
2013-06-28   0.964
2013-07-05   0.863
2013-07-12   0.954
2013-07-19   0.824
2013-07-26   0.837
2013-08-02   0.869
2013-08-09   0.782
2013-08-16   0.923
2013-08-23   1.089
2013-08-30   0.981
2013-09-06   1.168
2013-09-13   1.152
2013-09-20   1.006
2013-09-27   0.848
2013-10-04   0.839
2013-10-11   0.862
2013-10-18   0.886
2013-10-25   0.799
2013-11-01   0.804
2013-11-08   0.927
2013-11-15   0.986
2013-11-22   1.003
2013-11-29   0.995
2013-12-06   1.128
2013-12-13   1.139
2013-12-20   1.112
2013-12-27   1.165
2014-01-03   1.151
2014-01-10   1.051
2014-01-17   0.981
2014-01-24   0.960
2014-01-31   0.917
2014-02-07   0.886
2014-02-14   0.922
2014-02-21   0.937
2014-02-28   0.883
2014-03-07   0.872
2014-03-14   0.883
2014-03-21   0.914
2014-03-28   0.868
2014-04-04   0.931
2014-04-11   0.851
2014-04-18   0.803
2014-04-25   0.776
2014-05-02   0.738
2014-05-09   0.693
2014-05-16   0.653
2014-05-23   0.633
2014-05-30   0.547
2014-06-06   0.695
2014-06-13   0.713
2014-06-20   0.691
2014-06-27   0.606
2014-07-04   0.647
2014-07-11   0.577
2014-07-18   0.544
