Title:               30-Year 3-5/8% Treasury Inflation-Indexed Bond, Due 4/15/2028©
Series ID:           WTP30A28
Source:              Haver Analytics
Release:             Weekly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Friday
Units:               Percent
Date Range:          1998-04-17 to 2017-01-06
Last Updated:        2017-01-09 6:06 AM CST
Notes:               Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     
                     Averages of business days. Yield to maturity on accrued principal.
                     
                     Calculated from data provided by the Wall Street Journal.
                     
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE        VALUE
1998-04-17   3.72
1998-04-24   3.66
1998-05-01   3.67
1998-05-08   3.67
1998-05-15   3.67
1998-05-22   3.66
1998-05-29   3.65
1998-06-05   3.65
1998-06-12   3.65
1998-06-19   3.65
1998-06-26   3.67
1998-07-03   3.69
1998-07-10   3.68
1998-07-17   3.69
1998-07-24   3.68
1998-07-31   3.68
1998-08-07   3.70
1998-08-14   3.73
1998-08-21   3.74
1998-08-28   3.73
1998-09-04   3.75
1998-09-11   3.73
1998-09-18   3.70
1998-09-25   3.69
1998-10-02   3.62
1998-10-09   3.64
1998-10-16   3.68
1998-10-23   3.62
1998-10-30   3.64
1998-11-06   3.68
1998-11-13   3.75
1998-11-20   3.71
1998-11-27   3.63
1998-12-04   3.66
1998-12-11   3.75
1998-12-18   3.74
1998-12-25   3.72
1999-01-01   3.77
1999-01-08   3.78
1999-01-15   3.73
1999-01-22   3.72
1999-01-29   3.70
1999-02-05   3.70
1999-02-12   3.71
1999-02-19   3.71
1999-02-26   3.70
1999-03-05   3.77
1999-03-12   3.82
1999-03-19   3.85
1999-03-26   3.86
1999-04-02   3.87
1999-04-09   3.88
1999-04-16   3.88
1999-04-23   3.85
1999-04-30   3.86
1999-05-07   3.85
1999-05-14   3.85
1999-05-21   3.87
1999-05-28   3.88
1999-06-04   3.89
1999-06-11   3.90
1999-06-18   3.92
1999-06-25   3.95
1999-07-02   3.95
1999-07-09   3.97
1999-07-16   3.98
1999-07-23   3.99
1999-07-30   4.00
1999-08-06   4.00
1999-08-13   4.02
1999-08-20   4.00
1999-08-27   4.00
1999-09-03   4.03
1999-09-10   4.04
1999-09-17   4.04
1999-09-24   4.08
1999-10-01   4.07
1999-10-08   4.11
1999-10-15   4.14
1999-10-22   4.13
1999-10-29   4.13
1999-11-05   4.11
1999-11-12   4.09
1999-11-19   4.10
1999-11-26   4.12
1999-12-03   4.13
1999-12-10   4.14
1999-12-17   4.20
1999-12-24   4.28
1999-12-31   4.28
2000-01-07   4.32
2000-01-14   4.34
2000-01-21   4.39
2000-01-28   4.33
2000-02-04   4.20
2000-02-11   4.14
2000-02-18   4.15
2000-02-25   4.15
2000-03-03   4.15
2000-03-10   4.13
2000-03-17   4.12
2000-03-24   4.05
2000-03-31   3.96
2000-04-07   3.90
2000-04-14   3.89
2000-04-21   3.88
2000-04-28   3.88
2000-05-05   3.87
2000-05-12   3.97
2000-05-19   4.02
2000-05-26   4.01
2000-06-02   3.97
2000-06-09   3.92
