Title:               30-Year 2-1/8% Treasury Inflation-Indexed Bond, Due 2/15/2040©
Series ID:           WTP30F40
Source:              Haver Analytics
Release:             Weekly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Friday
Units:               Percent
Date Range:          2010-02-26 to 2017-01-06
Last Updated:        2017-01-09 6:06 AM CST
Notes:               Yield to maturity on accrued principal.
                     Average of business days. Copyright, 2016, Haver Analytics. Reprinted
                     with permission. Calculated from data provided by the Wall Street
                     Journal. Treasury Inflation-Protected Securities, or TIPS, are
                     securities whose principal is tied to the Consumer Price Index (CPI).
                     The principal increases with inflation and decreases with deflation.
                     When the security matures, the U.S. Treasury pays the original or
                     adjusted principal, whichever is greater.

DATE        VALUE
2010-02-26  2.152
2010-03-05  2.152
2010-03-12  2.176
2010-03-19  2.113
2010-03-26  2.175
2010-04-02  2.203
2010-04-09  2.165
2010-04-16  2.064
2010-04-23  2.018
2010-04-30  1.937
2010-05-07  1.819
2010-05-14  1.840
2010-05-21  1.814
2010-05-28  1.828
2010-06-04  1.821
2010-06-11  1.789
2010-06-18  1.785
2010-06-25  1.730
2010-07-02  1.736
2010-07-09  1.825
2010-07-16  1.845
2010-07-23  1.911
2010-07-30  1.907
2010-08-06  1.863
2010-08-13  1.822
2010-08-20  1.765
2010-08-27  1.685
2010-09-03  1.649
2010-09-10  1.698
2010-09-17  1.718
2010-09-24  1.633
2010-10-01  1.572
2010-10-08  1.499
2010-10-15  1.416
2010-10-22  1.377
2010-10-29  1.423
2010-11-05  1.440
2010-11-12  1.603
2010-11-19  1.736
2010-11-26  1.657
2010-12-03  1.698
2010-12-10  1.856
2010-12-17  1.949
2010-12-24  1.902
2010-12-31  1.915
2011-01-07  1.925
2011-01-14  1.904
2011-01-21  1.965
2011-01-28  2.042
2011-02-04  2.108
2011-02-11  2.202
2011-02-18  2.171
2011-02-25  2.010
2011-03-04  1.946
2011-03-11  1.898
2011-03-18  1.818
2011-03-25  1.857
2011-04-01  1.877
2011-04-08  1.840
2011-04-15  1.757
2011-04-22  1.681
2011-04-29  1.721
2011-05-06  1.666
2011-05-13  1.709
2011-05-20  1.773
2011-05-27  1.765
2011-06-03  1.736
2011-06-10  1.747
2011-06-17  1.763
2011-06-24  1.744
2011-07-01  1.722
2011-07-08  1.692
2011-07-15  1.562
2011-07-22  1.566
2011-07-29  1.511
2011-08-05  1.223
2011-08-12  0.995
2011-08-19  0.971
2011-08-26  1.049
2011-09-02  1.065
2011-09-09  0.979
2011-09-16  1.036
2011-09-23  0.946
2011-09-30  1.030
2011-10-07  0.863
2011-10-14  1.041
2011-10-21  1.015
2011-10-28  0.962
2011-11-04  0.752
2011-11-11  0.715
2011-11-18  0.800
2011-11-25  0.776
2011-12-02  0.761
2011-12-09  0.814
2011-12-16  0.736
2011-12-23  0.702
2011-12-30  0.740
2012-01-06  0.746
2012-01-13  0.695
2012-01-20  0.705
2012-01-27  0.749
2012-02-03  0.627
2012-02-10  0.672
2012-02-17  0.641
2012-02-24  0.654
2012-03-02  0.642
2012-03-09  0.740
2012-03-16  0.767
2012-03-23  0.806
2012-03-30  0.801
2012-04-06  0.810
2012-04-13  0.698
2012-04-20  0.657
2012-04-27  0.642
2012-05-04  0.669
2012-05-11  0.648
2012-05-18  0.562
2012-05-25  0.501
2012-06-01  0.430
2012-06-08  0.357
2012-06-15  0.429
2012-06-22  0.423
2012-06-29  0.419
2012-07-06  0.412
2012-07-13  0.311
2012-07-20  0.286
2012-07-27  0.247
2012-08-03  0.249
2012-08-10  0.308
2012-08-17  0.474
2012-08-24  0.456
2012-08-31  0.338
2012-09-07  0.336
2012-09-14  0.358
2012-09-21  0.343
2012-09-28  0.321
2012-10-05  0.276
2012-10-12  0.293
2012-10-19  0.356
2012-10-26  0.339
2012-11-02  0.284
2012-11-09  0.242
2012-11-16  0.203
2012-11-23  0.290
2012-11-30  0.271
2012-12-07  0.178
2012-12-14  0.202
2012-12-21  0.290
2012-12-28  0.251
2013-01-04  0.398
2013-01-11  0.368
2013-01-18  0.352
2013-01-25  0.363
2013-02-01  0.450
2013-02-08  0.445
2013-02-15  0.478
2013-02-22  0.499
2013-03-01  0.429
2013-03-08  0.467
2013-03-15  0.531
2013-03-22  0.506
2013-03-29  0.484
2013-04-05  0.394
2013-04-12  0.366
2013-04-19  0.353
2013-04-26  0.322
2013-05-03  0.344
2013-05-10  0.493
2013-05-17  0.594
2013-05-24  0.670
2013-05-31  0.811
2013-06-07  0.867
2013-06-14  1.061
2013-06-21  1.192
2013-06-28  1.262
2013-07-05  1.195
2013-07-12  1.295
2013-07-19  1.200
2013-07-26  1.238
2013-08-02  1.260
2013-08-09  1.190
2013-08-16  1.337
2013-08-23  1.488
2013-08-30  1.348
2013-09-06  1.498
2013-09-13  1.489
2013-09-20  1.408
2013-09-27  1.280
2013-10-04  1.294
2013-10-11  1.309
2013-10-18  1.329
2013-10-25  1.248
2013-11-01  1.247
2013-11-08  1.375
2013-11-15  1.429
2013-11-22  1.451
2013-11-29  1.423
2013-12-06  1.521
2013-12-13  1.511
2013-12-20  1.494
2013-12-27  1.522
2014-01-03  1.507
2014-01-10  1.395
2014-01-17  1.341
2014-01-24  1.312
2014-01-31  1.279
2014-02-07  1.277
2014-02-14  1.331
2014-02-21  1.363
2014-02-28  1.304
2014-03-07  1.260
2014-03-14  1.270
2014-03-21  1.270
2014-03-28  1.196
2014-04-04  1.250
2014-04-11  1.176
2014-04-18  1.121
2014-04-25  1.092
2014-05-02  1.062
2014-05-09  1.042
2014-05-16  1.020
2014-05-23  1.017
2014-05-30  0.936
2014-06-06  1.068
2014-06-13  1.081
2014-06-20  1.044
2014-06-27  0.962
2014-07-04  0.995
2014-07-11  0.938
2014-07-18  0.908
2014-07-25  0.847
2014-08-01  0.854
2014-08-08  0.856
2014-08-15  0.840
2014-08-22  0.850
2014-08-29  0.787
2014-09-05  0.864
2014-09-12  0.952
2014-09-19  1.062
2014-09-26  1.031
2014-10-03  0.992
2014-10-10  0.920
2014-10-17  0.812
2014-10-24  0.879
2014-10-31  0.902
2014-11-07  0.905
2014-11-14  0.922
2014-11-21  0.958
2014-11-28  0.884
2014-12-05  0.915
2014-12-12  0.823
2014-12-19  0.777
2014-12-26  0.826
2015-01-02  0.799
2015-01-09  0.648
2015-01-16  0.621
2015-01-23  0.618
2015-01-30  0.540
2015-02-06  0.565
2015-02-13  0.695
2015-02-20  0.787
2015-02-27  0.661
2015-03-06  0.715
2015-03-13  0.799
2015-03-20  0.679
2015-03-27  0.567
2015-04-03  0.594
2015-04-10  0.604
2015-04-17  0.586
2015-04-24  0.601
2015-05-01  0.667
2015-05-08  0.841
2015-05-15  0.949
2015-05-22  0.967
2015-05-29  0.887
2015-06-05  1.042
2015-06-12  1.114
2015-06-19  1.032
2015-06-26  1.091
2015-07-03  1.075
2015-07-10  1.020
2015-07-17  1.102
2015-07-24  1.038
2015-07-31  1.005
2015-08-07  1.009
2015-08-14  1.004
2015-08-21  1.014
2015-08-28  1.094
2015-09-04  1.145
2015-09-11  1.168
2015-09-18  1.214
2015-09-25  1.230
2015-10-02  1.211
2015-10-09  1.169
2015-10-16  1.167
2015-10-23  1.181
2015-10-30  1.158
2015-11-06  1.212
2015-11-13  1.266
2015-11-20  1.223
2015-11-27  1.157
2015-12-04  1.157
2015-12-11  1.177
2015-12-18  1.263
2015-12-25  1.257
2016-01-01  1.259
2016-01-08  1.229
2016-01-15  1.248
2016-01-22  1.246
2016-01-29  1.181
2016-02-05  1.099
2016-02-12  1.042
2016-02-19  1.119
2016-02-26  1.034
2016-03-04  0.996
2016-03-11  1.036
2016-03-18  1.024
2016-03-25  0.928
2016-04-01  0.853
2016-04-08  0.794
2016-04-15  0.852
2016-04-22  0.863
2016-04-29  0.879
2016-05-06  0.847
2016-05-13  0.815
2016-05-20  0.840
2016-05-27  0.873
2016-06-03  0.872
2016-06-10  0.789
2016-06-17  0.812
2016-06-24  0.859
2016-07-01  0.679
2016-07-08  0.542
2016-07-15  0.603
2016-07-22  0.655
2016-07-29  0.613
2016-08-05  0.642
2016-08-12  0.599
2016-08-19  0.615
2016-08-26  0.591
2016-09-02  0.575
2016-09-09  0.577
2016-09-16  0.715
2016-09-23  0.670
2016-09-30  0.572
2016-10-07  0.641
2016-10-14  0.702
2016-10-21  0.658
2016-10-28  0.672
2016-11-04  0.693
2016-11-11  0.755
2016-11-18  0.916
2016-11-25  0.909
2016-12-02  0.920
2016-12-09  0.935
2016-12-16  1.073
2016-12-23  1.072
2016-12-30  0.991
2017-01-06  0.906
