Title:               30-1/2-Year 3-3/8% Treasury Inflation-Indexed Bond, Due 4/15/2032©
Series ID:           WTP3HA32
Source:              Haver Analytics
Release:             Weekly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Friday
Units:               Percent
Date Range:          2001-10-19 to 2017-01-06
Last Updated:        2017-01-09 6:06 AM CST
Notes:               Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     
                     Averages of business days. Yield to maturity on accrued principal.
                     
                     Calculated from data provided by the Wall Street Journal.
                     
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE        VALUE
2001-10-19   3.44
2001-10-26   3.40
2001-11-02   3.22
2001-11-09   3.11
2001-11-16   3.23
2001-11-23   3.33
2001-11-30   3.40
2001-12-07   3.43
2001-12-14   3.52
2001-12-21   3.49
2001-12-28   3.41
2002-01-04   3.44
2002-01-11   3.43
2002-01-18   3.41
2002-01-25   3.43
2002-02-01   3.45
2002-02-08   3.44
2002-02-15   3.43
2002-02-22   3.34
2002-03-01   3.30
2002-03-08   3.38
2002-03-15   3.43
2002-03-22   3.45
2002-03-29   3.42
2002-04-05   3.38
2002-04-12   3.32
2002-04-19   3.27
2002-04-26   3.23
2002-05-03   3.27
2002-05-10   3.25
2002-05-17   3.27
2002-05-24   3.24
2002-05-31   3.19
2002-06-07   3.16
2002-06-14   3.13
2002-06-21   3.07
2002-06-28   3.04
2002-07-05   3.08
2002-07-12   3.10
2002-07-19   3.06
2002-07-26   2.98
2002-08-02   3.03
2002-08-09   2.96
2002-08-16   2.80
2002-08-23   2.76
2002-08-30   2.74
2002-09-06   2.68
2002-09-13   2.68
2002-09-20   2.60
2002-09-27   2.59
2002-10-04   2.63
2002-10-11   2.63
2002-10-18   2.85
2002-10-25   2.98
2002-11-01   2.96
2002-11-08   2.89
2002-11-15   2.79
2002-11-22   2.81
2002-11-29   2.86
2002-12-06   2.84
2002-12-13   2.80
2002-12-20   2.78
2002-12-27   2.73
2003-01-03   2.67
2003-01-10   2.74
2003-01-17   2.69
2003-01-24   2.61
2003-01-31   2.59
2003-02-07   2.54
2003-02-14   2.46
2003-02-21   2.42
2003-02-28   2.37
2003-03-07   2.30
2003-03-14   2.33
2003-03-21   2.47
2003-03-28   2.62
2003-04-04   2.58
2003-04-11   2.66
2003-04-18   2.69
2003-04-25   2.68
2003-05-02   2.64
2003-05-09   2.48
2003-05-16   2.32
2003-05-23   2.20
2003-05-30   2.23
2003-06-06   2.22
2003-06-13   2.12
2003-06-20   2.21
